,Area name,Total/Rural/Urban,Education level,total person,total males,total females,person main worker,males main worker,females main worker,person marginal worker,males marginal worker,females marginal worker,person MAW,males MAW,females MAW,person non worker,males non worker,females non worker,person unemployed,males unemployed,females unemployed
24,JAMMU & KASHMIR,Total,Total,12541302.0,6640662.0,5900640.0,2644149.0,2305788.0,338361.0,1678564.0,889302.0,789262.0,836801.0,542984.0,293817.0,8218589.0,3445572.0,4773017.0,1137893.0,454392.0,683501.0
25,JAMMU & KASHMIR,Total,Illiterate,5474069.0,2375991.0,3098078.0,699367.0,570629.0,128738.0,854537.0,353689.0,500848.0,365208.0,205731.0,159477.0,3920165.0,1451673.0,2468492.0,274515.0,49162.0,225353.0
26,JAMMU & KASHMIR,Total,Literate,7067233.0,4264671.0,2802562.0,1944782.0,1735159.0,209623.0,824027.0,535613.0,288414.0,471593.0,337253.0,134340.0,4298424.0,1993899.0,2304525.0,863378.0,405230.0,458148.0
27,JAMMU & KASHMIR,Total,Literate but below matric/secondary,3940064.0,2275771.0,1664293.0,697155.0,642730.0,54425.0,497168.0,327626.0,169542.0,266322.0,198644.0,67678.0,2745741.0,1305415.0,1440326.0,300710.0,133868.0,166842.0
28,JAMMU & KASHMIR,Total,Matric/secondary but below graduate,2193191.0,1410014.0,783177.0,818791.0,750583.0,68208.0,239917.0,155201.0,84716.0,151371.0,104263.0,47108.0,1134483.0,504230.0,630253.0,385562.0,188836.0,196726.0
29,JAMMU & KASHMIR,Total,Technical diploma or certificate not equal to degree,50822.0,33854.0,16968.0,20652.0,17864.0,2788.0,4277.0,2713.0,1564.0,2953.0,1916.0,1037.0,25893.0,13277.0,12616.0,11753.0,6501.0,5252.0
30,JAMMU & KASHMIR,Total,Graduate and above other than technical degree,503178.0,308698.0,194480.0,243645.0,191386.0,52259.0,37208.0,22404.0,14804.0,25979.0,15783.0,10196.0,222325.0,94908.0,127417.0,111398.0,50937.0,60461.0
31,JAMMU & KASHMIR,Total,Technical degree or diploma equal to degree or post-graduate degree,150586.0,92581.0,58005.0,79032.0,56268.0,22764.0,8896.0,5110.0,3786.0,6176.0,3476.0,2700.0,62658.0,31203.0,31455.0,33171.0,16082.0,17089.0
32,JAMMU & KASHMIR,Rural,Total,9108060.0,4774477.0,4333583.0,1669814.0,1453157.0,216657.0,1443267.0,758849.0,684418.0,709016.0,466812.0,242204.0,5994979.0,2562471.0,3432508.0,738195.0,296792.0,441403.0
33,JAMMU & KASHMIR,Rural,Illiterate,4360110.0,1882728.0,2477382.0,538336.0,432127.0,106209.0,765036.0,311077.0,453959.0,323282.0,182208.0,141074.0,3056738.0,1139524.0,1917214.0,210370.0,35022.0,175348.0
34,JAMMU & KASHMIR,Rural,Literate,4747950.0,2891749.0,1856201.0,1131478.0,1021030.0,110448.0,678231.0,447772.0,230459.0,385734.0,284604.0,101130.0,2938241.0,1422947.0,1515294.0,527825.0,261770.0,266055.0
35,JAMMU & KASHMIR,Rural,Literate but below matric/secondary,3006171.0,1754398.0,1251773.0,508272.0,468218.0,40054.0,434679.0,288311.0,146368.0,232318.0,175912.0,56406.0,2063220.0,997869.0,1065351.0,216108.0,97756.0,118352.0
36,JAMMU & KASHMIR,Rural,Matric/secondary but below graduate,1335513.0,867691.0,467822.0,451155.0,409814.0,41341.0,188410.0,124050.0,64360.0,119436.0,84870.0,34566.0,695948.0,333827.0,362121.0,237899.0,123900.0,113999.0
37,JAMMU & KASHMIR,Rural,Technical diploma or certificate not equal to degree,14721.0,10723.0,3998.0,5952.0,5136.0,816.0,1797.0,1244.0,553.0,1262.0,915.0,347.0,6972.0,4343.0,2629.0,3383.0,2228.0,1155.0
38,JAMMU & KASHMIR,Rural,Graduate and above other than technical degree,197998.0,135266.0,62732.0,93107.0,76473.0,16634.0,20301.0,13587.0,6714.0,14909.0,10261.0,4648.0,84590.0,45206.0,39384.0,46597.0,25833.0,20764.0
39,JAMMU & KASHMIR,Rural,Technical degree or diploma equal to degree or post-graduate degree,56290.0,38648.0,17642.0,29561.0,22912.0,6649.0,4250.0,2735.0,1515.0,3025.0,1951.0,1074.0,22479.0,13001.0,9478.0,12858.0,7245.0,5613.0
40,JAMMU & KASHMIR,Urban,Total,3433242.0,1866185.0,1567057.0,974335.0,852631.0,121704.0,235297.0,130453.0,104844.0,127785.0,76172.0,51613.0,2223610.0,883101.0,1340509.0,399698.0,157600.0,242098.0
41,JAMMU & KASHMIR,Urban,Illiterate,1113959.0,493263.0,620696.0,161031.0,138502.0,22529.0,89501.0,42612.0,46889.0,41926.0,23523.0,18403.0,863427.0,312149.0,551278.0,64145.0,14140.0,50005.0
42,JAMMU & KASHMIR,Urban,Literate,2319283.0,1372922.0,946361.0,813304.0,714129.0,99175.0,145796.0,87841.0,57955.0,85859.0,52649.0,33210.0,1360183.0,570952.0,789231.0,335553.0,143460.0,192093.0
43,JAMMU & KASHMIR,Urban,Literate but below matric/secondary,933893.0,521373.0,412520.0,188883.0,174512.0,14371.0,62489.0,39315.0,23174.0,34004.0,22732.0,11272.0,682521.0,307546.0,374975.0,84602.0,36112.0,48490.0
44,JAMMU & KASHMIR,Urban,Matric/secondary but below graduate,857678.0,542323.0,315355.0,367636.0,340769.0,26867.0,51507.0,31151.0,20356.0,31935.0,19393.0,12542.0,438535.0,170403.0,268132.0,147663.0,64936.0,82727.0
45,JAMMU & KASHMIR,Urban,Technical diploma or certificate not equal to degree,36101.0,23131.0,12970.0,14700.0,12728.0,1972.0,2480.0,1469.0,1011.0,1691.0,1001.0,690.0,18921.0,8934.0,9987.0,8370.0,4273.0,4097.0
46,JAMMU & KASHMIR,Urban,Graduate and above other than technical degree,305180.0,173432.0,131748.0,150538.0,114913.0,35625.0,16907.0,8817.0,8090.0,11070.0,5522.0,5548.0,137735.0,49702.0,88033.0,64801.0,25104.0,39697.0
47,JAMMU & KASHMIR,Urban,Technical degree or diploma equal to degree or post-graduate degree,94296.0,53933.0,40363.0,49471.0,33356.0,16115.0,4646.0,2375.0,2271.0,3151.0,1525.0,1626.0,40179.0,18202.0,21977.0,20313.0,8837.0,11476.0
