,Area name,Literacy percentage
0,BIHAR,50.43691584466746
1,ARUNACHAL PRADESH,55.35810170647822
2,JHARKHAND,55.55958090869887
3,RAJASTHAN,55.8368413272501
4,JAMMU & KASHMIR,56.351669069128555
5,UTTAR PRADESH,57.252497231890196
6,MADHYA PRADESH,59.00186114469107
7,ANDHRA PRADESH,59.77334542575791
8,MEGHALAYA,60.16419893025995
9,CHHATTISGARH,60.20670499402666
10,ASSAM,61.45689155040753
11,ODISHA,63.71195527692738
12,DADRA & NAGAR HAVELI,64.94738281511395
13,HARYANA,65.47546646422207
14,KARNATAKA,66.5310162908284
15,MANIPUR,66.8282095977511
16,WEST BENGAL,67.41991702867722
17,PUNJAB,67.42929419668246
18,NAGALAND,67.85103072930934
19,GUJARAT,67.99068069374013
20,UTTARAKHAND,68.22083873835896
21,TAMIL NADU,71.84981419193555
22,MAHARASHTRA,72.5737700262924
23,SIKKIM,72.8740191654779
24,HIMACHAL PRADESH,73.41628837330991
25,NCT OF DELHI,75.87450420513153
26,CHANDIGARH,76.31228385996495
27,TRIPURA,76.34312370148808
28,PUDUCHERRY,76.71034085418282
29,MIZORAM,77.30316822912015
30,ANDAMAN & NICOBAR ISLANDS,77.32414387475991
31,DAMAN & DIU,77.45460375667531
32,GOA,79.9075105670377
33,LAKSHADWEEP,81.51164053169543
34,KERALA,84.2237101824127
