,Area name,Total/Rural/Urban,Education level,total person,total males,total females,person main worker,males main worker,females main worker,person marginal worker,males marginal worker,females marginal worker,person MAW,males MAW,females MAW,person non worker,males non worker,females non worker,person unemployed,males unemployed,females unemployed
0,NICOBARS,Total,Total,36842.0,20727.0,16115.0,9651.0,7948.0,1703.0,7474.0,4766.0,2708.0,2488.0,1693.0,795.0,19717.0,8013.0,11704.0,2861.0,1122.0,1739.0
1,NICOBARS,Total,Illiterate,11510.0,5330.0,6180.0,1275.0,940.0,335.0,1938.0,1079.0,859.0,329.0,208.0,121.0,8297.0,3311.0,4986.0,253.0,66.0,187.0
2,NICOBARS,Total,Literate,25332.0,15397.0,9935.0,8376.0,7008.0,1368.0,5536.0,3687.0,1849.0,2159.0,1485.0,674.0,11420.0,4702.0,6718.0,2608.0,1056.0,1552.0
3,NICOBARS,Total,Literate but below matric/secondary,17046.0,10269.0,6777.0,4414.0,3792.0,622.0,4118.0,2832.0,1286.0,1454.0,1064.0,390.0,8514.0,3645.0,4869.0,1409.0,633.0,776.0
4,NICOBARS,Total,Matric/secondary but below graduate,6362.0,3789.0,2573.0,2541.0,2094.0,447.0,1250.0,753.0,497.0,631.0,377.0,254.0,2571.0,942.0,1629.0,1046.0,377.0,669.0
5,NICOBARS,Total,Technical diploma or certificate not equal to degree,267.0,156.0,111.0,233.0,151.0,82.0,6.0,1.0,5.0,3.0,1.0,2.0,28.0,4.0,24.0,22.0,4.0,18.0
6,NICOBARS,Total,Graduate and above other than technical degree,856.0,646.0,210.0,695.0,599.0,96.0,39.0,19.0,20.0,32.0,15.0,17.0,122.0,28.0,94.0,73.0,15.0,58.0
7,NICOBARS,Total,Technical degree or diploma equal to degree or post-graduate degree,285.0,194.0,91.0,258.0,179.0,79.0,3.0,2.0,1.0,3.0,2.0,1.0,24.0,13.0,11.0,15.0,8.0,7.0
8,NICOBARS,Rural,Total,36842.0,20727.0,16115.0,9651.0,7948.0,1703.0,7474.0,4766.0,2708.0,2488.0,1693.0,795.0,19717.0,8013.0,11704.0,2861.0,1122.0,1739.0
9,NICOBARS,Rural,Illiterate,11510.0,5330.0,6180.0,1275.0,940.0,335.0,1938.0,1079.0,859.0,329.0,208.0,121.0,8297.0,3311.0,4986.0,253.0,66.0,187.0
