,Area name,Total/Rural/Urban,Education level,total person,total males,total females,person main worker,males main worker,females main worker,person marginal worker,males marginal worker,females marginal worker,person MAW,males MAW,females MAW,person non worker,males non worker,females non worker,person unemployed,males unemployed,females unemployed
0,ADILABAD,Total,Total,2741239.0,1369597.0,1371642.0,1066460.0,639313.0,427147.0,257207.0,109626.0,147581.0,139900.0,65008.0,74892.0,1417572.0,620658.0,796914.0,119134.0,56090.0,63044.0
1,ADILABAD,Total,Illiterate,1257892.0,513247.0,744645.0,537400.0,244240.0,293160.0,143081.0,43566.0,99515.0,75587.0,25402.0,50185.0,577411.0,225441.0,351970.0,22421.0,5410.0,17011.0
2,ADILABAD,Total,Literate,1483347.0,856350.0,626997.0,529060.0,395073.0,133987.0,114126.0,66060.0,48066.0,64313.0,39606.0,24707.0,840161.0,395217.0,444944.0,96713.0,50680.0,46033.0
3,ADILABAD,Total,Literate but below matric/secondary,773422.0,416980.0,356442.0,222938.0,153999.0,68939.0,55525.0,29244.0,26281.0,30161.0,17051.0,13110.0,494959.0,233737.0,261222.0,23625.0,10104.0,13521.0
4,ADILABAD,Total,Matric/secondary but below graduate,420379.0,253942.0,166437.0,167267.0,134310.0,32957.0,30971.0,20123.0,10848.0,17908.0,12279.0,5629.0,222141.0,99509.0,122632.0,42214.0,21913.0,20301.0
5,ADILABAD,Total,Technical diploma or certificate not equal to degree,10183.0,7965.0,2218.0,4845.0,4236.0,609.0,626.0,517.0,109.0,404.0,329.0,75.0,4712.0,3212.0,1500.0,1634.0,1195.0,439.0
6,ADILABAD,Total,Graduate and above other than technical degree,91567.0,63147.0,28420.0,43475.0,36497.0,6978.0,5612.0,4096.0,1516.0,3488.0,2603.0,885.0,42480.0,22554.0,19926.0,14693.0,9224.0,5469.0
7,ADILABAD,Total,Technical degree or diploma equal to degree or post-graduate degree,26799.0,19160.0,7639.0,11076.0,8903.0,2173.0,1381.0,1022.0,359.0,931.0,698.0,233.0,14342.0,9235.0,5107.0,5765.0,3961.0,1804.0
8,ADILABAD,Rural,Total,1980980.0,985303.0,995677.0,848114.0,470886.0,377228.0,211135.0,84251.0,126884.0,117875.0,51870.0,66005.0,921731.0,430166.0,491565.0,67538.0,31921.0,35617.0
9,ADILABAD,Rural,Illiterate,1015273.0,416270.0,599003.0,477198.0,208637.0,268561.0,125765.0,36904.0,88861.0,67980.0,22165.0,45815.0,412310.0,170729.0,241581.0,15648.0,3952.0,11696.0
10,ADILABAD,Rural,Literate,965707.0,569033.0,396674.0,370916.0,262249.0,108667.0,85370.0,47347.0,38023.0,49895.0,29705.0,20190.0,509421.0,259437.0,249984.0,51890.0,27969.0,23921.0
11,ADILABAD,Rural,Literate but below matric/secondary,558675.0,308128.0,250547.0,177928.0,117885.0,60043.0,44689.0,22835.0,21854.0,25265.0,13927.0,11338.0,336058.0,167408.0,168650.0,15112.0,6833.0,8279.0
12,ADILABAD,Rural,Matric/secondary but below graduate,242725.0,154138.0,88587.0,107591.0,82026.0,25565.0,20975.0,13229.0,7746.0,12635.0,8503.0,4132.0,114159.0,58883.0,55276.0,23257.0,12700.0,10557.0
13,ADILABAD,Rural,Technical diploma or certificate not equal to degree,3739.0,2676.0,1063.0,1555.0,1280.0,275.0,249.0,184.0,65.0,167.0,123.0,44.0,1935.0,1212.0,723.0,656.0,416.0,240.0
14,ADILABAD,Rural,Graduate and above other than technical degree,36166.0,27228.0,8938.0,17439.0,14717.0,2722.0,2771.0,2073.0,698.0,1892.0,1458.0,434.0,15956.0,10438.0,5518.0,5837.0,4099.0,1738.0
15,ADILABAD,Rural,Technical degree or diploma equal to degree or post-graduate degree,9235.0,7056.0,2179.0,3954.0,3291.0,663.0,556.0,430.0,126.0,392.0,309.0,83.0,4725.0,3335.0,1390.0,1877.0,1349.0,528.0
16,ADILABAD,Urban,Total,760259.0,384294.0,375965.0,218346.0,168427.0,49919.0,46072.0,25375.0,20697.0,22025.0,13138.0,8887.0,495841.0,190492.0,305349.0,51596.0,24169.0,27427.0
17,ADILABAD,Urban,Illiterate,242619.0,96977.0,145642.0,60202.0,35603.0,24599.0,17316.0,6662.0,10654.0,7607.0,3237.0,4370.0,165101.0,54712.0,110389.0,6773.0,1458.0,5315.0
18,ADILABAD,Urban,Literate,517640.0,287317.0,230323.0,158144.0,132824.0,25320.0,28756.0,18713.0,10043.0,14418.0,9901.0,4517.0,330740.0,135780.0,194960.0,44823.0,22711.0,22112.0
19,ADILABAD,Urban,Literate but below matric/secondary,214747.0,108852.0,105895.0,45010.0,36114.0,8896.0,10836.0,6409.0,4427.0,4896.0,3124.0,1772.0,158901.0,66329.0,92572.0,8513.0,3271.0,5242.0
20,ADILABAD,Urban,Matric/secondary but below graduate,177654.0,99804.0,77850.0,59676.0,52284.0,7392.0,9996.0,6894.0,3102.0,5273.0,3776.0,1497.0,107982.0,40626.0,67356.0,18957.0,9213.0,9744.0
21,ADILABAD,Urban,Technical diploma or certificate not equal to degree,6444.0,5289.0,1155.0,3290.0,2956.0,334.0,377.0,333.0,44.0,237.0,206.0,31.0,2777.0,2000.0,777.0,978.0,779.0,199.0
22,ADILABAD,Urban,Graduate and above other than technical degree,55401.0,35919.0,19482.0,26036.0,21780.0,4256.0,2841.0,2023.0,818.0,1596.0,1145.0,451.0,26524.0,12116.0,14408.0,8856.0,5125.0,3731.0
23,ADILABAD,Urban,Technical degree or diploma equal to degree or post-graduate degree,17564.0,12104.0,5460.0,7122.0,5612.0,1510.0,825.0,592.0,233.0,539.0,389.0,150.0,9617.0,5900.0,3717.0,3888.0,2612.0,1276.0
24,NIZAMABAD,Total,Total,2551335.0,1250641.0,1300694.0,1055965.0,590356.0,465609.0,205111.0,93964.0,111147.0,98393.0,50563.0,47830.0,1290259.0,566321.0,723938.0,83833.0,40726.0,43107.0
25,NIZAMABAD,Total,Illiterate,1161525.0,460427.0,701098.0,517903.0,212225.0,305678.0,115984.0,40118.0,75866.0,56293.0,22153.0,34140.0,527638.0,208084.0,319554.0,15444.0,4330.0,11114.0
26,NIZAMABAD,Total,Literate,1389810.0,790214.0,599596.0,538062.0,378131.0,159931.0,89127.0,53846.0,35281.0,42100.0,28410.0,13690.0,762621.0,358237.0,404384.0,68389.0,36396.0,31993.0
27,NIZAMABAD,Total,Literate but below matric/secondary,743205.0,396440.0,346765.0,231437.0,149606.0,81831.0,43716.0,24557.0,19159.0,20546.0,13086.0,7460.0,468052.0,222277.0,245775.0,16836.0,7601.0,9235.0
28,NIZAMABAD,Total,Matric/secondary but below graduate,417518.0,248924.0,168594.0,185046.0,138558.0,46488.0,27122.0,17705.0,9417.0,12863.0,9411.0,3452.0,205350.0,92661.0,112689.0,31461.0,16791.0,14670.0
29,NIZAMABAD,Total,Technical diploma or certificate not equal to degree,9388.0,7349.0,2039.0,4386.0,3841.0,545.0,544.0,470.0,74.0,264.0,229.0,35.0,4458.0,3038.0,1420.0,1156.0,836.0,320.0
30,NIZAMABAD,Total,Graduate and above other than technical degree,87931.0,59188.0,28743.0,47030.0,38561.0,8469.0,4518.0,3277.0,1241.0,2171.0,1623.0,548.0,36383.0,17350.0,19033.0,10083.0,5949.0,4134.0
31,NIZAMABAD,Total,Technical degree or diploma equal to degree or post-graduate degree,27517.0,18773.0,8744.0,12845.0,9823.0,3022.0,1121.0,765.0,356.0,596.0,404.0,192.0,13551.0,8185.0,5366.0,4742.0,3191.0,1551.0
32,NIZAMABAD,Rural,Total,1962963.0,958837.0,1004126.0,871103.0,459761.0,411342.0,168883.0,73856.0,95027.0,84577.0,41543.0,43034.0,922977.0,425220.0,497757.0,53285.0,26867.0,26418.0
33,NIZAMABAD,Rural,Illiterate,975369.0,385653.0,589716.0,469074.0,187915.0,281159.0,102395.0,34395.0,68000.0,51091.0,19355.0,31736.0,403900.0,163343.0,240557.0,10781.0,3141.0,7640.0
34,NIZAMABAD,Rural,Literate,987594.0,573184.0,414410.0,402029.0,271846.0,130183.0,66488.0,39461.0,27027.0,33486.0,22188.0,11298.0,519077.0,261877.0,257200.0,42504.0,23726.0,18778.0
35,NIZAMABAD,Rural,Literate but below matric/secondary,561227.0,305582.0,255645.0,187938.0,118254.0,69684.0,34085.0,18815.0,15270.0,17003.0,10579.0,6424.0,339204.0,168513.0,170691.0,10520.0,4966.0,5554.0
36,NIZAMABAD,Rural,Matric/secondary but below graduate,283960.0,176225.0,107735.0,135583.0,97976.0,37607.0,19607.0,12697.0,6910.0,10041.0,7318.0,2723.0,128770.0,65552.0,63218.0,20506.0,11559.0,8947.0
