,Area name,Total/Rural/Urban,Education level,total person,total males,total females,person main worker,males main worker,females main worker,person marginal worker,males marginal worker,females marginal worker,person MAW,males MAW,females MAW,person non worker,males non worker,females non worker,person unemployed,males unemployed,females unemployed
0,TAWANG,Total,Total,49977.0,29151.0,20826.0,24430.0,17869.0,6561.0,4131.0,1685.0,2446.0,2394.0,1006.0,1388.0,21416.0,9597.0,11819.0,2033.0,750.0,1283.0
1,TAWANG,Total,Illiterate,23904.0,11431.0,12473.0,10816.0,6063.0,4753.0,2922.0,985.0,1937.0,1718.0,598.0,1120.0,10166.0,4383.0,5783.0,540.0,126.0,414.0
2,TAWANG,Total,Literate,26073.0,17720.0,8353.0,13614.0,11806.0,1808.0,1209.0,700.0,509.0,676.0,408.0,268.0,11250.0,5214.0,6036.0,1493.0,624.0,869.0
3,TAWANG,Total,Literate but below matric/secondary,14797.0,8936.0,5861.0,5453.0,4516.0,937.0,793.0,436.0,357.0,441.0,262.0,179.0,8551.0,3984.0,4567.0,722.0,296.0,426.0
4,TAWANG,Total,Matric/secondary but below graduate,7806.0,6176.0,1630.0,5738.0,5287.0,451.0,225.0,124.0,101.0,137.0,71.0,66.0,1843.0,765.0,1078.0,532.0,201.0,331.0
5,TAWANG,Total,Technical diploma or certificate not equal to degree,173.0,160.0,13.0,167.0,157.0,10.0,2.0,2.0,0.0,2.0,2.0,0.0,4.0,1.0,3.0,1.0,0.0,1.0
6,TAWANG,Total,Graduate and above other than technical degree,1399.0,1019.0,380.0,1088.0,863.0,225.0,49.0,38.0,11.0,24.0,16.0,8.0,262.0,118.0,144.0,115.0,51.0,64.0
7,TAWANG,Total,Technical degree or diploma equal to degree or post-graduate degree,228.0,200.0,28.0,202.0,185.0,17.0,7.0,6.0,1.0,3.0,2.0,1.0,19.0,9.0,10.0,12.0,5.0,7.0
8,TAWANG,Rural,Total,38775.0,20792.0,17983.0,16612.0,10734.0,5878.0,3863.0,1566.0,2297.0,2277.0,934.0,1343.0,18300.0,8492.0,9808.0,1640.0,638.0,1002.0
9,TAWANG,Rural,Illiterate,22256.0,10757.0,11499.0,10423.0,5842.0,4581.0,2797.0,948.0,1849.0,1671.0,573.0,1098.0,9036.0,3967.0,5069.0,482.0,117.0,365.0
10,TAWANG,Rural,Literate,16519.0,10035.0,6484.0,6189.0,4892.0,1297.0,1066.0,618.0,448.0,606.0,361.0,245.0,9264.0,4525.0,4739.0,1158.0,521.0,637.0
11,TAWANG,Rural,Literate but below matric/secondary,11618.0,6907.0,4711.0,3743.0,3033.0,710.0,725.0,401.0,324.0,407.0,242.0,165.0,7150.0,3473.0,3677.0,581.0,258.0,323.0
12,TAWANG,Rural,Matric/secondary but below graduate,2648.0,1558.0,1090.0,1125.0,850.0,275.0,168.0,93.0,75.0,108.0,51.0,57.0,1355.0,615.0,740.0,378.0,152.0,226.0
13,TAWANG,Rural,Technical diploma or certificate not equal to degree,62.0,55.0,7.0,58.0,54.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,3.0,1.0,0.0,1.0
14,TAWANG,Rural,Graduate and above other than technical degree,729.0,488.0,241.0,500.0,358.0,142.0,38.0,28.0,10.0,20.0,12.0,8.0,191.0,102.0,89.0,80.0,39.0,41.0
15,TAWANG,Rural,Technical degree or diploma equal to degree or post-graduate degree,106.0,85.0,21.0,83.0,73.0,10.0,6.0,5.0,1.0,3.0,2.0,1.0,17.0,7.0,10.0,10.0,3.0,7.0
16,TAWANG,Urban,Total,11202.0,8359.0,2843.0,7818.0,7135.0,683.0,268.0,119.0,149.0,117.0,72.0,45.0,3116.0,1105.0,2011.0,393.0,112.0,281.0
17,TAWANG,Urban,Illiterate,1648.0,674.0,974.0,393.0,221.0,172.0,125.0,37.0,88.0,47.0,25.0,22.0,1130.0,416.0,714.0,58.0,9.0,49.0
18,TAWANG,Urban,Literate,9554.0,7685.0,1869.0,7425.0,6914.0,511.0,143.0,82.0,61.0,70.0,47.0,23.0,1986.0,689.0,1297.0,335.0,103.0,232.0
19,TAWANG,Urban,Literate but below matric/secondary,3179.0,2029.0,1150.0,1710.0,1483.0,227.0,68.0,35.0,33.0,34.0,20.0,14.0,1401.0,511.0,890.0,141.0,38.0,103.0
20,TAWANG,Urban,Matric/secondary but below graduate,5158.0,4618.0,540.0,4613.0,4437.0,176.0,57.0,31.0,26.0,29.0,20.0,9.0,488.0,150.0,338.0,154.0,49.0,105.0
21,TAWANG,Urban,Technical diploma or certificate not equal to degree,111.0,105.0,6.0,109.0,103.0,6.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
22,TAWANG,Urban,Graduate and above other than technical degree,670.0,531.0,139.0,588.0,505.0,83.0,11.0,10.0,1.0,4.0,4.0,0.0,71.0,16.0,55.0,35.0,12.0,23.0
23,TAWANG,Urban,Technical degree or diploma equal to degree or post-graduate degree,122.0,115.0,7.0,119.0,112.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0
24,WEST KAMENG,Total,Total,83947.0,46155.0,37792.0,34752.0,24640.0,10112.0,7741.0,3673.0,4068.0,3044.0,1661.0,1383.0,41454.0,17842.0,23612.0,5106.0,1621.0,3485.0
25,WEST KAMENG,Total,Illiterate,35455.0,16589.0,18866.0,12776.0,6948.0,5828.0,3986.0,1593.0,2393.0,1375.0,650.0,725.0,18693.0,8048.0,10645.0,1154.0,228.0,926.0
26,WEST KAMENG,Total,Literate,48492.0,29566.0,18926.0,21976.0,17692.0,4284.0,3755.0,2080.0,1675.0,1669.0,1011.0,658.0,22761.0,9794.0,12967.0,3952.0,1393.0,2559.0
27,WEST KAMENG,Total,Literate but below matric/secondary,30950.0,17456.0,13494.0,10993.0,8321.0,2672.0,2617.0,1410.0,1207.0,1118.0,668.0,450.0,17340.0,7725.0,9615.0,2118.0,718.0,1400.0
28,WEST KAMENG,Total,Matric/secondary but below graduate,12613.0,8617.0,3996.0,7536.0,6529.0,1007.0,831.0,462.0,369.0,414.0,251.0,163.0,4246.0,1626.0,2620.0,1387.0,496.0,891.0
29,WEST KAMENG,Total,Technical diploma or certificate not equal to degree,431.0,387.0,44.0,368.0,347.0,21.0,21.0,18.0,3.0,11.0,11.0,0.0,42.0,22.0,20.0,21.0,10.0,11.0
30,WEST KAMENG,Total,Graduate and above other than technical degree,2936.0,1967.0,969.0,2126.0,1714.0,412.0,131.0,64.0,67.0,77.0,44.0,33.0,679.0,189.0,490.0,295.0,99.0,196.0
31,WEST KAMENG,Total,Technical degree or diploma equal to degree or post-graduate degree,560.0,454.0,106.0,459.0,394.0,65.0,22.0,18.0,4.0,6.0,4.0,2.0,79.0,42.0,37.0,41.0,24.0,17.0
32,WEST KAMENG,Rural,Total,68015.0,37809.0,30206.0,28807.0,20447.0,8360.0,7035.0,3402.0,3633.0,2801.0,1554.0,1247.0,32173.0,13960.0,18213.0,4072.0,1313.0,2759.0
