,Area name,Total/Rural/Urban,Education level,total person,total males,total females,person main worker,males main worker,females main worker,person marginal worker,males marginal worker,females marginal worker,person MAW,males MAW,females MAW,person non worker,males non worker,females non worker,person unemployed,males unemployed,females unemployed
0,KOKRAJHAR,Total,Total,887142.0,452905.0,434237.0,253110.0,198804.0,54306.0,88021.0,37518.0,50503.0,31426.0,18054.0,13372.0,546011.0,216583.0,329428.0,50463.0,22250.0,28213.0
1,KOKRAJHAR,Total,Illiterate,397837.0,177685.0,220152.0,102517.0,73140.0,29377.0,37658.0,11190.0,26468.0,11009.0,4753.0,6256.0,257662.0,93355.0,164307.0,9845.0,2210.0,7635.0
2,KOKRAJHAR,Total,Literate,489305.0,275220.0,214085.0,150593.0,125664.0,24929.0,50363.0,26328.0,24035.0,20417.0,13301.0,7116.0,288349.0,123228.0,165121.0,40618.0,20040.0,20578.0
3,KOKRAJHAR,Total,Literate but below matric/secondary,339509.0,183166.0,156343.0,87560.0,73251.0,14309.0,32085.0,16229.0,15856.0,11814.0,7720.0,4094.0,219864.0,93686.0,126178.0,19522.0,8752.0,10770.0
4,KOKRAJHAR,Total,Matric/secondary but below graduate,96734.0,59642.0,37092.0,38247.0,31879.0,6368.0,10978.0,6260.0,4718.0,5639.0,3707.0,1932.0,47509.0,21503.0,26006.0,15994.0,8751.0,7243.0
5,KOKRAJHAR,Total,Technical diploma or certificate not equal to degree,348.0,294.0,54.0,198.0,180.0,18.0,25.0,23.0,2.0,13.0,11.0,2.0,125.0,91.0,34.0,57.0,44.0,13.0
6,KOKRAJHAR,Total,Graduate and above other than technical degree,14861.0,10574.0,4287.0,8664.0,7320.0,1344.0,1309.0,899.0,410.0,782.0,547.0,235.0,4888.0,2355.0,2533.0,2532.0,1388.0,1144.0
7,KOKRAJHAR,Total,Technical degree or diploma equal to degree or post-graduate degree,1184.0,885.0,299.0,746.0,611.0,135.0,81.0,61.0,20.0,43.0,29.0,14.0,357.0,213.0,144.0,163.0,107.0,56.0
8,KOKRAJHAR,Rural,Total,832201.0,424446.0,407755.0,234885.0,183825.0,51060.0,85098.0,35903.0,49195.0,29899.0,17182.0,12717.0,512218.0,204718.0,307500.0,44897.0,20060.0,24837.0
9,KOKRAJHAR,Rural,Illiterate,386311.0,172788.0,213523.0,100544.0,71842.0,28702.0,37167.0,10975.0,26192.0,10782.0,4661.0,6121.0,248600.0,89971.0,158629.0,9359.0,2088.0,7271.0
10,KOKRAJHAR,Rural,Literate,445890.0,251658.0,194232.0,134341.0,111983.0,22358.0,47931.0,24928.0,23003.0,19117.0,12521.0,6596.0,263618.0,114747.0,148871.0,35538.0,17972.0,17566.0
11,KOKRAJHAR,Rural,Literate but below matric/secondary,317114.0,171721.0,145393.0,81216.0,67700.0,13516.0,30875.0,15502.0,15373.0,11263.0,7356.0,3907.0,205023.0,88519.0,116504.0,17719.0,8101.0,9618.0
12,KOKRAJHAR,Rural,Matric/secondary but below graduate,82377.0,51685.0,30692.0,32206.0,26867.0,5339.0,10137.0,5797.0,4340.0,5113.0,3405.0,1708.0,40034.0,19021.0,21013.0,13690.0,7751.0,5939.0
13,KOKRAJHAR,Rural,Technical diploma or certificate not equal to degree,223.0,187.0,36.0,111.0,100.0,11.0,17.0,16.0,1.0,8.0,7.0,1.0,95.0,71.0,24.0,45.0,35.0,10.0
14,KOKRAJHAR,Rural,Graduate and above other than technical degree,9860.0,7419.0,2441.0,5661.0,4922.0,739.0,1041.0,759.0,282.0,620.0,469.0,151.0,3158.0,1738.0,1420.0,1771.0,1063.0,708.0
15,KOKRAJHAR,Rural,Technical degree or diploma equal to degree or post-graduate degree,581.0,429.0,152.0,330.0,275.0,55.0,53.0,40.0,13.0,26.0,18.0,8.0,198.0,114.0,84.0,88.0,59.0,29.0
16,KOKRAJHAR,Urban,Total,54941.0,28459.0,26482.0,18225.0,14979.0,3246.0,2923.0,1615.0,1308.0,1527.0,872.0,655.0,33793.0,11865.0,21928.0,5566.0,2190.0,3376.0
17,KOKRAJHAR,Urban,Illiterate,11526.0,4897.0,6629.0,1973.0,1298.0,675.0,491.0,215.0,276.0,227.0,92.0,135.0,9062.0,3384.0,5678.0,486.0,122.0,364.0
18,KOKRAJHAR,Urban,Literate,43415.0,23562.0,19853.0,16252.0,13681.0,2571.0,2432.0,1400.0,1032.0,1300.0,780.0,520.0,24731.0,8481.0,16250.0,5080.0,2068.0,3012.0
19,KOKRAJHAR,Urban,Literate but below matric/secondary,22395.0,11445.0,10950.0,6344.0,5551.0,793.0,1210.0,727.0,483.0,551.0,364.0,187.0,14841.0,5167.0,9674.0,1803.0,651.0,1152.0
20,KOKRAJHAR,Urban,Matric/secondary but below graduate,14357.0,7957.0,6400.0,6041.0,5012.0,1029.0,841.0,463.0,378.0,526.0,302.0,224.0,7475.0,2482.0,4993.0,2304.0,1000.0,1304.0
21,KOKRAJHAR,Urban,Technical diploma or certificate not equal to degree,125.0,107.0,18.0,87.0,80.0,7.0,8.0,7.0,1.0,5.0,4.0,1.0,30.0,20.0,10.0,12.0,9.0,3.0
22,KOKRAJHAR,Urban,Graduate and above other than technical degree,5001.0,3155.0,1846.0,3003.0,2398.0,605.0,268.0,140.0,128.0,162.0,78.0,84.0,1730.0,617.0,1113.0,761.0,325.0,436.0
23,KOKRAJHAR,Urban,Technical degree or diploma equal to degree or post-graduate degree,603.0,456.0,147.0,416.0,336.0,80.0,28.0,21.0,7.0,17.0,11.0,6.0,159.0,99.0,60.0,75.0,48.0,27.0
24,DHUBRI,Total,Total,1949258.0,997848.0,951410.0,504998.0,447077.0,57921.0,164821.0,77821.0,87000.0,91730.0,51711.0,40019.0,1279439.0,472950.0,806489.0,155982.0,46680.0,109302.0
25,DHUBRI,Total,Illiterate,1026917.0,486297.0,540620.0,234179.0,199898.0,34281.0,85207.0,30897.0,54310.0,45480.0,20454.0,25026.0,707531.0,255502.0,452029.0,54870.0,9054.0,45816.0
26,DHUBRI,Total,Literate,922341.0,511551.0,410790.0,270819.0,247179.0,23640.0,79614.0,46924.0,32690.0,46250.0,31257.0,14993.0,571908.0,217448.0,354460.0,101112.0,37626.0,63486.0
27,DHUBRI,Total,Literate but below matric/secondary,703004.0,373518.0,329486.0,175633.0,161611.0,14022.0,59864.0,33858.0,26006.0,33022.0,21609.0,11413.0,467507.0,178049.0,289458.0,59242.0,19255.0,39987.0
28,DHUBRI,Total,Matric/secondary but below graduate,143050.0,88539.0,54511.0,57394.0,51816.0,5578.0,12609.0,8565.0,4044.0,8878.0,6547.0,2331.0,73047.0,28158.0,44889.0,31138.0,13889.0,17249.0
29,DHUBRI,Total,Technical diploma or certificate not equal to degree,604.0,535.0,69.0,327.0,307.0,20.0,31.0,27.0,4.0,25.0,22.0,3.0,246.0,201.0,45.0,127.0,115.0,12.0
30,DHUBRI,Total,Graduate and above other than technical degree,32376.0,23531.0,8845.0,19730.0,17526.0,2204.0,2328.0,1753.0,575.0,1764.0,1369.0,395.0,10318.0,4252.0,6066.0,5791.0,2605.0,3186.0
31,DHUBRI,Total,Technical degree or diploma equal to degree or post-graduate degree,1910.0,1558.0,352.0,1257.0,1103.0,154.0,77.0,59.0,18.0,42.0,32.0,10.0,576.0,396.0,180.0,324.0,232.0,92.0
32,DHUBRI,Rural,Total,1745557.0,893914.0,851643.0,444278.0,393909.0,50369.0,155185.0,72229.0,82956.0,86543.0,48337.0,38206.0,1146094.0,427776.0,718318.0,132630.0,38415.0,94215.0
33,DHUBRI,Rural,Illiterate,971911.0,462519.0,509392.0,223574.0,191833.0,31741.0,82397.0,29769.0,52628.0,44259.0,19817.0,24442.0,665940.0,240917.0,425023.0,52448.0,8630.0,43818.0
34,DHUBRI,Rural,Literate,773646.0,431395.0,342251.0,220704.0,202076.0,18628.0,72788.0,42460.0,30328.0,42284.0,28520.0,13764.0,480154.0,186859.0,293295.0,80182.0,29785.0,50397.0
35,DHUBRI,Rural,Literate but below matric/secondary,610492.0,325782.0,284710.0,149339.0,137390.0,11949.0,55632.0,31071.0,24561.0,30758.0,19977.0,10781.0,405521.0,157321.0,248200.0,50328.0,16316.0,34012.0
36,DHUBRI,Rural,Matric/secondary but below graduate,105973.0,67943.0,38030.0,43659.0,39518.0,4141.0,10988.0,7486.0,3502.0,7786.0,5822.0,1964.0,51326.0,20939.0,30387.0,22497.0,10297.0,12200.0
37,DHUBRI,Rural,Technical diploma or certificate not equal to degree,326.0,287.0,39.0,181.0,169.0,12.0,25.0,22.0,3.0,23.0,21.0,2.0,120.0,96.0,24.0,72.0,62.0,10.0
38,DHUBRI,Rural,Graduate and above other than technical degree,19913.0,15615.0,4298.0,12616.0,11551.0,1065.0,1801.0,1434.0,367.0,1407.0,1160.0,247.0,5496.0,2630.0,2866.0,3404.0,1741.0,1663.0
39,DHUBRI,Rural,Technical degree or diploma equal to degree or post-graduate degree,895.0,755.0,140.0,610.0,552.0,58.0,47.0,37.0,10.0,30.0,24.0,6.0,238.0,166.0,72.0,130.0,97.0,33.0
40,DHUBRI,Urban,Total,203701.0,103934.0,99767.0,60720.0,53168.0,7552.0,9636.0,5592.0,4044.0,5187.0,3374.0,1813.0,133345.0,45174.0,88171.0,23352.0,8265.0,15087.0
41,DHUBRI,Urban,Illiterate,55006.0,23778.0,31228.0,10605.0,8065.0,2540.0,2810.0,1128.0,1682.0,1221.0,637.0,584.0,41591.0,14585.0,27006.0,2422.0,424.0,1998.0
42,DHUBRI,Urban,Literate,148695.0,80156.0,68539.0,50115.0,45103.0,5012.0,6826.0,4464.0,2362.0,3966.0,2737.0,1229.0,91754.0,30589.0,61165.0,20930.0,7841.0,13089.0
43,DHUBRI,Urban,Literate but below matric/secondary,92512.0,47736.0,44776.0,26294.0,24221.0,2073.0,4232.0,2787.0,1445.0,2264.0,1632.0,632.0,61986.0,20728.0,41258.0,8914.0,2939.0,5975.0
44,DHUBRI,Urban,Matric/secondary but below graduate,37077.0,20596.0,16481.0,13735.0,12298.0,1437.0,1621.0,1079.0,542.0,1092.0,725.0,367.0,21721.0,7219.0,14502.0,8641.0,3592.0,5049.0
45,DHUBRI,Urban,Technical diploma or certificate not equal to degree,278.0,248.0,30.0,146.0,138.0,8.0,6.0,5.0,1.0,2.0,1.0,1.0,126.0,105.0,21.0,55.0,53.0,2.0
46,DHUBRI,Urban,Graduate and above other than technical degree,12463.0,7916.0,4547.0,7114.0,5975.0,1139.0,527.0,319.0,208.0,357.0,209.0,148.0,4822.0,1622.0,3200.0,2387.0,864.0,1523.0
