,Area name,Total/Rural/Urban,Education level,total person,total males,total females,person main worker,males main worker,females main worker,person marginal worker,males marginal worker,females marginal worker,person MAW,males MAW,females MAW,person non worker,males non worker,females non worker,person unemployed,males unemployed,females unemployed
0,PASHCHIM CHAMPARAN,Total,Total,3935042.0,2061110.0,1873932.0,797544.0,627289.0,170255.0,681403.0,371993.0,309410.0,349482.0,234040.0,115442.0,2456095.0,1061828.0,1394267.0,127826.0,57922.0,69904.0
1,PASHCHIM CHAMPARAN,Total,Illiterate,2175561.0,969884.0,1205677.0,385067.0,261088.0,123979.0,409913.0,172591.0,237322.0,199194.0,109222.0,89972.0,1380581.0,536205.0,844376.0,48987.0,11915.0,37072.0
2,PASHCHIM CHAMPARAN,Total,Literate,1759481.0,1091226.0,668255.0,412477.0,366201.0,46276.0,271490.0,199402.0,72088.0,150288.0,124818.0,25470.0,1075514.0,525623.0,549891.0,78839.0,46007.0,32832.0
3,PASHCHIM CHAMPARAN,Total,Literate but below matric/secondary,1328648.0,799917.0,528731.0,253672.0,226203.0,27469.0,193611.0,141283.0,52328.0,107144.0,89119.0,18025.0,881365.0,432431.0,448934.0,41981.0,23032.0,18949.0
4,PASHCHIM CHAMPARAN,Total,Matric/secondary but below graduate,249579.0,170975.0,78604.0,87924.0,78799.0,9125.0,39227.0,31821.0,7406.0,22611.0,19835.0,2776.0,122428.0,60355.0,62073.0,24184.0,15165.0,9019.0
5,PASHCHIM CHAMPARAN,Total,Technical diploma or certificate not equal to degree,812.0,713.0,99.0,369.0,348.0,21.0,90.0,82.0,8.0,54.0,52.0,2.0,353.0,283.0,70.0,97.0,85.0,12.0
6,PASHCHIM CHAMPARAN,Total,Graduate and above other than technical degree,58638.0,45801.0,12837.0,30956.0,28211.0,2745.0,7026.0,6184.0,842.0,4194.0,3837.0,357.0,20656.0,11406.0,9250.0,6627.0,4551.0,2076.0
7,PASHCHIM CHAMPARAN,Total,Technical degree or diploma equal to degree or post-graduate degree,5755.0,4790.0,965.0,2866.0,2534.0,332.0,392.0,331.0,61.0,219.0,199.0,20.0,2497.0,1925.0,572.0,850.0,681.0,169.0
8,PASHCHIM CHAMPARAN,Rural,Total,3541877.0,1853809.0,1688068.0,713435.0,553533.0,159902.0,653643.0,351409.0,302234.0,333490.0,220865.0,112625.0,2174799.0,948867.0,1225932.0,105481.0,46803.0,58678.0
9,PASHCHIM CHAMPARAN,Rural,Illiterate,2016473.0,897416.0,1119057.0,361566.0,242184.0,119382.0,396980.0,164579.0,232401.0,192218.0,104003.0,88215.0,1257927.0,490653.0,767274.0,43949.0,10493.0,33456.0
10,PASHCHIM CHAMPARAN,Rural,Literate,1525404.0,956393.0,569011.0,351869.0,311349.0,40520.0,256663.0,186830.0,69833.0,141272.0,116862.0,24410.0,916872.0,458214.0,458658.0,61532.0,36310.0,25222.0
11,PASHCHIM CHAMPARAN,Rural,Literate but below matric/secondary,1188060.0,722855.0,465205.0,227472.0,201934.0,25538.0,184619.0,133622.0,50997.0,101612.0,84158.0,17454.0,775969.0,387299.0,388670.0,36195.0,20108.0,16087.0
12,PASHCHIM CHAMPARAN,Rural,Matric/secondary but below graduate,191492.0,137086.0,54406.0,69683.0,62564.0,7119.0,35844.0,28973.0,6871.0,20531.0,18044.0,2487.0,85965.0,45549.0,40416.0,16992.0,11124.0,5868.0
13,PASHCHIM CHAMPARAN,Rural,Technical diploma or certificate not equal to degree,603.0,544.0,59.0,274.0,262.0,12.0,73.0,66.0,7.0,47.0,45.0,2.0,256.0,216.0,40.0,62.0,56.0,6.0
14,PASHCHIM CHAMPARAN,Rural,Graduate and above other than technical degree,36266.0,29831.0,6435.0,19430.0,17941.0,1489.0,5780.0,5128.0,652.0,3475.0,3230.0,245.0,11056.0,6762.0,4294.0,3532.0,2567.0,965.0
15,PASHCHIM CHAMPARAN,Rural,Technical degree or diploma equal to degree or post-graduate degree,3051.0,2648.0,403.0,1496.0,1370.0,126.0,298.0,251.0,47.0,166.0,154.0,12.0,1257.0,1027.0,230.0,397.0,331.0,66.0
16,PASHCHIM CHAMPARAN,Urban,Total,393165.0,207301.0,185864.0,84109.0,73756.0,10353.0,27760.0,20584.0,7176.0,15992.0,13175.0,2817.0,281296.0,112961.0,168335.0,22345.0,11119.0,11226.0
17,PASHCHIM CHAMPARAN,Urban,Illiterate,159088.0,72468.0,86620.0,23501.0,18904.0,4597.0,12933.0,8012.0,4921.0,6976.0,5219.0,1757.0,122654.0,45552.0,77102.0,5038.0,1422.0,3616.0
18,PASHCHIM CHAMPARAN,Urban,Literate,234077.0,134833.0,99244.0,60608.0,54852.0,5756.0,14827.0,12572.0,2255.0,9016.0,7956.0,1060.0,158642.0,67409.0,91233.0,17307.0,9697.0,7610.0
19,PASHCHIM CHAMPARAN,Urban,Literate but below matric/secondary,140588.0,77062.0,63526.0,26200.0,24269.0,1931.0,8992.0,7661.0,1331.0,5532.0,4961.0,571.0,105396.0,45132.0,60264.0,5786.0,2924.0,2862.0
20,PASHCHIM CHAMPARAN,Urban,Matric/secondary but below graduate,58087.0,33889.0,24198.0,18241.0,16235.0,2006.0,3383.0,2848.0,535.0,2080.0,1791.0,289.0,36463.0,14806.0,21657.0,7192.0,4041.0,3151.0
21,PASHCHIM CHAMPARAN,Urban,Technical diploma or certificate not equal to degree,209.0,169.0,40.0,95.0,86.0,9.0,17.0,16.0,1.0,7.0,7.0,0.0,97.0,67.0,30.0,35.0,29.0,6.0
22,PASHCHIM CHAMPARAN,Urban,Graduate and above other than technical degree,22372.0,15970.0,6402.0,11526.0,10270.0,1256.0,1246.0,1056.0,190.0,719.0,607.0,112.0,9600.0,4644.0,4956.0,3095.0,1984.0,1111.0
23,PASHCHIM CHAMPARAN,Urban,Technical degree or diploma equal to degree or post-graduate degree,2704.0,2142.0,562.0,1370.0,1164.0,206.0,94.0,80.0,14.0,53.0,45.0,8.0,1240.0,898.0,342.0,453.0,350.0,103.0
24,PURBA CHAMPARAN,Total,Total,5099371.0,2681209.0,2418162.0,1132789.0,923468.0,209321.0,604750.0,337306.0,267444.0,288463.0,201078.0,87385.0,3361832.0,1420435.0,1941397.0,173663.0,76425.0,97238.0
25,PURBA CHAMPARAN,Total,Illiterate,2822414.0,1273606.0,1548808.0,551436.0,399769.0,151667.0,367350.0,159565.0,207785.0,163180.0,94880.0,68300.0,1903628.0,714272.0,1189356.0,68185.0,15937.0,52248.0
26,PURBA CHAMPARAN,Total,Literate,2276957.0,1407603.0,869354.0,581353.0,523699.0,57654.0,237400.0,177741.0,59659.0,125283.0,106198.0,19085.0,1458204.0,706163.0,752041.0,105478.0,60488.0,44990.0
27,PURBA CHAMPARAN,Total,Literate but below matric/secondary,1662939.0,990597.0,672342.0,334779.0,303888.0,30891.0,159732.0,118132.0,41600.0,83442.0,70510.0,12932.0,1168428.0,568577.0,599851.0,54295.0,28995.0,25300.0
28,PURBA CHAMPARAN,Total,Matric/secondary but below graduate,381705.0,258922.0,122783.0,145836.0,131710.0,14126.0,44307.0,36013.0,8294.0,24670.0,21733.0,2937.0,191562.0,91199.0,100363.0,35401.0,21523.0,13878.0
29,PURBA CHAMPARAN,Total,Technical diploma or certificate not equal to degree,885.0,775.0,110.0,432.0,414.0,18.0,80.0,70.0,10.0,52.0,49.0,3.0,373.0,291.0,82.0,123.0,102.0,21.0
30,PURBA CHAMPARAN,Total,Graduate and above other than technical degree,81971.0,64157.0,17814.0,45694.0,41786.0,3908.0,7386.0,6476.0,910.0,4131.0,3738.0,393.0,28891.0,15895.0,12996.0,8340.0,5707.0,2633.0
31,PURBA CHAMPARAN,Total,Technical degree or diploma equal to degree or post-graduate degree,7477.0,6353.0,1124.0,3755.0,3402.0,353.0,406.0,348.0,58.0,219.0,190.0,29.0,3316.0,2603.0,713.0,1062.0,891.0,171.0
32,PURBA CHAMPARAN,Rural,Total,4698028.0,2468181.0,2229847.0,1042494.0,843567.0,198927.0,582069.0,321942.0,260127.0,276260.0,191576.0,84684.0,3073465.0,1302672.0,1770793.0,151619.0,65450.0,86169.0
33,PURBA CHAMPARAN,Rural,Illiterate,2659248.0,1198281.0,1460967.0,525373.0,378438.0,146935.0,356980.0,154099.0,202881.0,157853.0,91303.0,66550.0,1776895.0,665744.0,1111151.0,63244.0,14451.0,48793.0
34,PURBA CHAMPARAN,Rural,Literate,2038780.0,1269900.0,768880.0,517121.0,465129.0,51992.0,225089.0,167843.0,57246.0,118407.0,100273.0,18134.0,1296570.0,636928.0,659642.0,88375.0,50999.0,37376.0
35,PURBA CHAMPARAN,Rural,Literate but below matric/secondary,1526279.0,915485.0,610794.0,308860.0,279687.0,29173.0,152996.0,112718.0,40278.0,79585.0,67171.0,12414.0,1064423.0,523080.0,541343.0,48103.0,25837.0,22266.0
36,PURBA CHAMPARAN,Rural,Matric/secondary but below graduate,320094.0,223503.0,96591.0,126419.0,114269.0,12150.0,41130.0,33404.0,7726.0,22929.0,20221.0,2708.0,152545.0,75830.0,76715.0,28582.0,17770.0,10812.0
37,PURBA CHAMPARAN,Rural,Technical diploma or certificate not equal to degree,643.0,564.0,79.0,302.0,291.0,11.0,69.0,62.0,7.0,46.0,43.0,3.0,272.0,211.0,61.0,92.0,78.0,14.0
38,PURBA CHAMPARAN,Rural,Graduate and above other than technical degree,55829.0,45666.0,10163.0,32083.0,29560.0,2523.0,6138.0,5432.0,706.0,3463.0,3172.0,291.0,17608.0,10674.0,6934.0,5327.0,3865.0,1462.0
39,PURBA CHAMPARAN,Rural,Technical degree or diploma equal to degree or post-graduate degree,4220.0,3673.0,547.0,2124.0,1963.0,161.0,286.0,249.0,37.0,152.0,135.0,17.0,1810.0,1461.0,349.0,591.0,508.0,83.0
40,PURBA CHAMPARAN,Urban,Total,401343.0,213028.0,188315.0,90295.0,79901.0,10394.0,22681.0,15364.0,7317.0,12203.0,9502.0,2701.0,288367.0,117763.0,170604.0,22044.0,10975.0,11069.0
41,PURBA CHAMPARAN,Urban,Illiterate,163166.0,75325.0,87841.0,26063.0,21331.0,4732.0,10370.0,5466.0,4904.0,5327.0,3577.0,1750.0,126733.0,48528.0,78205.0,4941.0,1486.0,3455.0
42,PURBA CHAMPARAN,Urban,Literate,238177.0,137703.0,100474.0,64232.0,58570.0,5662.0,12311.0,9898.0,2413.0,6876.0,5925.0,951.0,161634.0,69235.0,92399.0,17103.0,9489.0,7614.0
43,PURBA CHAMPARAN,Urban,Literate but below matric/secondary,136660.0,75112.0,61548.0,25919.0,24201.0,1718.0,6736.0,5414.0,1322.0,3857.0,3339.0,518.0,104005.0,45497.0,58508.0,6192.0,3158.0,3034.0
44,PURBA CHAMPARAN,Urban,Matric/secondary but below graduate,61611.0,35419.0,26192.0,19417.0,17441.0,1976.0,3177.0,2609.0,568.0,1741.0,1512.0,229.0,39017.0,15369.0,23648.0,6819.0,3753.0,3066.0
45,PURBA CHAMPARAN,Urban,Technical diploma or certificate not equal to degree,242.0,211.0,31.0,130.0,123.0,7.0,11.0,8.0,3.0,6.0,6.0,0.0,101.0,80.0,21.0,31.0,24.0,7.0
46,PURBA CHAMPARAN,Urban,Graduate and above other than technical degree,26142.0,18491.0,7651.0,13611.0,12226.0,1385.0,1248.0,1044.0,204.0,668.0,566.0,102.0,11283.0,5221.0,6062.0,3013.0,1842.0,1171.0
47,PURBA CHAMPARAN,Urban,Technical degree or diploma equal to degree or post-graduate degree,3257.0,2680.0,577.0,1631.0,1439.0,192.0,120.0,99.0,21.0,67.0,55.0,12.0,1506.0,1142.0,364.0,471.0,383.0,88.0
48,SHEOHAR,Total,Total,656246.0,346673.0,309573.0,137804.0,116164.0,21640.0,78568.0,50529.0,28039.0,39205.0,30239.0,8966.0,439874.0,179980.0,259894.0,23995.0,9404.0,14591.0
49,SHEOHAR,Total,Illiterate,372548.0,175028.0,197520.0,69334.0,54623.0,14711.0,46838.0,26371.0,20467.0,22816.0,16230.0,6586.0,256376.0,94034.0,162342.0,11205.0,2635.0,8570.0
