,Area name,Total/Rural/Urban,Education level,total person,total males,total females,person main worker,males main worker,females main worker,person marginal worker,males marginal worker,females marginal worker,person MAW,males MAW,females MAW,person non worker,males non worker,females non worker,person unemployed,males unemployed,females unemployed
0,CHANDIGARH,Total,Total,1055450.0,580663.0,474787.0,385929.0,317190.0,68739.0,18207.0,10969.0,7238.0,8086.0,5209.0,2877.0,651314.0,252504.0,398810.0,48576.0,19660.0,28916.0
1,CHANDIGARH,Total,Illiterate,250012.0,115317.0,134695.0,53346.0,39148.0,14198.0,3708.0,1843.0,1865.0,1334.0,774.0,560.0,192958.0,74326.0,118632.0,4437.0,1100.0,3337.0
2,CHANDIGARH,Total,Literate,805438.0,465346.0,340092.0,332583.0,278042.0,54541.0,14499.0,9126.0,5373.0,6752.0,4435.0,2317.0,458356.0,178178.0,280178.0,44139.0,18560.0,25579.0
3,CHANDIGARH,Total,Literate but below matric/secondary,332991.0,192820.0,140171.0,98342.0,88837.0,9505.0,5975.0,4129.0,1846.0,2673.0,2027.0,646.0,228674.0,99854.0,128820.0,10647.0,5020.0,5627.0
4,CHANDIGARH,Total,Matric/secondary but below graduate,251311.0,151731.0,99580.0,110070.0,99885.0,10185.0,4670.0,3061.0,1609.0,2271.0,1548.0,723.0,136571.0,48785.0,87786.0,17402.0,7830.0,9572.0
5,CHANDIGARH,Total,Technical diploma or certificate not equal to degree,13801.0,9660.0,4141.0,7280.0,5757.0,1523.0,264.0,160.0,104.0,133.0,82.0,51.0,6257.0,3743.0,2514.0,1154.0,810.0,344.0
6,CHANDIGARH,Total,Graduate and above other than technical degree,159521.0,85539.0,73982.0,90774.0,65872.0,24902.0,2468.0,1149.0,1319.0,1140.0,481.0,659.0,66279.0,18518.0,47761.0,10908.0,3276.0,7632.0
7,CHANDIGARH,Total,Technical degree or diploma equal to degree or post-graduate degree,34932.0,19209.0,15723.0,20312.0,13170.0,7142.0,693.0,377.0,316.0,376.0,199.0,177.0,13927.0,5662.0,8265.0,3463.0,1439.0,2024.0
8,CHANDIGARH,Rural,Total,28991.0,17150.0,11841.0,11683.0,10356.0,1327.0,667.0,308.0,359.0,173.0,103.0,70.0,16641.0,6486.0,10155.0,970.0,371.0,599.0
9,CHANDIGARH,Rural,Illiterate,9030.0,4398.0,4632.0,2279.0,1684.0,595.0,166.0,59.0,107.0,25.0,11.0,14.0,6585.0,2655.0,3930.0,134.0,22.0,112.0
10,CHANDIGARH,Rural,Literate,19961.0,12752.0,7209.0,9404.0,8672.0,732.0,501.0,249.0,252.0,148.0,92.0,56.0,10056.0,3831.0,6225.0,836.0,349.0,487.0
11,CHANDIGARH,Rural,Literate but below matric/secondary,10549.0,6491.0,4058.0,3904.0,3658.0,246.0,252.0,124.0,128.0,63.0,46.0,17.0,6393.0,2709.0,3684.0,276.0,106.0,170.0
12,CHANDIGARH,Rural,Matric/secondary but below graduate,7098.0,4762.0,2336.0,4030.0,3774.0,256.0,189.0,93.0,96.0,57.0,34.0,23.0,2879.0,895.0,1984.0,384.0,184.0,200.0
13,CHANDIGARH,Rural,Technical diploma or certificate not equal to degree,154.0,124.0,30.0,99.0,85.0,14.0,7.0,5.0,2.0,3.0,2.0,1.0,48.0,34.0,14.0,9.0,6.0,3.0
14,CHANDIGARH,Rural,Graduate and above other than technical degree,1660.0,1067.0,593.0,1094.0,925.0,169.0,41.0,17.0,24.0,20.0,6.0,14.0,525.0,125.0,400.0,126.0,36.0,90.0
15,CHANDIGARH,Rural,Technical degree or diploma equal to degree or post-graduate degree,212.0,128.0,84.0,122.0,88.0,34.0,4.0,3.0,1.0,3.0,2.0,1.0,86.0,37.0,49.0,30.0,15.0,15.0
16,CHANDIGARH,Urban,Total,1026459.0,563513.0,462946.0,374246.0,306834.0,67412.0,17540.0,10661.0,6879.0,7913.0,5106.0,2807.0,634673.0,246018.0,388655.0,47606.0,19289.0,28317.0
17,CHANDIGARH,Urban,Illiterate,240982.0,110919.0,130063.0,51067.0,37464.0,13603.0,3542.0,1784.0,1758.0,1309.0,763.0,546.0,186373.0,71671.0,114702.0,4303.0,1078.0,3225.0
18,CHANDIGARH,Urban,Literate,785477.0,452594.0,332883.0,323179.0,269370.0,53809.0,13998.0,8877.0,5121.0,6604.0,4343.0,2261.0,448300.0,174347.0,273953.0,43303.0,18211.0,25092.0
19,CHANDIGARH,Urban,Literate but below matric/secondary,322442.0,186329.0,136113.0,94438.0,85179.0,9259.0,5723.0,4005.0,1718.0,2610.0,1981.0,629.0,222281.0,97145.0,125136.0,10371.0,4914.0,5457.0
20,CHANDIGARH,Urban,Matric/secondary but below graduate,244213.0,146969.0,97244.0,106040.0,96111.0,9929.0,4481.0,2968.0,1513.0,2214.0,1514.0,700.0,133692.0,47890.0,85802.0,17018.0,7646.0,9372.0
21,CHANDIGARH,Urban,Technical diploma or certificate not equal to degree,13647.0,9536.0,4111.0,7181.0,5672.0,1509.0,257.0,155.0,102.0,130.0,80.0,50.0,6209.0,3709.0,2500.0,1145.0,804.0,341.0
22,CHANDIGARH,Urban,Graduate and above other than technical degree,157861.0,84472.0,73389.0,89680.0,64947.0,24733.0,2427.0,1132.0,1295.0,1120.0,475.0,645.0,65754.0,18393.0,47361.0,10782.0,3240.0,7542.0
23,CHANDIGARH,Urban,Technical degree or diploma equal to degree or post-graduate degree,34720.0,19081.0,15639.0,20190.0,13082.0,7108.0,689.0,374.0,315.0,373.0,197.0,176.0,13841.0,5625.0,8216.0,3433.0,1424.0,2009.0
