,Area name,Total/Rural/Urban,Education level,total person,total males,total females,person main worker,males main worker,females main worker,person marginal worker,males marginal worker,females marginal worker,person MAW,males MAW,females MAW,person non worker,males non worker,females non worker,person unemployed,males unemployed,females unemployed
0,KORIYA,Total,Total,658917.0,334737.0,324180.0,173057.0,129471.0,43586.0,134014.0,56012.0,78002.0,61584.0,33862.0,27722.0,351846.0,149254.0,202592.0,27066.0,13498.0,13568.0
1,KORIYA,Total,Illiterate,261094.0,104814.0,156280.0,55334.0,31176.0,24158.0,57862.0,14741.0,43121.0,24619.0,8881.0,15738.0,147898.0,58897.0,89001.0,3238.0,653.0,2585.0
2,KORIYA,Total,Literate,397823.0,229923.0,167900.0,117723.0,98295.0,19428.0,76152.0,41271.0,34881.0,36965.0,24981.0,11984.0,203948.0,90357.0,113591.0,23828.0,12845.0,10983.0
3,KORIYA,Total,Literate but below matric/secondary,289674.0,163886.0,125788.0,75277.0,62402.0,12875.0,62241.0,32896.0,29345.0,29205.0,19452.0,9753.0,152156.0,68588.0,83568.0,9660.0,4908.0,4752.0
4,KORIYA,Total,Matric/secondary but below graduate,68941.0,42037.0,26904.0,22363.0,19702.0,2661.0,7959.0,5414.0,2545.0,4548.0,3538.0,1010.0,38619.0,16921.0,21698.0,9545.0,5469.0,4076.0
5,KORIYA,Total,Technical diploma or certificate not equal to degree,1197.0,1045.0,152.0,615.0,568.0,47.0,51.0,41.0,10.0,36.0,29.0,7.0,531.0,436.0,95.0,278.0,242.0,36.0
6,KORIYA,Total,Graduate and above other than technical degree,22226.0,14265.0,7961.0,12909.0,10725.0,2184.0,1001.0,776.0,225.0,704.0,585.0,119.0,8316.0,2764.0,5552.0,3350.0,1672.0,1678.0
7,KORIYA,Total,Technical degree or diploma equal to degree or post-graduate degree,2091.0,1543.0,548.0,1151.0,959.0,192.0,53.0,39.0,14.0,35.0,26.0,9.0,887.0,545.0,342.0,485.0,315.0,170.0
8,KORIYA,Rural,Total,453618.0,228338.0,225280.0,120967.0,84359.0,36608.0,125007.0,50307.0,74700.0,55982.0,29674.0,26308.0,207644.0,93672.0,113972.0,7682.0,3035.0,4647.0
9,KORIYA,Rural,Illiterate,204462.0,82487.0,121975.0,46513.0,24894.0,21619.0,54789.0,13483.0,41306.0,23062.0,8028.0,15034.0,103160.0,44110.0,59050.0,1647.0,265.0,1382.0
