,Area name,Total/Rural/Urban,Education level,total person,total males,total females,person main worker,males main worker,females main worker,person marginal worker,males marginal worker,females marginal worker,person MAW,males MAW,females MAW,person non worker,males non worker,females non worker,person unemployed,males unemployed,females unemployed
0,DADRA & NAGAR HAVELI,Total,Total,343709.0,193760.0,149949.0,130299.0,109125.0,21174.0,26862.0,10168.0,16694.0,5337.0,2704.0,2633.0,186548.0,74467.0,112081.0,7095.0,2451.0,4644.0
1,DADRA & NAGAR HAVELI,Total,Illiterate,120479.0,51239.0,69240.0,29021.0,18218.0,10803.0,13967.0,2815.0,11152.0,2487.0,875.0,1612.0,77491.0,30206.0,47285.0,1723.0,259.0,1464.0
2,DADRA & NAGAR HAVELI,Total,Literate,223230.0,142521.0,80709.0,101278.0,90907.0,10371.0,12895.0,7353.0,5542.0,2850.0,1829.0,1021.0,109057.0,44261.0,64796.0,5372.0,2192.0,3180.0
3,DADRA & NAGAR HAVELI,Total,Literate but below matric/secondary,129530.0,78204.0,51326.0,44636.0,39430.0,5206.0,8083.0,4238.0,3845.0,1833.0,1154.0,679.0,76811.0,34536.0,42275.0,2300.0,999.0,1301.0
4,DADRA & NAGAR HAVELI,Total,Matric/secondary but below graduate,56128.0,39427.0,16701.0,32867.0,30868.0,1999.0,2630.0,1755.0,875.0,505.0,344.0,161.0,20631.0,6804.0,13827.0,1566.0,686.0,880.0
5,DADRA & NAGAR HAVELI,Total,Technical diploma or certificate not equal to degree,4748.0,3645.0,1103.0,3456.0,2982.0,474.0,179.0,130.0,49.0,71.0,50.0,21.0,1113.0,533.0,580.0,246.0,108.0,138.0
6,DADRA & NAGAR HAVELI,Total,Graduate and above other than technical degree,14733.0,9248.0,5485.0,9512.0,8339.0,1173.0,462.0,259.0,203.0,84.0,44.0,40.0,4759.0,650.0,4109.0,577.0,123.0,454.0
7,DADRA & NAGAR HAVELI,Total,Technical degree or diploma equal to degree or post-graduate degree,4441.0,2979.0,1462.0,3073.0,2410.0,663.0,190.0,116.0,74.0,74.0,41.0,33.0,1178.0,453.0,725.0,340.0,142.0,198.0
8,DADRA & NAGAR HAVELI,Rural,Total,183114.0,98305.0,84809.0,62211.0,48239.0,13972.0,21912.0,7564.0,14348.0,4517.0,2217.0,2300.0,98991.0,42502.0,56489.0,3750.0,1373.0,2377.0
9,DADRA & NAGAR HAVELI,Rural,Illiterate,83972.0,34255.0,49717.0,23915.0,14610.0,9305.0,13001.0,2558.0,10443.0,2349.0,816.0,1533.0,47056.0,17087.0,29969.0,1380.0,188.0,1192.0
10,DADRA & NAGAR HAVELI,Rural,Literate,99142.0,64050.0,35092.0,38296.0,33629.0,4667.0,8911.0,5006.0,3905.0,2168.0,1401.0,767.0,51935.0,25415.0,26520.0,2370.0,1185.0,1185.0
11,DADRA & NAGAR HAVELI,Rural,Literate but below matric/secondary,71029.0,43225.0,27804.0,22032.0,18935.0,3097.0,6216.0,3196.0,3020.0,1503.0,937.0,566.0,42781.0,21094.0,21687.0,1292.0,611.0,681.0
12,DADRA & NAGAR HAVELI,Rural,Matric/secondary but below graduate,17672.0,13467.0,4205.0,10186.0,9410.0,776.0,1456.0,1026.0,430.0,309.0,218.0,91.0,6030.0,3031.0,2999.0,551.0,320.0,231.0
13,DADRA & NAGAR HAVELI,Rural,Technical diploma or certificate not equal to degree,1007.0,733.0,274.0,588.0,487.0,101.0,70.0,50.0,20.0,41.0,30.0,11.0,349.0,196.0,153.0,109.0,55.0,54.0
14,DADRA & NAGAR HAVELI,Rural,Graduate and above other than technical degree,2100.0,1516.0,584.0,1355.0,1239.0,116.0,106.0,78.0,28.0,24.0,19.0,5.0,639.0,199.0,440.0,102.0,46.0,56.0
15,DADRA & NAGAR HAVELI,Rural,Technical degree or diploma equal to degree or post-graduate degree,1079.0,726.0,353.0,657.0,509.0,148.0,75.0,49.0,26.0,47.0,30.0,17.0,347.0,168.0,179.0,157.0,80.0,77.0
16,DADRA & NAGAR HAVELI,Urban,Total,160595.0,95455.0,65140.0,68088.0,60886.0,7202.0,4950.0,2604.0,2346.0,820.0,487.0,333.0,87557.0,31965.0,55592.0,3345.0,1078.0,2267.0
17,DADRA & NAGAR HAVELI,Urban,Illiterate,36507.0,16984.0,19523.0,5106.0,3608.0,1498.0,966.0,257.0,709.0,138.0,59.0,79.0,30435.0,13119.0,17316.0,343.0,71.0,272.0
18,DADRA & NAGAR HAVELI,Urban,Literate,124088.0,78471.0,45617.0,62982.0,57278.0,5704.0,3984.0,2347.0,1637.0,682.0,428.0,254.0,57122.0,18846.0,38276.0,3002.0,1007.0,1995.0
19,DADRA & NAGAR HAVELI,Urban,Literate but below matric/secondary,58501.0,34979.0,23522.0,22604.0,20495.0,2109.0,1867.0,1042.0,825.0,330.0,217.0,113.0,34030.0,13442.0,20588.0,1008.0,388.0,620.0
20,DADRA & NAGAR HAVELI,Urban,Matric/secondary but below graduate,38456.0,25960.0,12496.0,22681.0,21458.0,1223.0,1174.0,729.0,445.0,196.0,126.0,70.0,14601.0,3773.0,10828.0,1015.0,366.0,649.0
21,DADRA & NAGAR HAVELI,Urban,Technical diploma or certificate not equal to degree,3741.0,2912.0,829.0,2868.0,2495.0,373.0,109.0,80.0,29.0,30.0,20.0,10.0,764.0,337.0,427.0,137.0,53.0,84.0
22,DADRA & NAGAR HAVELI,Urban,Graduate and above other than technical degree,12633.0,7732.0,4901.0,8157.0,7100.0,1057.0,356.0,181.0,175.0,60.0,25.0,35.0,4120.0,451.0,3669.0,475.0,77.0,398.0
23,DADRA & NAGAR HAVELI,Urban,Technical degree or diploma equal to degree or post-graduate degree,3362.0,2253.0,1109.0,2416.0,1901.0,515.0,115.0,67.0,48.0,27.0,11.0,16.0,831.0,285.0,546.0,183.0,62.0,121.0
