,Area name,Total/Rural/Urban,Education level,total person,total males,total females,person main worker,males main worker,females main worker,person marginal worker,males marginal worker,females marginal worker,person MAW,males MAW,females MAW,person non worker,males non worker,females non worker,person unemployed,males unemployed,females unemployed
0,DIU,Total,Total,52074.0,25642.0,26432.0,14718.0,12659.0,2059.0,1032.0,273.0,759.0,362.0,151.0,211.0,36324.0,12710.0,23614.0,3185.0,1198.0,1987.0
1,DIU,Total,Illiterate,14016.0,5315.0,8701.0,2127.0,1361.0,766.0,328.0,33.0,295.0,68.0,7.0,61.0,11561.0,3921.0,7640.0,277.0,34.0,243.0
2,DIU,Total,Literate,38058.0,20327.0,17731.0,12591.0,11298.0,1293.0,704.0,240.0,464.0,294.0,144.0,150.0,24763.0,8789.0,15974.0,2908.0,1164.0,1744.0
3,DIU,Total,Literate but below matric/secondary,23351.0,11344.0,12007.0,5885.0,5206.0,679.0,445.0,109.0,336.0,160.0,59.0,101.0,17021.0,6029.0,10992.0,1040.0,257.0,783.0
4,DIU,Total,Matric/secondary but below graduate,11582.0,6959.0,4623.0,4989.0,4662.0,327.0,199.0,99.0,100.0,99.0,65.0,34.0,6394.0,2198.0,4196.0,1425.0,664.0,761.0
5,DIU,Total,Technical diploma or certificate not equal to degree,448.0,311.0,137.0,243.0,190.0,53.0,6.0,4.0,2.0,4.0,2.0,2.0,199.0,117.0,82.0,76.0,40.0,36.0
6,DIU,Total,Graduate and above other than technical degree,1580.0,1067.0,513.0,931.0,795.0,136.0,24.0,16.0,8.0,17.0,12.0,5.0,625.0,256.0,369.0,251.0,136.0,115.0
7,DIU,Total,Technical degree or diploma equal to degree or post-graduate degree,486.0,368.0,118.0,311.0,256.0,55.0,8.0,4.0,4.0,6.0,3.0,3.0,167.0,108.0,59.0,75.0,50.0,25.0
8,DIU,Rural,Total,28083.0,14028.0,14055.0,7943.0,6773.0,1170.0,581.0,143.0,438.0,174.0,69.0,105.0,19559.0,7112.0,12447.0,1524.0,551.0,973.0
9,DIU,Rural,Illiterate,9887.0,3765.0,6122.0,1902.0,1243.0,659.0,262.0,29.0,233.0,50.0,5.0,45.0,7723.0,2493.0,5230.0,200.0,16.0,184.0
10,DIU,Rural,Literate,18196.0,10263.0,7933.0,6041.0,5530.0,511.0,319.0,114.0,205.0,124.0,64.0,60.0,11836.0,4619.0,7217.0,1324.0,535.0,789.0
11,DIU,Rural,Literate but below matric/secondary,12777.0,7077.0,5700.0,3966.0,3647.0,319.0,191.0,60.0,131.0,74.0,32.0,42.0,8620.0,3370.0,5250.0,502.0,122.0,380.0
12,DIU,Rural,Matric/secondary but below graduate,4220.0,2314.0,1906.0,1436.0,1308.0,128.0,100.0,37.0,63.0,35.0,23.0,12.0,2684.0,969.0,1715.0,614.0,265.0,349.0
13,DIU,Rural,Technical diploma or certificate not equal to degree,172.0,121.0,51.0,73.0,61.0,12.0,2.0,0.0,2.0,2.0,0.0,2.0,97.0,60.0,37.0,43.0,23.0,20.0
14,DIU,Rural,Graduate and above other than technical degree,587.0,471.0,116.0,353.0,324.0,29.0,10.0,8.0,2.0,6.0,5.0,1.0,224.0,139.0,85.0,115.0,91.0,24.0
15,DIU,Rural,Technical degree or diploma equal to degree or post-graduate degree,174.0,150.0,24.0,100.0,92.0,8.0,3.0,3.0,0.0,2.0,2.0,0.0,71.0,55.0,16.0,41.0,32.0,9.0
16,DIU,Urban,Total,23991.0,11614.0,12377.0,6775.0,5886.0,889.0,451.0,130.0,321.0,188.0,82.0,106.0,16765.0,5598.0,11167.0,1661.0,647.0,1014.0
17,DIU,Urban,Illiterate,4129.0,1550.0,2579.0,225.0,118.0,107.0,66.0,4.0,62.0,18.0,2.0,16.0,3838.0,1428.0,2410.0,77.0,18.0,59.0
18,DIU,Urban,Literate,19862.0,10064.0,9798.0,6550.0,5768.0,782.0,385.0,126.0,259.0,170.0,80.0,90.0,12927.0,4170.0,8757.0,1584.0,629.0,955.0
19,DIU,Urban,Literate but below matric/secondary,10574.0,4267.0,6307.0,1919.0,1559.0,360.0,254.0,49.0,205.0,86.0,27.0,59.0,8401.0,2659.0,5742.0,538.0,135.0,403.0
