,Area name,Total/Rural/Urban,Education level,total person,total males,total females,person main worker,males main worker,females main worker,person marginal worker,males marginal worker,females marginal worker,person MAW,males MAW,females MAW,person non worker,males non worker,females non worker,person unemployed,males unemployed,females unemployed
0,NORTH GOA,Total,Total,818008.0,416677.0,401331.0,269437.0,202090.0,67347.0,58221.0,37035.0,21186.0,27257.0,17818.0,9439.0,490350.0,177552.0,312798.0,70151.0,24903.0,45248.0
1,NORTH GOA,Total,Illiterate,154948.0,64939.0,90009.0,18812.0,11178.0,7634.0,8565.0,4169.0,4396.0,2947.0,1620.0,1327.0,127571.0,49592.0,77979.0,3868.0,999.0,2869.0
2,NORTH GOA,Total,Literate,663060.0,351738.0,311322.0,250625.0,190912.0,59713.0,49656.0,32866.0,16790.0,24310.0,16198.0,8112.0,362779.0,127960.0,234819.0,66283.0,23904.0,42379.0
3,NORTH GOA,Total,Literate but below matric/secondary,288677.0,150770.0,137907.0,76338.0,60771.0,15567.0,24006.0,16487.0,7519.0,11551.0,8120.0,3431.0,188333.0,73512.0,114821.0,22753.0,8270.0,14483.0
4,NORTH GOA,Total,Matric/secondary but below graduate,208188.0,114753.0,93435.0,88580.0,71581.0,16999.0,13801.0,9355.0,4446.0,7393.0,4936.0,2457.0,105807.0,33817.0,71990.0,27008.0,9897.0,17111.0
5,NORTH GOA,Total,Technical diploma or certificate not equal to degree,20939.0,14812.0,6127.0,12356.0,10185.0,2171.0,1323.0,976.0,347.0,724.0,531.0,193.0,7260.0,3651.0,3609.0,2644.0,1456.0,1188.0
6,NORTH GOA,Total,Graduate and above other than technical degree,70424.0,35440.0,34984.0,41851.0,26643.0,15208.0,3573.0,1880.0,1693.0,1756.0,854.0,902.0,25000.0,6917.0,18083.0,7671.0,2151.0,5520.0
7,NORTH GOA,Total,Technical degree or diploma equal to degree or post-graduate degree,15888.0,9159.0,6729.0,10580.0,6713.0,3867.0,759.0,419.0,340.0,338.0,176.0,162.0,4549.0,2027.0,2522.0,1311.0,559.0,752.0
8,NORTH GOA,Rural,Total,324927.0,163908.0,161019.0,95198.0,71987.0,23211.0,31358.0,20052.0,11306.0,15587.0,10439.0,5148.0,198371.0,71869.0,126502.0,32703.0,11515.0,21188.0
9,NORTH GOA,Rural,Illiterate,66300.0,26323.0,39977.0,6416.0,3570.0,2846.0,4921.0,2291.0,2630.0,1781.0,956.0,825.0,54963.0,20462.0,34501.0,1871.0,445.0,1426.0
