,Area name,Total/Rural/Urban,Education level,total person,total males,total females,person main worker,males main worker,females main worker,person marginal worker,males marginal worker,females marginal worker,person MAW,males MAW,females MAW,person non worker,males non worker,females non worker,person unemployed,males unemployed,females unemployed
0,KACHCHH,Total,Total,2092371.0,1096737.0,995634.0,686937.0,591369.0,95568.0,89291.0,33335.0,55956.0,20054.0,12125.0,7929.0,1316143.0,472033.0,844110.0,35865.0,14371.0,21494.0
1,KACHCHH,Total,Illiterate,840052.0,357498.0,482554.0,187923.0,140197.0,47726.0,39706.0,7860.0,31846.0,7203.0,2900.0,4303.0,612423.0,209441.0,402982.0,8789.0,1891.0,6898.0
2,KACHCHH,Total,Literate,1252319.0,739239.0,513080.0,499014.0,451172.0,47842.0,49585.0,25475.0,24110.0,12851.0,9225.0,3626.0,703720.0,262592.0,441128.0,27076.0,12480.0,14596.0
3,KACHCHH,Total,Literate but below matric/secondary,878275.0,503565.0,374710.0,301133.0,272539.0,28594.0,36472.0,17415.0,19057.0,9813.0,6969.0,2844.0,540670.0,213611.0,327059.0,15405.0,7103.0,8302.0
4,KACHCHH,Total,Matric/secondary but below graduate,229636.0,148398.0,81238.0,115640.0,108478.0,7162.0,7760.0,5007.0,2753.0,1939.0,1518.0,421.0,106236.0,34913.0,71323.0,6736.0,3502.0,3234.0
5,KACHCHH,Total,Technical diploma or certificate not equal to degree,17426.0,13289.0,4137.0,12930.0,10644.0,2286.0,406.0,307.0,99.0,122.0,99.0,23.0,4090.0,2338.0,1752.0,638.0,389.0,249.0
6,KACHCHH,Total,Graduate and above other than technical degree,64969.0,38378.0,26591.0,37788.0,32441.0,5347.0,1768.0,1075.0,693.0,361.0,215.0,146.0,25413.0,4862.0,20551.0,2662.0,849.0,1813.0
7,KACHCHH,Total,Technical degree or diploma equal to degree or post-graduate degree,13666.0,9568.0,4098.0,9575.0,7856.0,1719.0,367.0,244.0,123.0,74.0,52.0,22.0,3724.0,1468.0,2256.0,569.0,233.0,336.0
8,KACHCHH,Rural,Total,1363836.0,713524.0,650312.0,448173.0,382698.0,65475.0,68695.0,22282.0,46413.0,15517.0,9263.0,6254.0,846968.0,308544.0,538424.0,21366.0,8062.0,13304.0
9,KACHCHH,Rural,Illiterate,622914.0,264339.0,358575.0,149725.0,111112.0,38613.0,34331.0,6004.0,28327.0,5975.0,2349.0,3626.0,438858.0,147223.0,291635.0,6361.0,1209.0,5152.0
10,KACHCHH,Rural,Literate,740922.0,449185.0,291737.0,298448.0,271586.0,26862.0,34364.0,16278.0,18086.0,9542.0,6914.0,2628.0,408110.0,161321.0,246789.0,15005.0,6853.0,8152.0
11,KACHCHH,Rural,Literate but below matric/secondary,586268.0,343728.0,242540.0,209407.0,189416.0,19991.0,28279.0,12800.0,15479.0,7844.0,5577.0,2267.0,348582.0,141512.0,207070.0,10015.0,4410.0,5605.0
12,KACHCHH,Rural,Matric/secondary but below graduate,101282.0,70794.0,30488.0,56087.0,53292.0,2795.0,3938.0,2448.0,1490.0,1183.0,971.0,212.0,41257.0,15054.0,26203.0,3107.0,1708.0,1399.0
