,Area name,Total/Rural/Urban,Education level,total person,total males,total females,person main worker,males main worker,females main worker,person marginal worker,males marginal worker,females marginal worker,person MAW,males MAW,females MAW,person non worker,males non worker,females non worker,person unemployed,males unemployed,females unemployed
0,PANCHKULA,Total,Total,561293.0,299679.0,261614.0,182831.0,148695.0,34136.0,28648.0,16170.0,12478.0,12480.0,8757.0,3723.0,349814.0,134814.0,215000.0,25882.0,9626.0,16256.0
1,PANCHKULA,Total,Illiterate,155975.0,69817.0,86158.0,30408.0,20804.0,9604.0,8225.0,3525.0,4700.0,2934.0,1763.0,1171.0,117342.0,45488.0,71854.0,3029.0,610.0,2419.0
2,PANCHKULA,Total,Literate,405318.0,229862.0,175456.0,152423.0,127891.0,24532.0,20423.0,12645.0,7778.0,9546.0,6994.0,2552.0,232472.0,89326.0,143146.0,22853.0,9016.0,13837.0
3,PANCHKULA,Total,Literate but below matric/secondary,179082.0,98835.0,80247.0,45262.0,39194.0,6068.0,10727.0,6737.0,3990.0,4984.0,3945.0,1039.0,123093.0,52904.0,70189.0,5744.0,2324.0,3420.0
4,PANCHKULA,Total,Matric/secondary but below graduate,120681.0,73076.0,47605.0,51519.0,46891.0,4628.0,5934.0,3929.0,2005.0,3032.0,2260.0,772.0,63228.0,22256.0,40972.0,8961.0,3849.0,5112.0
5,PANCHKULA,Total,Technical diploma or certificate not equal to degree,8388.0,6228.0,2160.0,4481.0,3813.0,668.0,280.0,196.0,84.0,140.0,98.0,42.0,3627.0,2219.0,1408.0,741.0,498.0,243.0
6,PANCHKULA,Total,Graduate and above other than technical degree,70954.0,37035.0,33919.0,37476.0,28090.0,9386.0,2327.0,1152.0,1175.0,922.0,419.0,503.0,31151.0,7793.0,23358.0,5317.0,1506.0,3811.0
7,PANCHKULA,Total,Technical degree or diploma equal to degree or post-graduate degree,17643.0,10174.0,7469.0,10011.0,6964.0,3047.0,586.0,315.0,271.0,233.0,116.0,117.0,7046.0,2895.0,4151.0,1621.0,659.0,962.0
8,PANCHKULA,Rural,Total,248063.0,133153.0,114910.0,75246.0,63002.0,12244.0,19481.0,10955.0,8526.0,9171.0,6755.0,2416.0,153336.0,59196.0,94140.0,10178.0,3671.0,6507.0
9,PANCHKULA,Rural,Illiterate,84636.0,37227.0,47409.0,17421.0,11828.0,5593.0,6207.0,2554.0,3653.0,2340.0,1437.0,903.0,61008.0,22845.0,38163.0,1432.0,248.0,1184.0
10,PANCHKULA,Rural,Literate,163427.0,95926.0,67501.0,57825.0,51174.0,6651.0,13274.0,8401.0,4873.0,6831.0,5318.0,1513.0,92328.0,36351.0,55977.0,8746.0,3423.0,5323.0
11,PANCHKULA,Rural,Literate but below matric/secondary,96951.0,53949.0,43002.0,26540.0,22835.0,3705.0,8388.0,5211.0,3177.0,4138.0,3336.0,802.0,62023.0,25903.0,36120.0,3085.0,1125.0,1960.0
12,PANCHKULA,Rural,Matric/secondary but below graduate,51136.0,32769.0,18367.0,23736.0,22000.0,1736.0,3836.0,2565.0,1271.0,2131.0,1630.0,501.0,23564.0,8204.0,15360.0,3944.0,1641.0,2303.0
13,PANCHKULA,Rural,Technical diploma or certificate not equal to degree,1481.0,1155.0,326.0,608.0,529.0,79.0,108.0,79.0,29.0,64.0,47.0,17.0,765.0,547.0,218.0,226.0,161.0,65.0
14,PANCHKULA,Rural,Graduate and above other than technical degree,9004.0,5364.0,3640.0,4732.0,4059.0,673.0,554.0,323.0,231.0,313.0,177.0,136.0,3718.0,982.0,2736.0,1089.0,348.0,741.0
15,PANCHKULA,Rural,Technical degree or diploma equal to degree or post-graduate degree,1606.0,968.0,638.0,857.0,643.0,214.0,77.0,52.0,25.0,46.0,31.0,15.0,672.0,273.0,399.0,234.0,90.0,144.0
16,PANCHKULA,Urban,Total,313230.0,166526.0,146704.0,107585.0,85693.0,21892.0,9167.0,5215.0,3952.0,3309.0,2002.0,1307.0,196478.0,75618.0,120860.0,15704.0,5955.0,9749.0
17,PANCHKULA,Urban,Illiterate,71339.0,32590.0,38749.0,12987.0,8976.0,4011.0,2018.0,971.0,1047.0,594.0,326.0,268.0,56334.0,22643.0,33691.0,1597.0,362.0,1235.0
18,PANCHKULA,Urban,Literate,241891.0,133936.0,107955.0,94598.0,76717.0,17881.0,7149.0,4244.0,2905.0,2715.0,1676.0,1039.0,140144.0,52975.0,87169.0,14107.0,5593.0,8514.0
19,PANCHKULA,Urban,Literate but below matric/secondary,82131.0,44886.0,37245.0,18722.0,16359.0,2363.0,2339.0,1526.0,813.0,846.0,609.0,237.0,61070.0,27001.0,34069.0,2659.0,1199.0,1460.0
20,PANCHKULA,Urban,Matric/secondary but below graduate,69545.0,40307.0,29238.0,27783.0,24891.0,2892.0,2098.0,1364.0,734.0,901.0,630.0,271.0,39664.0,14052.0,25612.0,5017.0,2208.0,2809.0
21,PANCHKULA,Urban,Technical diploma or certificate not equal to degree,6907.0,5073.0,1834.0,3873.0,3284.0,589.0,172.0,117.0,55.0,76.0,51.0,25.0,2862.0,1672.0,1190.0,515.0,337.0,178.0
22,PANCHKULA,Urban,Graduate and above other than technical degree,61950.0,31671.0,30279.0,32744.0,24031.0,8713.0,1773.0,829.0,944.0,609.0,242.0,367.0,27433.0,6811.0,20622.0,4228.0,1158.0,3070.0
23,PANCHKULA,Urban,Technical degree or diploma equal to degree or post-graduate degree,16037.0,9206.0,6831.0,9154.0,6321.0,2833.0,509.0,263.0,246.0,187.0,85.0,102.0,6374.0,2622.0,3752.0,1387.0,569.0,818.0
24,AMBALA,Total,Total,1128350.0,598703.0,529647.0,319475.0,282066.0,37409.0,52664.0,38054.0,14610.0,26381.0,20888.0,5493.0,756211.0,278583.0,477628.0,57239.0,24873.0,32366.0
25,AMBALA,Total,Illiterate,310325.0,137415.0,172910.0,48422.0,39263.0,9159.0,13764.0,8424.0,5340.0,6241.0,4491.0,1750.0,248139.0,89728.0,158411.0,5903.0,1472.0,4431.0
26,AMBALA,Total,Literate,818025.0,461288.0,356737.0,271053.0,242803.0,28250.0,38900.0,29630.0,9270.0,20140.0,16397.0,3743.0,508072.0,188855.0,319217.0,51336.0,23401.0,27935.0
27,AMBALA,Total,Literate but below matric/secondary,400218.0,218606.0,181612.0,97372.0,89529.0,7843.0,20014.0,15636.0,4378.0,10748.0,9116.0,1632.0,282832.0,113441.0,169391.0,14937.0,6748.0,8189.0
28,AMBALA,Total,Matric/secondary but below graduate,265308.0,160072.0,105236.0,104193.0,97595.0,6598.0,11826.0,9260.0,2566.0,6298.0,5148.0,1150.0,149289.0,53217.0,96072.0,21040.0,10668.0,10372.0
29,AMBALA,Total,Technical diploma or certificate not equal to degree,9892.0,6895.0,2997.0,3975.0,3207.0,768.0,360.0,289.0,71.0,183.0,162.0,21.0,5557.0,3399.0,2158.0,1196.0,847.0,349.0
30,AMBALA,Total,Graduate and above other than technical degree,87607.0,47063.0,40544.0,43222.0,34680.0,8542.0,3529.0,2200.0,1329.0,1548.0,944.0,604.0,40856.0,10183.0,30673.0,9520.0,3133.0,6387.0
31,AMBALA,Total,Technical degree or diploma equal to degree or post-graduate degree,16639.0,8918.0,7721.0,8091.0,5426.0,2665.0,699.0,398.0,301.0,341.0,192.0,149.0,7849.0,3094.0,4755.0,2302.0,1011.0,1291.0
32,AMBALA,Rural,Total,627576.0,331703.0,295873.0,163089.0,148590.0,14499.0,32757.0,24574.0,8183.0,17605.0,14790.0,2815.0,431730.0,158539.0,273191.0,25683.0,12003.0,13680.0
33,AMBALA,Rural,Illiterate,200934.0,87421.0,113513.0,32266.0,26877.0,5389.0,9914.0,6066.0,3848.0,4579.0,3380.0,1199.0,158754.0,54478.0,104276.0,2994.0,643.0,2351.0
34,AMBALA,Rural,Literate,426642.0,244282.0,182360.0,130823.0,121713.0,9110.0,22843.0,18508.0,4335.0,13026.0,11410.0,1616.0,272976.0,104061.0,168915.0,22689.0,11360.0,11329.0
35,AMBALA,Rural,Literate but below matric/secondary,248643.0,136144.0,112499.0,61346.0,57178.0,4168.0,13417.0,10734.0,2683.0,7612.0,6661.0,951.0,173880.0,68232.0,105648.0,7655.0,3450.0,4205.0
36,AMBALA,Rural,Matric/secondary but below graduate,130480.0,80499.0,49981.0,49842.0,47339.0,2503.0,6879.0,5820.0,1059.0,4044.0,3621.0,423.0,73759.0,27340.0,46419.0,9862.0,5376.0,4486.0
37,AMBALA,Rural,Technical diploma or certificate not equal to degree,3938.0,3163.0,775.0,1252.0,1109.0,143.0,174.0,157.0,17.0,109.0,104.0,5.0,2512.0,1897.0,615.0,634.0,513.0,121.0
38,AMBALA,Rural,Graduate and above other than technical degree,21264.0,12468.0,8796.0,9993.0,8650.0,1343.0,922.0,676.0,246.0,570.0,436.0,134.0,10349.0,3142.0,7207.0,2870.0,1217.0,1653.0
39,AMBALA,Rural,Technical degree or diploma equal to degree or post-graduate degree,3291.0,1928.0,1363.0,1446.0,1084.0,362.0,120.0,83.0,37.0,82.0,55.0,27.0,1725.0,761.0,964.0,574.0,285.0,289.0
