,Area name,Total/Rural/Urban,Education level,total person,total males,total females,person main worker,males main worker,females main worker,person marginal worker,males marginal worker,females marginal worker,person MAW,males MAW,females MAW,person non worker,males non worker,females non worker,person unemployed,males unemployed,females unemployed
0,CHAMBA,Total,Total,519080.0,261320.0,257760.0,119632.0,87311.0,32321.0,174403.0,71480.0,102923.0,78804.0,42347.0,36457.0,225045.0,102529.0,122516.0,17367.0,7294.0,10073.0
1,CHAMBA,Total,Illiterate,195238.0,75256.0,119982.0,33046.0,17719.0,15327.0,62048.0,14162.0,47886.0,23309.0,7622.0,15687.0,100144.0,43375.0,56769.0,2252.0,480.0,1772.0
2,CHAMBA,Total,Literate,323842.0,186064.0,137778.0,86586.0,69592.0,16994.0,112355.0,57318.0,55037.0,55495.0,34725.0,20770.0,124901.0,59154.0,65747.0,15115.0,6814.0,8301.0
3,CHAMBA,Total,Literate but below matric/secondary,202080.0,112024.0,90056.0,42822.0,34239.0,8583.0,69553.0,33990.0,35563.0,28673.0,17966.0,10707.0,89705.0,43795.0,45910.0,4843.0,2107.0,2736.0
4,CHAMBA,Total,Matric/secondary but below graduate,91641.0,56405.0,35236.0,30205.0,25114.0,5091.0,34141.0,18962.0,15179.0,21380.0,13564.0,7816.0,27295.0,12329.0,14966.0,7467.0,3556.0,3911.0
5,CHAMBA,Total,Technical diploma or certificate not equal to degree,2512.0,1813.0,699.0,1227.0,1012.0,215.0,616.0,389.0,227.0,497.0,315.0,182.0,669.0,412.0,257.0,295.0,178.0,117.0
6,CHAMBA,Total,Graduate and above other than technical degree,13050.0,7666.0,5384.0,6675.0,4994.0,1681.0,2579.0,1442.0,1137.0,1973.0,1161.0,812.0,3796.0,1230.0,2566.0,1636.0,569.0,1067.0
7,CHAMBA,Total,Technical degree or diploma equal to degree or post-graduate degree,3318.0,2131.0,1187.0,1809.0,1371.0,438.0,611.0,374.0,237.0,483.0,306.0,177.0,898.0,386.0,512.0,471.0,211.0,260.0
8,CHAMBA,Rural,Total,482972.0,241963.0,241009.0,107944.0,77858.0,30086.0,172911.0,70477.0,102434.0,77823.0,41630.0,36193.0,202117.0,93628.0,108489.0,14544.0,6198.0,8346.0
9,CHAMBA,Rural,Illiterate,189289.0,72692.0,116597.0,32394.0,17301.0,15093.0,61807.0,14037.0,47770.0,23155.0,7528.0,15627.0,95088.0,41354.0,53734.0,2124.0,453.0,1671.0
