,Area name,Total/Rural/Urban,Education level,total person,total males,total females,person main worker,males main worker,females main worker,person marginal worker,males marginal worker,females marginal worker,person MAW,males MAW,females MAW,person non worker,males non worker,females non worker,person unemployed,males unemployed,females unemployed
0,KUPWARA,Total,Total,870354.0,474190.0,396164.0,123837.0,111713.0,12124.0,105227.0,79186.0,26041.0,69822.0,57414.0,12408.0,641290.0,283291.0,357999.0,85096.0,34578.0,50518.0
1,KUPWARA,Total,Illiterate,430700.0,191367.0,239333.0,22574.0,17900.0,4674.0,53065.0,36630.0,16435.0,32617.0,25588.0,7029.0,355061.0,136837.0,218224.0,30897.0,6307.0,24590.0
2,KUPWARA,Total,Literate,439654.0,282823.0,156831.0,101263.0,93813.0,7450.0,52162.0,42556.0,9606.0,37205.0,31826.0,5379.0,286229.0,146454.0,139775.0,54199.0,28271.0,25928.0
3,KUPWARA,Total,Literate but below matric/secondary,265327.0,155094.0,110233.0,26812.0,24646.0,2166.0,32537.0,26954.0,5583.0,22596.0,19769.0,2827.0,205978.0,103494.0,102484.0,25002.0,11941.0,13061.0
4,KUPWARA,Total,Matric/secondary but below graduate,131975.0,97191.0,34784.0,56946.0,53860.0,3086.0,15079.0,12067.0,3012.0,11368.0,9449.0,1919.0,59950.0,31264.0,28686.0,22260.0,12144.0,10116.0
5,KUPWARA,Total,Technical diploma or certificate not equal to degree,770.0,517.0,253.0,306.0,245.0,61.0,87.0,57.0,30.0,49.0,33.0,16.0,377.0,215.0,162.0,152.0,99.0,53.0
6,KUPWARA,Total,Graduate and above other than technical degree,18052.0,13664.0,4388.0,9075.0,7806.0,1269.0,1680.0,1299.0,381.0,1302.0,1016.0,286.0,7297.0,4559.0,2738.0,4275.0,2733.0,1542.0
7,KUPWARA,Total,Technical degree or diploma equal to degree or post-graduate degree,4602.0,3390.0,1212.0,2652.0,2146.0,506.0,315.0,225.0,90.0,224.0,162.0,62.0,1635.0,1019.0,616.0,936.0,564.0,372.0
8,KUPWARA,Rural,Total,765625.0,412038.0,353587.0,99611.0,89519.0,10092.0,96382.0,72473.0,23909.0,64266.0,52945.0,11321.0,569632.0,250046.0,319586.0,75124.0,30214.0,44910.0
9,KUPWARA,Rural,Illiterate,390627.0,173253.0,217374.0,20752.0,16486.0,4266.0,49499.0,34003.0,15496.0,30612.0,23959.0,6653.0,320376.0,122764.0,197612.0,28279.0,5575.0,22704.0
10,KUPWARA,Rural,Literate,374998.0,238785.0,136213.0,78859.0,73033.0,5826.0,46883.0,38470.0,8413.0,33654.0,28986.0,4668.0,249256.0,127282.0,121974.0,46845.0,24639.0,22206.0
11,KUPWARA,Rural,Literate but below matric/secondary,234058.0,136416.0,97642.0,22337.0,20708.0,1629.0,29893.0,24847.0,5046.0,20905.0,18367.0,2538.0,181828.0,90861.0,90967.0,22379.0,10690.0,11689.0
12,KUPWARA,Rural,Matric/secondary but below graduate,107253.0,78078.0,29175.0,43063.0,40568.0,2495.0,13220.0,10666.0,2554.0,10015.0,8391.0,1624.0,50970.0,26844.0,24126.0,18871.0,10465.0,8406.0
