,Area name,Total/Rural/Urban,Education level,total person,total males,total females,person main worker,males main worker,females main worker,person marginal worker,males marginal worker,females marginal worker,person MAW,males MAW,females MAW,person non worker,males non worker,females non worker,person unemployed,males unemployed,females unemployed
0,BELGAUM,Total,Total,4779661.0,2423063.0,2356598.0,1734501.0,1238010.0,496491.0,371167.0,134412.0,236755.0,75008.0,40010.0,34998.0,2673993.0,1050641.0,1623352.0,104273.0,48238.0,56035.0
1,BELGAUM,Total,Illiterate,1727629.0,697515.0,1030114.0,540388.0,277190.0,263198.0,142246.0,26241.0,116005.0,22490.0,6433.0,16057.0,1044995.0,394084.0,650911.0,11042.0,2136.0,8906.0
2,BELGAUM,Total,Literate,3052032.0,1725548.0,1326484.0,1194113.0,960820.0,233293.0,228921.0,108171.0,120750.0,52518.0,33577.0,18941.0,1628998.0,656557.0,972441.0,93231.0,46102.0,47129.0
3,BELGAUM,Total,Literate but below matric/secondary,1733102.0,916843.0,816259.0,554380.0,419878.0,134502.0,126891.0,50027.0,76864.0,23094.0,12397.0,10697.0,1051831.0,446938.0,604893.0,24664.0,9482.0,15182.0
4,BELGAUM,Total,Matric/secondary but below graduate,867051.0,523953.0,343098.0,390849.0,339772.0,51077.0,67568.0,38664.0,28904.0,18846.0,13723.0,5123.0,408634.0,145517.0,263117.0,42654.0,22336.0,20318.0
5,BELGAUM,Total,Technical diploma or certificate not equal to degree,44697.0,34124.0,10573.0,25917.0,20826.0,5091.0,2551.0,2103.0,448.0,1197.0,1046.0,151.0,16229.0,11195.0,5034.0,3999.0,3075.0,924.0
6,BELGAUM,Total,Graduate and above other than technical degree,153030.0,105271.0,47759.0,92159.0,79785.0,12374.0,7676.0,5521.0,2155.0,2935.0,2320.0,615.0,53195.0,19965.0,33230.0,9493.0,5151.0,4342.0
7,BELGAUM,Total,Technical degree or diploma equal to degree or post-graduate degree,51548.0,33387.0,18161.0,28014.0,21270.0,6744.0,2740.0,1781.0,959.0,1490.0,981.0,509.0,20794.0,10336.0,10458.0,6978.0,3533.0,3445.0
8,BELGAUM,Rural,Total,3568466.0,1811094.0,1757372.0,1355409.0,932494.0,422915.0,320585.0,104212.0,216373.0,64405.0,32669.0,31736.0,1892472.0,774388.0,1118084.0,71395.0,33228.0,38167.0
9,BELGAUM,Rural,Illiterate,1433674.0,577292.0,856382.0,486949.0,246334.0,240615.0,130386.0,22113.0,108273.0,20507.0,5532.0,14975.0,816339.0,308845.0,507494.0,8851.0,1562.0,7289.0
10,BELGAUM,Rural,Literate,2134792.0,1233802.0,900990.0,868460.0,686160.0,182300.0,190199.0,82099.0,108100.0,43898.0,27137.0,16761.0,1076133.0,465543.0,610590.0,62544.0,31666.0,30878.0
