,Area name,Total/Rural/Urban,Education level,total person,total males,total females,person main worker,males main worker,females main worker,person marginal worker,males marginal worker,females marginal worker,person MAW,males MAW,females MAW,person non worker,males non worker,females non worker,person unemployed,males unemployed,females unemployed
0,KASARAGOD,Total,Total,1307375.0,628613.0,678762.0,372700.0,275680.0,97020.0,90298.0,49415.0,40883.0,40131.0,24798.0,15333.0,844377.0,303518.0,540859.0,131170.0,44327.0,86843.0
1,KASARAGOD,Total,Illiterate,269883.0,112137.0,157746.0,28278.0,13831.0,14447.0,10833.0,3605.0,7228.0,2732.0,1058.0,1674.0,230772.0,94701.0,136071.0,3737.0,971.0,2766.0
2,KASARAGOD,Total,Literate,1037492.0,516476.0,521016.0,344422.0,261849.0,82573.0,79465.0,45810.0,33655.0,37399.0,23740.0,13659.0,613605.0,208817.0,404788.0,127433.0,43356.0,84077.0
3,KASARAGOD,Total,Literate but below matric/secondary,615899.0,305713.0,310186.0,186927.0,140444.0,46483.0,46934.0,26218.0,20716.0,18580.0,11786.0,6794.0,382038.0,139051.0,242987.0,39188.0,13019.0,26169.0
4,KASARAGOD,Total,Matric/secondary but below graduate,311366.0,156217.0,155149.0,109323.0,88388.0,20935.0,24466.0,15408.0,9058.0,13988.0,9365.0,4623.0,177577.0,52421.0,125156.0,64189.0,22236.0,41953.0
5,KASARAGOD,Total,Technical diploma or certificate not equal to degree,17887.0,10152.0,7735.0,7920.0,5102.0,2818.0,1307.0,768.0,539.0,989.0,582.0,407.0,8660.0,4282.0,4378.0,4786.0,2212.0,2574.0
6,KASARAGOD,Total,Graduate and above other than technical degree,49895.0,24900.0,24995.0,23078.0,16594.0,6484.0,3281.0,1768.0,1513.0,2287.0,1177.0,1110.0,23536.0,6538.0,16998.0,13456.0,3786.0,9670.0
7,KASARAGOD,Total,Technical degree or diploma equal to degree or post-graduate degree,11480.0,5830.0,5650.0,6113.0,3578.0,2535.0,661.0,281.0,380.0,519.0,209.0,310.0,4706.0,1971.0,2735.0,3062.0,1201.0,1861.0
8,KASARAGOD,Rural,Total,798328.0,387716.0,410612.0,236103.0,173781.0,62322.0,64706.0,34301.0,30405.0,28077.0,17017.0,11060.0,497519.0,179634.0,317885.0,77027.0,25600.0,51427.0
9,KASARAGOD,Rural,Illiterate,170296.0,70026.0,100270.0,20704.0,10066.0,10638.0,8732.0,2880.0,5852.0,2225.0,863.0,1362.0,140860.0,57080.0,83780.0,2506.0,611.0,1895.0
10,KASARAGOD,Rural,Literate,628032.0,317690.0,310342.0,215399.0,163715.0,51684.0,55974.0,31421.0,24553.0,25852.0,16154.0,9698.0,356659.0,122554.0,234105.0,74521.0,24989.0,49532.0
11,KASARAGOD,Rural,Literate but below matric/secondary,381137.0,192695.0,188442.0,121135.0,90729.0,30406.0,33894.0,18460.0,15434.0,13327.0,8252.0,5075.0,226108.0,83506.0,142602.0,23949.0,7831.0,16118.0
12,KASARAGOD,Rural,Matric/secondary but below graduate,184587.0,93794.0,90793.0,66972.0,54019.0,12953.0,16641.0,10213.0,6428.0,9312.0,6193.0,3119.0,100974.0,29562.0,71412.0,37222.0,12647.0,24575.0
13,KASARAGOD,Rural,Technical diploma or certificate not equal to degree,10842.0,6138.0,4704.0,4807.0,3102.0,1705.0,880.0,503.0,377.0,673.0,379.0,294.0,5155.0,2533.0,2622.0,2942.0,1348.0,1594.0
14,KASARAGOD,Rural,Graduate and above other than technical degree,27588.0,13943.0,13645.0,12513.0,9249.0,3264.0,2125.0,1155.0,970.0,1504.0,792.0,712.0,12950.0,3539.0,9411.0,7438.0,2149.0,5289.0
15,KASARAGOD,Rural,Technical degree or diploma equal to degree or post-graduate degree,5858.0,2977.0,2881.0,3083.0,1838.0,1245.0,403.0,171.0,232.0,316.0,129.0,187.0,2372.0,968.0,1404.0,1532.0,574.0,958.0
16,KASARAGOD,Urban,Total,509047.0,240897.0,268150.0,136597.0,101899.0,34698.0,25592.0,15114.0,10478.0,12054.0,7781.0,4273.0,346858.0,123884.0,222974.0,54143.0,18727.0,35416.0
17,KASARAGOD,Urban,Illiterate,99587.0,42111.0,57476.0,7574.0,3765.0,3809.0,2101.0,725.0,1376.0,507.0,195.0,312.0,89912.0,37621.0,52291.0,1231.0,360.0,871.0
18,KASARAGOD,Urban,Literate,409460.0,198786.0,210674.0,129023.0,98134.0,30889.0,23491.0,14389.0,9102.0,11547.0,7586.0,3961.0,256946.0,86263.0,170683.0,52912.0,18367.0,34545.0
19,KASARAGOD,Urban,Literate but below matric/secondary,234762.0,113018.0,121744.0,65792.0,49715.0,16077.0,13040.0,7758.0,5282.0,5253.0,3534.0,1719.0,155930.0,55545.0,100385.0,15239.0,5188.0,10051.0
20,KASARAGOD,Urban,Matric/secondary but below graduate,126779.0,62423.0,64356.0,42351.0,34369.0,7982.0,7825.0,5195.0,2630.0,4676.0,3172.0,1504.0,76603.0,22859.0,53744.0,26967.0,9589.0,17378.0
21,KASARAGOD,Urban,Technical diploma or certificate not equal to degree,7045.0,4014.0,3031.0,3113.0,2000.0,1113.0,427.0,265.0,162.0,316.0,203.0,113.0,3505.0,1749.0,1756.0,1844.0,864.0,980.0
