,Area name,Total/Rural/Urban,Education level,total person,total males,total females,person main worker,males main worker,females main worker,person marginal worker,males marginal worker,females marginal worker,person MAW,males MAW,females MAW,person non worker,males non worker,females non worker,person unemployed,males unemployed,females unemployed
0,LAKSHADWEEP,Total,Total,64473.0,33123.0,31350.0,10804.0,9137.0,1667.0,7949.0,6181.0,1768.0,6306.0,4841.0,1465.0,45720.0,17805.0,27915.0,12682.0,5244.0,7438.0
1,LAKSHADWEEP,Total,Illiterate,11920.0,5100.0,6820.0,210.0,170.0,40.0,320.0,213.0,107.0,185.0,114.0,71.0,11390.0,4717.0,6673.0,437.0,138.0,299.0
2,LAKSHADWEEP,Total,Literate,52553.0,28023.0,24530.0,10594.0,8967.0,1627.0,7629.0,5968.0,1661.0,6121.0,4727.0,1394.0,34330.0,13088.0,21242.0,12245.0,5106.0,7139.0
3,LAKSHADWEEP,Total,Literate but below matric/secondary,33528.0,16993.0,16535.0,4822.0,4374.0,448.0,4821.0,3839.0,982.0,3698.0,2899.0,799.0,23885.0,8780.0,15105.0,6191.0,2308.0,3883.0
4,LAKSHADWEEP,Total,Matric/secondary but below graduate,13065.0,7724.0,5341.0,3528.0,2894.0,634.0,1878.0,1488.0,390.0,1641.0,1299.0,342.0,7659.0,3342.0,4317.0,4777.0,2287.0,2490.0
5,LAKSHADWEEP,Total,Technical diploma or certificate not equal to degree,853.0,551.0,302.0,543.0,373.0,170.0,114.0,72.0,42.0,106.0,66.0,40.0,196.0,106.0,90.0,137.0,72.0,65.0
6,LAKSHADWEEP,Total,Graduate and above other than technical degree,1539.0,964.0,575.0,729.0,571.0,158.0,220.0,139.0,81.0,203.0,127.0,76.0,590.0,254.0,336.0,476.0,201.0,275.0
7,LAKSHADWEEP,Total,Technical degree or diploma equal to degree or post-graduate degree,763.0,494.0,269.0,468.0,345.0,123.0,96.0,47.0,49.0,88.0,44.0,44.0,199.0,102.0,97.0,160.0,74.0,86.0
8,LAKSHADWEEP,Rural,Total,14141.0,7243.0,6898.0,2225.0,1878.0,347.0,2428.0,1909.0,519.0,2219.0,1741.0,478.0,9488.0,3456.0,6032.0,2594.0,751.0,1843.0
9,LAKSHADWEEP,Rural,Illiterate,2853.0,1294.0,1559.0,51.0,44.0,7.0,91.0,54.0,37.0,73.0,45.0,28.0,2711.0,1196.0,1515.0,111.0,34.0,77.0
10,LAKSHADWEEP,Rural,Literate,11288.0,5949.0,5339.0,2174.0,1834.0,340.0,2337.0,1855.0,482.0,2146.0,1696.0,450.0,6777.0,2260.0,4517.0,2483.0,717.0,1766.0
11,LAKSHADWEEP,Rural,Literate but below matric/secondary,7352.0,3652.0,3700.0,948.0,840.0,108.0,1457.0,1164.0,293.0,1326.0,1051.0,275.0,4947.0,1648.0,3299.0,1345.0,322.0,1023.0
12,LAKSHADWEEP,Rural,Matric/secondary but below graduate,2524.0,1481.0,1043.0,678.0,568.0,110.0,542.0,441.0,101.0,508.0,416.0,92.0,1304.0,472.0,832.0,834.0,315.0,519.0
13,LAKSHADWEEP,Rural,Technical diploma or certificate not equal to degree,254.0,159.0,95.0,168.0,113.0,55.0,40.0,24.0,16.0,37.0,21.0,16.0,46.0,22.0,24.0,32.0,11.0,21.0
14,LAKSHADWEEP,Rural,Graduate and above other than technical degree,215.0,162.0,53.0,120.0,100.0,20.0,42.0,30.0,12.0,40.0,28.0,12.0,53.0,32.0,21.0,40.0,23.0,17.0
15,LAKSHADWEEP,Rural,Technical degree or diploma equal to degree or post-graduate degree,140.0,94.0,46.0,91.0,73.0,18.0,20.0,11.0,9.0,17.0,9.0,8.0,29.0,10.0,19.0,23.0,6.0,17.0
16,LAKSHADWEEP,Urban,Total,50332.0,25880.0,24452.0,8579.0,7259.0,1320.0,5521.0,4272.0,1249.0,4087.0,3100.0,987.0,36232.0,14349.0,21883.0,10088.0,4493.0,5595.0
17,LAKSHADWEEP,Urban,Illiterate,9067.0,3806.0,5261.0,159.0,126.0,33.0,229.0,159.0,70.0,112.0,69.0,43.0,8679.0,3521.0,5158.0,326.0,104.0,222.0
18,LAKSHADWEEP,Urban,Literate,41265.0,22074.0,19191.0,8420.0,7133.0,1287.0,5292.0,4113.0,1179.0,3975.0,3031.0,944.0,27553.0,10828.0,16725.0,9762.0,4389.0,5373.0
19,LAKSHADWEEP,Urban,Literate but below matric/secondary,26176.0,13341.0,12835.0,3874.0,3534.0,340.0,3364.0,2675.0,689.0,2372.0,1848.0,524.0,18938.0,7132.0,11806.0,4846.0,1986.0,2860.0
20,LAKSHADWEEP,Urban,Matric/secondary but below graduate,10541.0,6243.0,4298.0,2850.0,2326.0,524.0,1336.0,1047.0,289.0,1133.0,883.0,250.0,6355.0,2870.0,3485.0,3943.0,1972.0,1971.0
21,LAKSHADWEEP,Urban,Technical diploma or certificate not equal to degree,599.0,392.0,207.0,375.0,260.0,115.0,74.0,48.0,26.0,69.0,45.0,24.0,150.0,84.0,66.0,105.0,61.0,44.0
22,LAKSHADWEEP,Urban,Graduate and above other than technical degree,1324.0,802.0,522.0,609.0,471.0,138.0,178.0,109.0,69.0,163.0,99.0,64.0,537.0,222.0,315.0,436.0,178.0,258.0
23,LAKSHADWEEP,Urban,Technical degree or diploma equal to degree or post-graduate degree,623.0,400.0,223.0,377.0,272.0,105.0,76.0,36.0,40.0,71.0,35.0,36.0,170.0,92.0,78.0,137.0,68.0,69.0
