,Area name,Total/Rural/Urban,Education level,total person,total males,total females,person main worker,males main worker,females main worker,person marginal worker,males marginal worker,females marginal worker,person MAW,males MAW,females MAW,person non worker,males non worker,females non worker,person unemployed,males unemployed,females unemployed
0,SHEOPUR ,Total,Total,687861.0,361784.0,326077.0,196189.0,153183.0,43006.0,81266.0,30605.0,50661.0,40209.0,21663.0,18546.0,410406.0,177996.0,232410.0,18200.0,8871.0,9329.0
1,SHEOPUR ,Total,Illiterate,359836.0,153583.0,206253.0,96782.0,62042.0,34740.0,55742.0,13713.0,42029.0,25558.0,9851.0,15707.0,207312.0,77828.0,129484.0,6103.0,1221.0,4882.0
2,SHEOPUR ,Total,Literate,328025.0,208201.0,119824.0,99407.0,91141.0,8266.0,25524.0,16892.0,8632.0,14651.0,11812.0,2839.0,203094.0,100168.0,102926.0,12097.0,7650.0,4447.0
3,SHEOPUR ,Total,Literate but below matric/secondary,256247.0,157674.0,98573.0,66685.0,61514.0,5171.0,19653.0,12871.0,6782.0,11207.0,8991.0,2216.0,169909.0,83289.0,86620.0,6244.0,3639.0,2605.0
4,SHEOPUR ,Total,Matric/secondary but below graduate,43662.0,31736.0,11926.0,18165.0,16893.0,1272.0,3012.0,2418.0,594.0,1895.0,1730.0,165.0,22485.0,12425.0,10060.0,3719.0,2645.0,1074.0
5,SHEOPUR ,Total,Technical diploma or certificate not equal to degree,205.0,184.0,21.0,95.0,91.0,4.0,11.0,11.0,0.0,7.0,7.0,0.0,99.0,82.0,17.0,24.0,22.0,2.0
6,SHEOPUR ,Total,Graduate and above other than technical degree,12620.0,9420.0,3200.0,7712.0,6935.0,777.0,597.0,507.0,90.0,406.0,362.0,44.0,4311.0,1978.0,2333.0,1318.0,851.0,467.0
7,SHEOPUR ,Total,Technical degree or diploma equal to degree or post-graduate degree,1209.0,1002.0,207.0,640.0,569.0,71.0,44.0,39.0,5.0,28.0,28.0,0.0,525.0,394.0,131.0,238.0,197.0,41.0
8,SHEOPUR ,Rural,Total,580509.0,305360.0,275149.0,168556.0,129254.0,39302.0,75314.0,27031.0,48283.0,36257.0,18959.0,17298.0,336639.0,149075.0,187564.0,12669.0,6067.0,6602.0
9,SHEOPUR ,Rural,Illiterate,319456.0,136967.0,182489.0,90142.0,57288.0,32854.0,52875.0,12532.0,40343.0,23662.0,8891.0,14771.0,176439.0,67147.0,109292.0,4818.0,884.0,3934.0
10,SHEOPUR ,Rural,Literate,261053.0,168393.0,92660.0,78414.0,71966.0,6448.0,22439.0,14499.0,7940.0,12595.0,10068.0,2527.0,160200.0,81928.0,78272.0,7851.0,5183.0,2668.0
11,SHEOPUR ,Rural,Literate but below matric/secondary,216337.0,134979.0,81358.0,57433.0,52913.0,4520.0,17730.0,11362.0,6368.0,9889.0,7843.0,2046.0,141174.0,70704.0,70470.0,4735.0,2825.0,1910.0
12,SHEOPUR ,Rural,Matric/secondary but below graduate,28457.0,22106.0,6351.0,12518.0,11667.0,851.0,2424.0,1915.0,509.0,1506.0,1377.0,129.0,13515.0,8524.0,4991.0,2144.0,1656.0,488.0
13,SHEOPUR ,Rural,Technical diploma or certificate not equal to degree,102.0,93.0,9.0,41.0,38.0,3.0,9.0,9.0,0.0,7.0,7.0,0.0,52.0,46.0,6.0,14.0,13.0,1.0
14,SHEOPUR ,Rural,Graduate and above other than technical degree,5586.0,4691.0,895.0,3530.0,3271.0,259.0,391.0,339.0,52.0,276.0,255.0,21.0,1665.0,1081.0,584.0,547.0,430.0,117.0
15,SHEOPUR ,Rural,Technical degree or diploma equal to degree or post-graduate degree,563.0,496.0,67.0,291.0,267.0,24.0,29.0,25.0,4.0,19.0,19.0,0.0,243.0,204.0,39.0,99.0,89.0,10.0
16,SHEOPUR ,Urban,Total,107352.0,56424.0,50928.0,27633.0,23929.0,3704.0,5952.0,3574.0,2378.0,3952.0,2704.0,1248.0,73767.0,28921.0,44846.0,5531.0,2804.0,2727.0
17,SHEOPUR ,Urban,Illiterate,40380.0,16616.0,23764.0,6640.0,4754.0,1886.0,2867.0,1181.0,1686.0,1896.0,960.0,936.0,30873.0,10681.0,20192.0,1285.0,337.0,948.0
18,SHEOPUR ,Urban,Literate,66972.0,39808.0,27164.0,20993.0,19175.0,1818.0,3085.0,2393.0,692.0,2056.0,1744.0,312.0,42894.0,18240.0,24654.0,4246.0,2467.0,1779.0
19,SHEOPUR ,Urban,Literate but below matric/secondary,39910.0,22695.0,17215.0,9252.0,8601.0,651.0,1923.0,1509.0,414.0,1318.0,1148.0,170.0,28735.0,12585.0,16150.0,1509.0,814.0,695.0
20,SHEOPUR ,Urban,Matric/secondary but below graduate,15205.0,9630.0,5575.0,5647.0,5226.0,421.0,588.0,503.0,85.0,389.0,353.0,36.0,8970.0,3901.0,5069.0,1575.0,989.0,586.0
