,Area name,Total/Rural/Urban,Education level,total person,total males,total females,person main worker,males main worker,females main worker,person marginal worker,males marginal worker,females marginal worker,person MAW,males MAW,females MAW,person non worker,males non worker,females non worker,person unemployed,males unemployed,females unemployed
0,NANDURBAR,Total,Total,1648295.0,833170.0,815125.0,664193.0,395928.0,268265.0,127872.0,46970.0,80902.0,49833.0,23647.0,26186.0,856230.0,390272.0,465958.0,36062.0,19153.0,16909.0
1,NANDURBAR,Total,Illiterate,741786.0,321071.0,420715.0,317009.0,147447.0,169562.0,66619.0,17573.0,49046.0,24494.0,8785.0,15709.0,358158.0,156051.0,202107.0,6313.0,1959.0,4354.0
2,NANDURBAR,Total,Literate,906509.0,512099.0,394410.0,347184.0,248481.0,98703.0,61253.0,29397.0,31856.0,25339.0,14862.0,10477.0,498072.0,234221.0,263851.0,29749.0,17194.0,12555.0
3,NANDURBAR,Total,Literate but below matric/secondary,544807.0,297822.0,246985.0,170164.0,116651.0,53513.0,31574.0,14488.0,17086.0,12843.0,7238.0,5605.0,343069.0,166683.0,176386.0,9835.0,4837.0,4998.0
4,NANDURBAR,Total,Matric/secondary but below graduate,202766.0,122462.0,80304.0,87663.0,69681.0,17982.0,13747.0,7773.0,5974.0,6244.0,4221.0,2023.0,101356.0,45008.0,56348.0,12656.0,8099.0,4557.0
5,NANDURBAR,Total,Technical diploma or certificate not equal to degree,7981.0,6389.0,1592.0,3946.0,3551.0,395.0,395.0,304.0,91.0,208.0,157.0,51.0,3640.0,2534.0,1106.0,962.0,731.0,231.0
6,NANDURBAR,Total,Graduate and above other than technical degree,33784.0,23660.0,10124.0,19918.0,17228.0,2690.0,1957.0,1414.0,543.0,901.0,717.0,184.0,11909.0,5018.0,6891.0,2424.0,1481.0,943.0
7,NANDURBAR,Total,Technical degree or diploma equal to degree or post-graduate degree,15044.0,10628.0,4416.0,8426.0,6645.0,1781.0,752.0,520.0,232.0,295.0,211.0,84.0,5866.0,3463.0,2403.0,1667.0,1026.0,641.0
8,NANDURBAR,Rural,Total,1372821.0,687671.0,685150.0,584986.0,333204.0,251782.0,116578.0,40425.0,76153.0,45055.0,20725.0,24330.0,671257.0,314042.0,357215.0,25481.0,12997.0,12484.0
9,NANDURBAR,Rural,Illiterate,676561.0,292357.0,384204.0,304334.0,140299.0,164035.0,63662.0,16447.0,47215.0,22984.0,8147.0,14837.0,308565.0,135611.0,172954.0,5485.0,1744.0,3741.0
10,NANDURBAR,Rural,Literate,696260.0,395314.0,300946.0,280652.0,192905.0,87747.0,52916.0,23978.0,28938.0,22071.0,12578.0,9493.0,362692.0,178431.0,184261.0,19996.0,11253.0,8743.0
11,NANDURBAR,Rural,Literate but below matric/secondary,442621.0,243659.0,198962.0,147890.0,98549.0,49341.0,28131.0,12328.0,15803.0,11412.0,6248.0,5164.0,266600.0,132782.0,133818.0,7621.0,3823.0,3798.0
12,NANDURBAR,Rural,Matric/secondary but below graduate,138016.0,85720.0,52296.0,65126.0,49739.0,15387.0,11035.0,5896.0,5139.0,5161.0,3378.0,1783.0,61855.0,30085.0,31770.0,7833.0,4706.0,3127.0
13,NANDURBAR,Rural,Technical diploma or certificate not equal to degree,4860.0,3892.0,968.0,2272.0,2020.0,252.0,275.0,202.0,73.0,168.0,123.0,45.0,2313.0,1670.0,643.0,556.0,413.0,143.0
14,NANDURBAR,Rural,Graduate and above other than technical degree,16744.0,12484.0,4260.0,9957.0,8763.0,1194.0,1305.0,961.0,344.0,702.0,577.0,125.0,5482.0,2760.0,2722.0,1350.0,898.0,452.0
15,NANDURBAR,Rural,Technical degree or diploma equal to degree or post-graduate degree,7845.0,5834.0,2011.0,4208.0,3452.0,756.0,483.0,336.0,147.0,208.0,157.0,51.0,3154.0,2046.0,1108.0,967.0,640.0,327.0
16,NANDURBAR,Urban,Total,275474.0,145499.0,129975.0,79207.0,62724.0,16483.0,11294.0,6545.0,4749.0,4778.0,2922.0,1856.0,184973.0,76230.0,108743.0,10581.0,6156.0,4425.0
17,NANDURBAR,Urban,Illiterate,65225.0,28714.0,36511.0,12675.0,7148.0,5527.0,2957.0,1126.0,1831.0,1510.0,638.0,872.0,49593.0,20440.0,29153.0,828.0,215.0,613.0
18,NANDURBAR,Urban,Literate,210249.0,116785.0,93464.0,66532.0,55576.0,10956.0,8337.0,5419.0,2918.0,3268.0,2284.0,984.0,135380.0,55790.0,79590.0,9753.0,5941.0,3812.0
19,NANDURBAR,Urban,Literate but below matric/secondary,102186.0,54163.0,48023.0,22274.0,18102.0,4172.0,3443.0,2160.0,1283.0,1431.0,990.0,441.0,76469.0,33901.0,42568.0,2214.0,1014.0,1200.0
20,NANDURBAR,Urban,Matric/secondary but below graduate,64750.0,36742.0,28008.0,22537.0,19942.0,2595.0,2712.0,1877.0,835.0,1083.0,843.0,240.0,39501.0,14923.0,24578.0,4823.0,3393.0,1430.0
21,NANDURBAR,Urban,Technical diploma or certificate not equal to degree,3121.0,2497.0,624.0,1674.0,1531.0,143.0,120.0,102.0,18.0,40.0,34.0,6.0,1327.0,864.0,463.0,406.0,318.0,88.0
22,NANDURBAR,Urban,Graduate and above other than technical degree,17040.0,11176.0,5864.0,9961.0,8465.0,1496.0,652.0,453.0,199.0,199.0,140.0,59.0,6427.0,2258.0,4169.0,1074.0,583.0,491.0
23,NANDURBAR,Urban,Technical degree or diploma equal to degree or post-graduate degree,7199.0,4794.0,2405.0,4218.0,3193.0,1025.0,269.0,184.0,85.0,87.0,54.0,33.0,2712.0,1417.0,1295.0,700.0,386.0,314.0
24,DHULE,Total,Total,2050862.0,1054031.0,996831.0,825875.0,526267.0,299608.0,110495.0,44181.0,66314.0,29913.0,16219.0,13694.0,1114492.0,483583.0,630909.0,38468.0,21416.0,17052.0
25,DHULE,Total,Illiterate,756946.0,330643.0,426303.0,291780.0,134594.0,157186.0,41955.0,12041.0,29914.0,11336.0,4401.0,6935.0,423211.0,184008.0,239203.0,4493.0,1740.0,2753.0
26,DHULE,Total,Literate,1293916.0,723388.0,570528.0,534095.0,391673.0,142422.0,68540.0,32140.0,36400.0,18577.0,11818.0,6759.0,691281.0,299575.0,391706.0,33975.0,19676.0,14299.0
27,DHULE,Total,Literate but below matric/secondary,746640.0,391798.0,354842.0,265665.0,179370.0,86295.0,38275.0,15595.0,22680.0,9518.0,5395.0,4123.0,442700.0,196833.0,245867.0,10036.0,5082.0,4954.0
28,DHULE,Total,Matric/secondary but below graduate,346932.0,208699.0,138233.0,158333.0,129150.0,29183.0,18598.0,10119.0,8479.0,5502.0,4015.0,1487.0,170001.0,69430.0,100571.0,13956.0,8691.0,5265.0
29,DHULE,Total,Technical diploma or certificate not equal to degree,14894.0,12288.0,2606.0,7526.0,6917.0,609.0,632.0,539.0,93.0,312.0,271.0,41.0,6736.0,4832.0,1904.0,1241.0,992.0,249.0
