,Area name,Total/Rural/Urban,Education level,total person,total males,total females,person main worker,males main worker,females main worker,person marginal worker,males marginal worker,females marginal worker,person MAW,males MAW,females MAW,person non worker,males non worker,females non worker,person unemployed,males unemployed,females unemployed
0,SENAPATI,Total,Total,479148.0,247323.0,231825.0,185725.0,101924.0,83801.0,47897.0,22219.0,25678.0,20642.0,10908.0,9734.0,245526.0,123180.0,122346.0,32651.0,17386.0,15265.0
1,SENAPATI,Total,Illiterate,214671.0,99311.0,115360.0,94294.0,42688.0,51606.0,18168.0,6990.0,11178.0,6118.0,2853.0,3265.0,102209.0,49633.0,52576.0,4443.0,1888.0,2555.0
2,SENAPATI,Total,Literate,264477.0,148012.0,116465.0,91431.0,59236.0,32195.0,29729.0,15229.0,14500.0,14524.0,8055.0,6469.0,143317.0,73547.0,69770.0,28208.0,15498.0,12710.0
3,SENAPATI,Total,Literate but below matric/secondary,148694.0,80437.0,68257.0,42711.0,26943.0,15768.0,14255.0,6920.0,7335.0,5601.0,2988.0,2613.0,91728.0,46574.0,45154.0,9410.0,4981.0,4429.0
4,SENAPATI,Total,Matric/secondary but below graduate,80728.0,45849.0,34879.0,31454.0,20451.0,11003.0,10370.0,5444.0,4926.0,5932.0,3295.0,2637.0,38904.0,19954.0,18950.0,13759.0,7500.0,6259.0
5,SENAPATI,Total,Technical diploma or certificate not equal to degree,339.0,192.0,147.0,162.0,100.0,62.0,42.0,26.0,16.0,28.0,18.0,10.0,135.0,66.0,69.0,72.0,37.0,35.0
6,SENAPATI,Total,Graduate and above other than technical degree,20417.0,13191.0,7226.0,9838.0,7086.0,2752.0,2707.0,1620.0,1087.0,1858.0,1137.0,721.0,7872.0,4485.0,3387.0,3950.0,2395.0,1555.0
7,SENAPATI,Total,Technical degree or diploma equal to degree or post-graduate degree,858.0,563.0,295.0,515.0,382.0,133.0,85.0,49.0,36.0,56.0,31.0,25.0,258.0,132.0,126.0,134.0,78.0,56.0
8,SENAPATI,Rural,Total,471672.0,243603.0,228069.0,183792.0,100680.0,83112.0,47231.0,21907.0,25324.0,20316.0,10708.0,9608.0,240649.0,121016.0,119633.0,32061.0,17109.0,14952.0
9,SENAPATI,Rural,Illiterate,212694.0,98474.0,114220.0,93871.0,42499.0,51372.0,18060.0,6971.0,11089.0,6100.0,2845.0,3255.0,100763.0,49004.0,51759.0,4431.0,1886.0,2545.0
10,SENAPATI,Rural,Literate,258978.0,145129.0,113849.0,89921.0,58181.0,31740.0,29171.0,14936.0,14235.0,14216.0,7863.0,6353.0,139886.0,72012.0,67874.0,27630.0,15223.0,12407.0
11,SENAPATI,Rural,Literate but below matric/secondary,146106.0,79108.0,66998.0,42221.0,26584.0,15637.0,14032.0,6792.0,7240.0,5484.0,2907.0,2577.0,89853.0,45732.0,44121.0,9285.0,4906.0,4379.0
12,SENAPATI,Rural,Matric/secondary but below graduate,78863.0,44886.0,33977.0,30881.0,20050.0,10831.0,10171.0,5349.0,4822.0,5830.0,3234.0,2596.0,37811.0,19487.0,18324.0,13462.0,7379.0,6083.0
13,SENAPATI,Rural,Technical diploma or certificate not equal to degree,326.0,186.0,140.0,155.0,94.0,61.0,41.0,26.0,15.0,27.0,18.0,9.0,130.0,66.0,64.0,68.0,37.0,31.0
14,SENAPATI,Rural,Graduate and above other than technical degree,19529.0,12677.0,6852.0,9465.0,6833.0,2632.0,2588.0,1561.0,1027.0,1778.0,1092.0,686.0,7476.0,4283.0,3193.0,3815.0,2323.0,1492.0
15,SENAPATI,Rural,Technical degree or diploma equal to degree or post-graduate degree,830.0,548.0,282.0,504.0,375.0,129.0,82.0,49.0,33.0,54.0,31.0,23.0,244.0,124.0,120.0,129.0,76.0,53.0
16,SENAPATI,Urban,Total,7476.0,3720.0,3756.0,1933.0,1244.0,689.0,666.0,312.0,354.0,326.0,200.0,126.0,4877.0,2164.0,2713.0,590.0,277.0,313.0
17,SENAPATI,Urban,Illiterate,1977.0,837.0,1140.0,423.0,189.0,234.0,108.0,19.0,89.0,18.0,8.0,10.0,1446.0,629.0,817.0,12.0,2.0,10.0
18,SENAPATI,Urban,Literate,5499.0,2883.0,2616.0,1510.0,1055.0,455.0,558.0,293.0,265.0,308.0,192.0,116.0,3431.0,1535.0,1896.0,578.0,275.0,303.0
