,Area name,Total/Rural/Urban,Education level,total person,total males,total females,person main worker,males main worker,females main worker,person marginal worker,males marginal worker,females marginal worker,person MAW,males MAW,females MAW,person non worker,males non worker,females non worker,person unemployed,males unemployed,females unemployed
0,WEST GARO HILLS,Total,Total,643291.0,324159.0,319132.0,188371.0,123377.0,64994.0,67322.0,28537.0,38785.0,20937.0,10340.0,10597.0,387598.0,172245.0,215353.0,33858.0,14991.0,18867.0
1,WEST GARO HILLS,Total,Illiterate,284589.0,130721.0,153868.0,73629.0,42323.0,31306.0,26637.0,8583.0,18054.0,7109.0,2715.0,4394.0,184323.0,79815.0,104508.0,6267.0,1782.0,4485.0
2,WEST GARO HILLS,Total,Literate,358702.0,193438.0,165264.0,114742.0,81054.0,33688.0,40685.0,19954.0,20731.0,13828.0,7625.0,6203.0,203275.0,92430.0,110845.0,27591.0,13209.0,14382.0
3,WEST GARO HILLS,Total,Literate but below matric/secondary,259164.0,135170.0,123994.0,69677.0,48330.0,21347.0,29118.0,13791.0,15327.0,8913.0,4839.0,4074.0,160369.0,73049.0,87320.0,16198.0,7567.0,8631.0
4,WEST GARO HILLS,Total,Matric/secondary but below graduate,64711.0,38484.0,26227.0,26966.0,20405.0,6561.0,7139.0,4052.0,3087.0,3451.0,2037.0,1414.0,30606.0,14027.0,16579.0,8863.0,4461.0,4402.0
5,WEST GARO HILLS,Total,Technical diploma or certificate not equal to degree,409.0,276.0,133.0,219.0,151.0,68.0,22.0,15.0,7.0,14.0,10.0,4.0,168.0,110.0,58.0,71.0,44.0,27.0
6,WEST GARO HILLS,Total,Graduate and above other than technical degree,8479.0,5117.0,3362.0,5290.0,3657.0,1633.0,612.0,365.0,247.0,316.0,167.0,149.0,2577.0,1095.0,1482.0,1041.0,482.0,559.0
7,WEST GARO HILLS,Total,Technical degree or diploma equal to degree or post-graduate degree,1816.0,1040.0,776.0,1206.0,730.0,476.0,116.0,62.0,54.0,42.0,23.0,19.0,494.0,248.0,246.0,237.0,114.0,123.0
8,WEST GARO HILLS,Rural,Total,568433.0,286923.0,281510.0,169149.0,109847.0,59302.0,63106.0,26117.0,36989.0,19237.0,9402.0,9835.0,336178.0,150959.0,185219.0,26340.0,11741.0,14599.0
9,WEST GARO HILLS,Rural,Illiterate,269985.0,123903.0,146082.0,72014.0,41310.0,30704.0,26074.0,8308.0,17766.0,6975.0,2651.0,4324.0,171897.0,74285.0,97612.0,5905.0,1659.0,4246.0
10,WEST GARO HILLS,Rural,Literate,298448.0,163020.0,135428.0,97135.0,68537.0,28598.0,37032.0,17809.0,19223.0,12262.0,6751.0,5511.0,164281.0,76674.0,87607.0,20435.0,10082.0,10353.0
