,Area name,Total/Rural/Urban,Education level,total person,total males,total females,person main worker,males main worker,females main worker,person marginal worker,males marginal worker,females marginal worker,person MAW,males MAW,females MAW,person non worker,males non worker,females non worker,person unemployed,males unemployed,females unemployed
0,MAMIT,Total,Total,86364.0,44828.0,41536.0,36185.0,23226.0,12959.0,3154.0,790.0,2364.0,586.0,248.0,338.0,47025.0,20812.0,26213.0,1421.0,596.0,825.0
1,MAMIT,Total,Illiterate,26173.0,11851.0,14322.0,5839.0,3025.0,2814.0,1048.0,82.0,966.0,39.0,10.0,29.0,19286.0,8744.0,10542.0,50.0,16.0,34.0
2,MAMIT,Total,Literate,60191.0,32977.0,27214.0,30346.0,20201.0,10145.0,2106.0,708.0,1398.0,547.0,238.0,309.0,27739.0,12068.0,15671.0,1371.0,580.0,791.0
3,MAMIT,Total,Literate but below matric/secondary,50067.0,27006.0,23061.0,24411.0,15989.0,8422.0,1687.0,521.0,1166.0,381.0,142.0,239.0,23969.0,10496.0,13473.0,635.0,229.0,406.0
4,MAMIT,Total,Matric/secondary but below graduate,7199.0,4142.0,3057.0,3867.0,2692.0,1175.0,281.0,130.0,151.0,117.0,62.0,55.0,3051.0,1320.0,1731.0,588.0,284.0,304.0
5,MAMIT,Total,Technical diploma or certificate not equal to degree,42.0,31.0,11.0,35.0,29.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,5.0,1.0,0.0,1.0
6,MAMIT,Total,Graduate and above other than technical degree,1582.0,1039.0,543.0,1231.0,885.0,346.0,64.0,34.0,30.0,36.0,25.0,11.0,287.0,120.0,167.0,117.0,53.0,64.0
7,MAMIT,Total,Technical degree or diploma equal to degree or post-graduate degree,184.0,153.0,31.0,146.0,125.0,21.0,5.0,5.0,0.0,4.0,4.0,0.0,33.0,23.0,10.0,12.0,7.0,5.0
8,MAMIT,Rural,Total,71465.0,37135.0,34330.0,30467.0,19303.0,11164.0,2693.0,612.0,2081.0,459.0,194.0,265.0,38305.0,17220.0,21085.0,914.0,407.0,507.0
9,MAMIT,Rural,Illiterate,23291.0,10403.0,12888.0,5567.0,2841.0,2726.0,1033.0,77.0,956.0,35.0,7.0,28.0,16691.0,7485.0,9206.0,45.0,16.0,29.0
10,MAMIT,Rural,Literate,48174.0,26732.0,21442.0,24900.0,16462.0,8438.0,1660.0,535.0,1125.0,424.0,187.0,237.0,21614.0,9735.0,11879.0,869.0,391.0,478.0
11,MAMIT,Rural,Literate but below matric/secondary,40987.0,22398.0,18589.0,20595.0,13402.0,7193.0,1353.0,401.0,952.0,298.0,116.0,182.0,19039.0,8595.0,10444.0,418.0,163.0,255.0
12,MAMIT,Rural,Matric/secondary but below graduate,5155.0,3048.0,2107.0,2879.0,2004.0,875.0,200.0,95.0,105.0,91.0,48.0,43.0,2076.0,949.0,1127.0,366.0,183.0,183.0
13,MAMIT,Rural,Technical diploma or certificate not equal to degree,21.0,15.0,6.0,15.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,4.0,1.0,0.0,1.0
14,MAMIT,Rural,Graduate and above other than technical degree,987.0,668.0,319.0,776.0,560.0,216.0,41.0,22.0,19.0,24.0,16.0,8.0,170.0,86.0,84.0,69.0,35.0,34.0
15,MAMIT,Rural,Technical degree or diploma equal to degree or post-graduate degree,118.0,106.0,12.0,95.0,85.0,10.0,2.0,2.0,0.0,2.0,2.0,0.0,21.0,19.0,2.0,7.0,5.0,2.0
16,MAMIT,Urban,Total,14899.0,7693.0,7206.0,5718.0,3923.0,1795.0,461.0,178.0,283.0,127.0,54.0,73.0,8720.0,3592.0,5128.0,507.0,189.0,318.0
