,Area name,Total/Rural/Urban,Education level,total person,total males,total females,person main worker,males main worker,females main worker,person marginal worker,males marginal worker,females marginal worker,person MAW,males MAW,females MAW,person non worker,males non worker,females non worker,person unemployed,males unemployed,females unemployed
0,MON,Total,Total,250260.0,131753.0,118507.0,104981.0,58695.0,46286.0,42673.0,20730.0,21943.0,11500.0,6054.0,5446.0,102606.0,52328.0,50278.0,9175.0,4602.0,4573.0
1,MON,Total,Illiterate,130634.0,64321.0,66313.0,57243.0,28174.0,29069.0,13025.0,5603.0,7422.0,2847.0,1364.0,1483.0,60366.0,30544.0,29822.0,1698.0,830.0,868.0
2,MON,Total,Literate,119626.0,67432.0,52194.0,47738.0,30521.0,17217.0,29648.0,15127.0,14521.0,8653.0,4690.0,3963.0,42240.0,21784.0,20456.0,7477.0,3772.0,3705.0
3,MON,Total,Literate but below matric/secondary,93167.0,50385.0,42782.0,34028.0,20888.0,13140.0,24617.0,12199.0,12418.0,6442.0,3359.0,3083.0,34522.0,17298.0,17224.0,4779.0,2210.0,2569.0
4,MON,Total,Matric/secondary but below graduate,10707.0,6657.0,4050.0,4631.0,3464.0,1167.0,2101.0,1173.0,928.0,1134.0,664.0,470.0,3975.0,2020.0,1955.0,1641.0,855.0,786.0
5,MON,Total,Technical diploma or certificate not equal to degree,122.0,100.0,22.0,84.0,76.0,8.0,21.0,13.0,8.0,17.0,10.0,7.0,17.0,11.0,6.0,11.0,6.0,5.0
6,MON,Total,Graduate and above other than technical degree,1884.0,1299.0,585.0,1113.0,854.0,259.0,253.0,176.0,77.0,190.0,131.0,59.0,518.0,269.0,249.0,326.0,168.0,158.0
7,MON,Total,Technical degree or diploma equal to degree or post-graduate degree,210.0,136.0,74.0,148.0,101.0,47.0,22.0,13.0,9.0,14.0,8.0,6.0,40.0,22.0,18.0,24.0,12.0,12.0
8,MON,Rural,Total,215816.0,113469.0,102347.0,96763.0,52712.0,44051.0,37903.0,18560.0,19343.0,8959.0,4703.0,4256.0,81150.0,42197.0,38953.0,4088.0,2230.0,1858.0
9,MON,Rural,Illiterate,120885.0,59531.0,61354.0,55971.0,27374.0,28597.0,11782.0,5050.0,6732.0,2240.0,1026.0,1214.0,53132.0,27107.0,26025.0,1080.0,564.0,516.0
10,MON,Rural,Literate,94931.0,53938.0,40993.0,40792.0,25338.0,15454.0,26121.0,13510.0,12611.0,6719.0,3677.0,3042.0,28018.0,15090.0,12928.0,3008.0,1666.0,1342.0
11,MON,Rural,Literate but below matric/secondary,76524.0,41976.0,34548.0,30245.0,18141.0,12104.0,22118.0,11165.0,10953.0,5169.0,2743.0,2426.0,24161.0,12670.0,11491.0,2189.0,1133.0,1056.0
12,MON,Rural,Matric/secondary but below graduate,6045.0,3953.0,2092.0,2956.0,2197.0,759.0,1541.0,883.0,658.0,783.0,473.0,310.0,1548.0,873.0,675.0,457.0,272.0,185.0
13,MON,Rural,Technical diploma or certificate not equal to degree,65.0,54.0,11.0,44.0,41.0,3.0,18.0,12.0,6.0,14.0,9.0,5.0,3.0,1.0,2.0,1.0,0.0,1.0
14,MON,Rural,Graduate and above other than technical degree,879.0,670.0,209.0,556.0,455.0,101.0,166.0,118.0,48.0,120.0,84.0,36.0,157.0,97.0,60.0,70.0,45.0,25.0
15,MON,Rural,Technical degree or diploma equal to degree or post-graduate degree,101.0,68.0,33.0,65.0,46.0,19.0,19.0,11.0,8.0,12.0,7.0,5.0,17.0,11.0,6.0,11.0,8.0,3.0
16,MON,Urban,Total,34444.0,18284.0,16160.0,8218.0,5983.0,2235.0,4770.0,2170.0,2600.0,2541.0,1351.0,1190.0,21456.0,10131.0,11325.0,5087.0,2372.0,2715.0
17,MON,Urban,Illiterate,9749.0,4790.0,4959.0,1272.0,800.0,472.0,1243.0,553.0,690.0,607.0,338.0,269.0,7234.0,3437.0,3797.0,618.0,266.0,352.0
18,MON,Urban,Literate,24695.0,13494.0,11201.0,6946.0,5183.0,1763.0,3527.0,1617.0,1910.0,1934.0,1013.0,921.0,14222.0,6694.0,7528.0,4469.0,2106.0,2363.0
19,MON,Urban,Literate but below matric/secondary,16643.0,8409.0,8234.0,3783.0,2747.0,1036.0,2499.0,1034.0,1465.0,1273.0,616.0,657.0,10361.0,4628.0,5733.0,2590.0,1077.0,1513.0
20,MON,Urban,Matric/secondary but below graduate,4662.0,2704.0,1958.0,1675.0,1267.0,408.0,560.0,290.0,270.0,351.0,191.0,160.0,2427.0,1147.0,1280.0,1184.0,583.0,601.0
21,MON,Urban,Technical diploma or certificate not equal to degree,57.0,46.0,11.0,40.0,35.0,5.0,3.0,1.0,2.0,3.0,1.0,2.0,14.0,10.0,4.0,10.0,6.0,4.0
22,MON,Urban,Graduate and above other than technical degree,1005.0,629.0,376.0,557.0,399.0,158.0,87.0,58.0,29.0,70.0,47.0,23.0,361.0,172.0,189.0,256.0,123.0,133.0
23,MON,Urban,Technical degree or diploma equal to degree or post-graduate degree,109.0,68.0,41.0,83.0,55.0,28.0,3.0,2.0,1.0,2.0,1.0,1.0,23.0,11.0,12.0,13.0,4.0,9.0
24,MOKOKCHUNG,Total,Total,194622.0,101092.0,93530.0,81046.0,48355.0,32691.0,19021.0,8729.0,10292.0,7303.0,3843.0,3460.0,94555.0,44008.0,50547.0,10616.0,4683.0,5933.0
25,MOKOKCHUNG,Total,Illiterate,35128.0,17613.0,17515.0,7582.0,4241.0,3341.0,1343.0,630.0,713.0,460.0,234.0,226.0,26203.0,12742.0,13461.0,342.0,133.0,209.0
26,MOKOKCHUNG,Total,Literate,159494.0,83479.0,76015.0,73464.0,44114.0,29350.0,17678.0,8099.0,9579.0,6843.0,3609.0,3234.0,68352.0,31266.0,37086.0,10274.0,4550.0,5724.0
27,MOKOKCHUNG,Total,Literate but below matric/secondary,108014.0,55745.0,52269.0,47032.0,27756.0,19276.0,11609.0,5168.0,6441.0,3805.0,2005.0,1800.0,49373.0,22821.0,26552.0,4519.0,1925.0,2594.0
28,MOKOKCHUNG,Total,Matric/secondary but below graduate,32207.0,17246.0,14961.0,14973.0,9549.0,5424.0,4122.0,1973.0,2149.0,2088.0,1090.0,998.0,13112.0,5724.0,7388.0,3447.0,1553.0,1894.0
29,MOKOKCHUNG,Total,Technical diploma or certificate not equal to degree,658.0,475.0,183.0,397.0,295.0,102.0,35.0,22.0,13.0,24.0,14.0,10.0,226.0,158.0,68.0,84.0,50.0,34.0
30,MOKOKCHUNG,Total,Graduate and above other than technical degree,8559.0,4580.0,3979.0,4909.0,2922.0,1987.0,768.0,376.0,392.0,523.0,271.0,252.0,2882.0,1282.0,1600.0,1598.0,715.0,883.0
31,MOKOKCHUNG,Total,Technical degree or diploma equal to degree or post-graduate degree,970.0,608.0,362.0,646.0,426.0,220.0,61.0,33.0,28.0,35.0,18.0,17.0,263.0,149.0,114.0,139.0,82.0,57.0
32,MOKOKCHUNG,Rural,Total,138897.0,71373.0,67524.0,62285.0,35126.0,27159.0,15745.0,7109.0,8636.0,6251.0,3227.0,3024.0,60867.0,29138.0,31729.0,6741.0,3017.0,3724.0
33,MOKOKCHUNG,Rural,Illiterate,26286.0,13066.0,13220.0,6429.0,3342.0,3087.0,1035.0,455.0,580.0,383.0,173.0,210.0,18822.0,9269.0,9553.0,231.0,98.0,133.0
34,MOKOKCHUNG,Rural,Literate,112611.0,58307.0,54304.0,55856.0,31784.0,24072.0,14710.0,6654.0,8056.0,5868.0,3054.0,2814.0,42045.0,19869.0,22176.0,6510.0,2919.0,3591.0
35,MOKOKCHUNG,Rural,Literate but below matric/secondary,80033.0,40724.0,39309.0,38602.0,21517.0,17085.0,9717.0,4240.0,5477.0,3313.0,1700.0,1613.0,31714.0,14967.0,16747.0,3122.0,1352.0,1770.0
36,MOKOKCHUNG,Rural,Matric/secondary but below graduate,20139.0,10720.0,9419.0,9638.0,5824.0,3814.0,3475.0,1667.0,1808.0,1817.0,955.0,862.0,7026.0,3229.0,3797.0,2224.0,998.0,1226.0
37,MOKOKCHUNG,Rural,Technical diploma or certificate not equal to degree,342.0,231.0,111.0,216.0,148.0,68.0,24.0,14.0,10.0,18.0,8.0,10.0,102.0,69.0,33.0,37.0,20.0,17.0
38,MOKOKCHUNG,Rural,Graduate and above other than technical degree,4356.0,2386.0,1970.0,2457.0,1473.0,984.0,571.0,273.0,298.0,386.0,200.0,186.0,1328.0,640.0,688.0,737.0,348.0,389.0
39,MOKOKCHUNG,Rural,Technical degree or diploma equal to degree or post-graduate degree,364.0,234.0,130.0,248.0,165.0,83.0,43.0,25.0,18.0,27.0,14.0,13.0,73.0,44.0,29.0,48.0,28.0,20.0
40,MOKOKCHUNG,Urban,Total,55725.0,29719.0,26006.0,18761.0,13229.0,5532.0,3276.0,1620.0,1656.0,1052.0,616.0,436.0,33688.0,14870.0,18818.0,3875.0,1666.0,2209.0
41,MOKOKCHUNG,Urban,Illiterate,8842.0,4547.0,4295.0,1153.0,899.0,254.0,308.0,175.0,133.0,77.0,61.0,16.0,7381.0,3473.0,3908.0,111.0,35.0,76.0
42,MOKOKCHUNG,Urban,Literate,46883.0,25172.0,21711.0,17608.0,12330.0,5278.0,2968.0,1445.0,1523.0,975.0,555.0,420.0,26307.0,11397.0,14910.0,3764.0,1631.0,2133.0
43,MOKOKCHUNG,Urban,Literate but below matric/secondary,27981.0,15021.0,12960.0,8430.0,6239.0,2191.0,1892.0,928.0,964.0,492.0,305.0,187.0,17659.0,7854.0,9805.0,1397.0,573.0,824.0
44,MOKOKCHUNG,Urban,Matric/secondary but below graduate,12068.0,6526.0,5542.0,5335.0,3725.0,1610.0,647.0,306.0,341.0,271.0,135.0,136.0,6086.0,2495.0,3591.0,1223.0,555.0,668.0
