,Area name,Total/Rural/Urban,Education level,total person,total males,total females,person main worker,males main worker,females main worker,person marginal worker,males marginal worker,females marginal worker,person MAW,males MAW,females MAW,person non worker,males non worker,females non worker,person unemployed,males unemployed,females unemployed
0,NORTH WEST,Total,Total,3656539.0,1960922.0,1695617.0,1135126.0,983392.0,151734.0,53419.0,39027.0,14392.0,25675.0,20386.0,5289.0,2467994.0,938503.0,1529491.0,136241.0,71466.0,64775.0
1,NORTH WEST,Total,Illiterate,948684.0,418970.0,529714.0,159919.0,120581.0,39338.0,13509.0,8073.0,5436.0,6076.0,4150.0,1926.0,775256.0,290316.0,484940.0,16280.0,5736.0,10544.0
2,NORTH WEST,Total,Literate,2707855.0,1541952.0,1165903.0,975207.0,862811.0,112396.0,39910.0,30954.0,8956.0,19599.0,16236.0,3363.0,1692738.0,648187.0,1044551.0,119961.0,65730.0,54231.0
3,NORTH WEST,Total,Literate but below matric/secondary,1278947.0,712089.0,566858.0,314466.0,290687.0,23779.0,20017.0,16245.0,3772.0,10248.0,8936.0,1312.0,944464.0,405157.0,539307.0,40411.0,23910.0,16501.0
4,NORTH WEST,Total,Matric/secondary but below graduate,798130.0,482631.0,315499.0,326544.0,307812.0,18732.0,12274.0,9972.0,2302.0,6038.0,5171.0,867.0,459312.0,164847.0,294465.0,42397.0,25290.0,17107.0
5,NORTH WEST,Total,Technical diploma or certificate not equal to degree,20582.0,12872.0,7710.0,10260.0,7832.0,2428.0,292.0,184.0,108.0,142.0,97.0,45.0,10030.0,4856.0,5174.0,2029.0,1074.0,955.0
6,NORTH WEST,Total,Graduate and above other than technical degree,477848.0,260154.0,217694.0,256220.0,205015.0,51205.0,5208.0,3105.0,2103.0,2249.0,1373.0,876.0,216420.0,52034.0,164386.0,27177.0,11333.0,15844.0
7,NORTH WEST,Total,Technical degree or diploma equal to degree or post-graduate degree,69188.0,41326.0,27862.0,40468.0,28300.0,12168.0,787.0,463.0,324.0,321.0,192.0,129.0,27933.0,12563.0,15370.0,5052.0,2552.0,2500.0
8,NORTH WEST,Rural,Total,213950.0,115680.0,98270.0,61679.0,53086.0,8593.0,5813.0,4130.0,1683.0,3285.0,2596.0,689.0,146458.0,58464.0,87994.0,11163.0,5205.0,5958.0
9,NORTH WEST,Rural,Illiterate,66623.0,28637.0,37986.0,12705.0,8558.0,4147.0,1516.0,722.0,794.0,742.0,439.0,303.0,52402.0,19357.0,33045.0,1810.0,389.0,1421.0
10,NORTH WEST,Rural,Literate,147327.0,87043.0,60284.0,48974.0,44528.0,4446.0,4297.0,3408.0,889.0,2543.0,2157.0,386.0,94056.0,39107.0,54949.0,9353.0,4816.0,4537.0
11,NORTH WEST,Rural,Literate but below matric/secondary,81778.0,46000.0,35778.0,19689.0,17796.0,1893.0,2216.0,1758.0,458.0,1341.0,1152.0,189.0,59873.0,26446.0,33427.0,3365.0,1729.0,1636.0
12,NORTH WEST,Rural,Matric/secondary but below graduate,49409.0,31392.0,18017.0,21343.0,20166.0,1177.0,1622.0,1324.0,298.0,928.0,809.0,119.0,26444.0,9902.0,16542.0,3816.0,2136.0,1680.0
13,NORTH WEST,Rural,Technical diploma or certificate not equal to degree,1507.0,859.0,648.0,548.0,392.0,156.0,51.0,36.0,15.0,29.0,21.0,8.0,908.0,431.0,477.0,328.0,172.0,156.0
14,NORTH WEST,Rural,Graduate and above other than technical degree,10996.0,6735.0,4261.0,5768.0,4868.0,900.0,283.0,207.0,76.0,165.0,120.0,45.0,4945.0,1660.0,3285.0,1452.0,580.0,872.0
15,NORTH WEST,Rural,Technical degree or diploma equal to degree or post-graduate degree,1433.0,882.0,551.0,745.0,553.0,192.0,36.0,18.0,18.0,24.0,11.0,13.0,652.0,311.0,341.0,242.0,121.0,121.0
16,NORTH WEST,Urban,Total,3442589.0,1845242.0,1597347.0,1073447.0,930306.0,143141.0,47606.0,34897.0,12709.0,22390.0,17790.0,4600.0,2321536.0,880039.0,1441497.0,125078.0,66261.0,58817.0
17,NORTH WEST,Urban,Illiterate,882061.0,390333.0,491728.0,147214.0,112023.0,35191.0,11993.0,7351.0,4642.0,5334.0,3711.0,1623.0,722854.0,270959.0,451895.0,14470.0,5347.0,9123.0
18,NORTH WEST,Urban,Literate,2560528.0,1454909.0,1105619.0,926233.0,818283.0,107950.0,35613.0,27546.0,8067.0,17056.0,14079.0,2977.0,1598682.0,609080.0,989602.0,110608.0,60914.0,49694.0
19,NORTH WEST,Urban,Literate but below matric/secondary,1197169.0,666089.0,531080.0,294777.0,272891.0,21886.0,17801.0,14487.0,3314.0,8907.0,7784.0,1123.0,884591.0,378711.0,505880.0,37046.0,22181.0,14865.0
20,NORTH WEST,Urban,Matric/secondary but below graduate,748721.0,451239.0,297482.0,305201.0,287646.0,17555.0,10652.0,8648.0,2004.0,5110.0,4362.0,748.0,432868.0,154945.0,277923.0,38581.0,23154.0,15427.0
21,NORTH WEST,Urban,Technical diploma or certificate not equal to degree,19075.0,12013.0,7062.0,9712.0,7440.0,2272.0,241.0,148.0,93.0,113.0,76.0,37.0,9122.0,4425.0,4697.0,1701.0,902.0,799.0
22,NORTH WEST,Urban,Graduate and above other than technical degree,466852.0,253419.0,213433.0,250452.0,200147.0,50305.0,4925.0,2898.0,2027.0,2084.0,1253.0,831.0,211475.0,50374.0,161101.0,25725.0,10753.0,14972.0
23,NORTH WEST,Urban,Technical degree or diploma equal to degree or post-graduate degree,67755.0,40444.0,27311.0,39723.0,27747.0,11976.0,751.0,445.0,306.0,297.0,181.0,116.0,27281.0,12252.0,15029.0,4810.0,2431.0,2379.0
24,NORTH,Total,Total,887978.0,475002.0,412976.0,283583.0,248547.0,35036.0,12863.0,9028.0,3835.0,6465.0,4898.0,1567.0,591532.0,217427.0,374105.0,37026.0,18585.0,18441.0
25,NORTH,Total,Illiterate,206461.0,93387.0,113074.0,33226.0,25827.0,7399.0,3070.0,1990.0,1080.0,1533.0,1091.0,442.0,170165.0,65570.0,104595.0,3288.0,1199.0,2089.0
26,NORTH,Total,Literate,681517.0,381615.0,299902.0,250357.0,222720.0,27637.0,9793.0,7038.0,2755.0,4932.0,3807.0,1125.0,421367.0,151857.0,269510.0,33738.0,17386.0,16352.0
27,NORTH,Total,Literate but below matric/secondary,320045.0,175690.0,144355.0,84887.0,77794.0,7093.0,4833.0,3683.0,1150.0,2394.0,1970.0,424.0,230325.0,94213.0,136112.0,10409.0,5899.0,4510.0
28,NORTH,Total,Matric/secondary but below graduate,213484.0,124429.0,89055.0,88744.0,82635.0,6109.0,3004.0,2231.0,773.0,1579.0,1259.0,320.0,121736.0,39563.0,82173.0,12561.0,6704.0,5857.0
29,NORTH,Total,Technical diploma or certificate not equal to degree,3009.0,1895.0,1114.0,1698.0,1217.0,481.0,41.0,24.0,17.0,22.0,17.0,5.0,1270.0,654.0,616.0,292.0,179.0,113.0
30,NORTH,Total,Graduate and above other than technical degree,116668.0,64794.0,51874.0,61790.0,50818.0,10972.0,1391.0,782.0,609.0,684.0,396.0,288.0,53487.0,13194.0,40293.0,8590.0,3657.0,4933.0
31,NORTH,Total,Technical degree or diploma equal to degree or post-graduate degree,11663.0,7049.0,4614.0,6657.0,4730.0,1927.0,154.0,86.0,68.0,75.0,43.0,32.0,4852.0,2233.0,2619.0,1162.0,622.0,540.0
32,NORTH,Rural,Total,17746.0,9546.0,8200.0,5052.0,4462.0,590.0,226.0,186.0,40.0,108.0,89.0,19.0,12468.0,4898.0,7570.0,876.0,413.0,463.0
33,NORTH,Rural,Illiterate,4506.0,1846.0,2660.0,540.0,339.0,201.0,48.0,34.0,14.0,19.0,13.0,6.0,3918.0,1473.0,2445.0,79.0,29.0,50.0
34,NORTH,Rural,Literate,13240.0,7700.0,5540.0,4512.0,4123.0,389.0,178.0,152.0,26.0,89.0,76.0,13.0,8550.0,3425.0,5125.0,797.0,384.0,413.0
35,NORTH,Rural,Literate but below matric/secondary,6900.0,3767.0,3133.0,1561.0,1413.0,148.0,82.0,71.0,11.0,40.0,33.0,7.0,5257.0,2283.0,2974.0,279.0,129.0,150.0
36,NORTH,Rural,Matric/secondary but below graduate,4555.0,2874.0,1681.0,2024.0,1913.0,111.0,73.0,64.0,9.0,41.0,36.0,5.0,2458.0,897.0,1561.0,360.0,176.0,184.0
37,NORTH,Rural,Technical diploma or certificate not equal to degree,24.0,16.0,8.0,9.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,14.0,7.0,7.0,5.0,4.0,1.0
38,NORTH,Rural,Graduate and above other than technical degree,1236.0,817.0,419.0,711.0,641.0,70.0,18.0,12.0,6.0,6.0,5.0,1.0,507.0,164.0,343.0,126.0,62.0,64.0
39,NORTH,Rural,Technical degree or diploma equal to degree or post-graduate degree,76.0,63.0,13.0,40.0,38.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,34.0,23.0,11.0,14.0,9.0,5.0
