,Area name,Total/Rural/Urban,Education level,total person,total males,total females,person main worker,males main worker,females main worker,person marginal worker,males marginal worker,females marginal worker,person MAW,males MAW,females MAW,person non worker,males non worker,females non worker,person unemployed,males unemployed,females unemployed
0,BARGARH,Total,Total,1481255.0,749161.0,732094.0,474390.0,372806.0,101584.0,287702.0,100499.0,187203.0,131880.0,62034.0,69846.0,719163.0,275856.0,443307.0,70822.0,29674.0,41148.0
1,BARGARH,Total,Illiterate,497472.0,191944.0,305528.0,113614.0,67526.0,46088.0,101727.0,18928.0,82799.0,41157.0,10721.0,30436.0,282131.0,105490.0,176641.0,9213.0,1522.0,7691.0
2,BARGARH,Total,Literate,983783.0,557217.0,426566.0,360776.0,305280.0,55496.0,185975.0,81571.0,104404.0,90723.0,51313.0,39410.0,437032.0,170366.0,266666.0,61609.0,28152.0,33457.0
3,BARGARH,Total,Literate but below matric/secondary,733683.0,402692.0,330991.0,253584.0,211573.0,42011.0,148390.0,61309.0,87081.0,69766.0,37447.0,32319.0,331709.0,129810.0,201899.0,30500.0,11971.0,18529.0
4,BARGARH,Total,Matric/secondary but below graduate,169842.0,102284.0,67558.0,65890.0,57989.0,7901.0,26250.0,14412.0,11838.0,14732.0,9914.0,4818.0,77702.0,29883.0,47819.0,21923.0,11225.0,10698.0
5,BARGARH,Total,Technical diploma or certificate not equal to degree,3119.0,2499.0,620.0,1561.0,1311.0,250.0,255.0,202.0,53.0,187.0,156.0,31.0,1303.0,986.0,317.0,750.0,592.0,158.0
6,BARGARH,Total,Graduate and above other than technical degree,39858.0,28126.0,11732.0,23139.0,20810.0,2329.0,3545.0,2526.0,1019.0,2384.0,1882.0,502.0,13174.0,4790.0,8384.0,5747.0,2999.0,2748.0
7,BARGARH,Total,Technical degree or diploma equal to degree or post-graduate degree,7582.0,5928.0,1654.0,4730.0,4081.0,649.0,502.0,320.0,182.0,240.0,177.0,63.0,2350.0,1527.0,823.0,904.0,619.0,285.0
8,BARGARH,Rural,Total,1331145.0,672603.0,658542.0,426776.0,333482.0,93294.0,280109.0,96460.0,183649.0,128899.0,60111.0,68788.0,624260.0,242661.0,381599.0,59537.0,24511.0,35026.0
9,BARGARH,Rural,Illiterate,461973.0,177616.0,284357.0,107289.0,63894.0,43395.0,99871.0,18308.0,81563.0,40605.0,10500.0,30105.0,254813.0,95414.0,159399.0,8398.0,1374.0,7024.0
10,BARGARH,Rural,Literate,869172.0,494987.0,374185.0,319487.0,269588.0,49899.0,180238.0,78152.0,102086.0,88294.0,49611.0,38683.0,369447.0,147247.0,222200.0,51139.0,23137.0,28002.0
11,BARGARH,Rural,Literate but below matric/secondary,671168.0,370686.0,300482.0,235223.0,195845.0,39378.0,144970.0,59415.0,85555.0,68413.0,36536.0,31877.0,290975.0,115426.0,175549.0,26739.0,10282.0,16457.0
12,BARGARH,Rural,Matric/secondary but below graduate,138392.0,84789.0,53603.0,53939.0,47333.0,6606.0,24807.0,13471.0,11336.0,14064.0,9425.0,4639.0,59646.0,23985.0,35661.0,17790.0,9153.0,8637.0
13,BARGARH,Rural,Technical diploma or certificate not equal to degree,2252.0,1813.0,439.0,1108.0,925.0,183.0,221.0,172.0,49.0,164.0,136.0,28.0,923.0,716.0,207.0,578.0,469.0,109.0
14,BARGARH,Rural,Graduate and above other than technical degree,26469.0,19607.0,6862.0,15546.0,14189.0,1357.0,3057.0,2184.0,873.0,2142.0,1700.0,442.0,7866.0,3234.0,4632.0,3990.0,2212.0,1778.0
15,BARGARH,Rural,Technical degree or diploma equal to degree or post-graduate degree,5132.0,4138.0,994.0,3211.0,2867.0,344.0,434.0,270.0,164.0,197.0,145.0,52.0,1487.0,1001.0,486.0,542.0,381.0,161.0
16,BARGARH,Urban,Total,150110.0,76558.0,73552.0,47614.0,39324.0,8290.0,7593.0,4039.0,3554.0,2981.0,1923.0,1058.0,94903.0,33195.0,61708.0,11285.0,5163.0,6122.0
17,BARGARH,Urban,Illiterate,35499.0,14328.0,21171.0,6325.0,3632.0,2693.0,1856.0,620.0,1236.0,552.0,221.0,331.0,27318.0,10076.0,17242.0,815.0,148.0,667.0
18,BARGARH,Urban,Literate,114611.0,62230.0,52381.0,41289.0,35692.0,5597.0,5737.0,3419.0,2318.0,2429.0,1702.0,727.0,67585.0,23119.0,44466.0,10470.0,5015.0,5455.0
19,BARGARH,Urban,Literate but below matric/secondary,62515.0,32006.0,30509.0,18361.0,15728.0,2633.0,3420.0,1894.0,1526.0,1353.0,911.0,442.0,40734.0,14384.0,26350.0,3761.0,1689.0,2072.0
20,BARGARH,Urban,Matric/secondary but below graduate,31450.0,17495.0,13955.0,11951.0,10656.0,1295.0,1443.0,941.0,502.0,668.0,489.0,179.0,18056.0,5898.0,12158.0,4133.0,2072.0,2061.0
21,BARGARH,Urban,Technical diploma or certificate not equal to degree,867.0,686.0,181.0,453.0,386.0,67.0,34.0,30.0,4.0,23.0,20.0,3.0,380.0,270.0,110.0,172.0,123.0,49.0
22,BARGARH,Urban,Graduate and above other than technical degree,13389.0,8519.0,4870.0,7593.0,6621.0,972.0,488.0,342.0,146.0,242.0,182.0,60.0,5308.0,1556.0,3752.0,1757.0,787.0,970.0
23,BARGARH,Urban,Technical degree or diploma equal to degree or post-graduate degree,2450.0,1790.0,660.0,1519.0,1214.0,305.0,68.0,50.0,18.0,43.0,32.0,11.0,863.0,526.0,337.0,362.0,238.0,124.0
24,JHARSUGUDA,Total,Total,579505.0,296690.0,282815.0,172069.0,137683.0,34386.0,75638.0,34335.0,41303.0,37586.0,21196.0,16390.0,331798.0,124672.0,207126.0,42391.0,18530.0,23861.0
25,JHARSUGUDA,Total,Illiterate,173626.0,68598.0,105028.0,33379.0,19877.0,13502.0,23952.0,6346.0,17606.0,9605.0,3348.0,6257.0,116295.0,42375.0,73920.0,4891.0,847.0,4044.0
26,JHARSUGUDA,Total,Literate,405879.0,228092.0,177787.0,138690.0,117806.0,20884.0,51686.0,27989.0,23697.0,27981.0,17848.0,10133.0,215503.0,82297.0,133206.0,37500.0,17683.0,19817.0
27,JHARSUGUDA,Total,Literate but below matric/secondary,266584.0,144903.0,121681.0,78975.0,65878.0,13097.0,38058.0,19973.0,18085.0,19831.0,12471.0,7360.0,149551.0,59052.0,90499.0,17223.0,7483.0,9740.0
28,JHARSUGUDA,Total,Matric/secondary but below graduate,89808.0,52741.0,37067.0,35322.0,31178.0,4144.0,9083.0,5540.0,3543.0,5614.0,3787.0,1827.0,45403.0,16023.0,29380.0,13782.0,6808.0,6974.0
29,JHARSUGUDA,Total,Technical diploma or certificate not equal to degree,5495.0,4746.0,749.0,2961.0,2671.0,290.0,283.0,249.0,34.0,206.0,183.0,23.0,2251.0,1826.0,425.0,1389.0,1166.0,223.0
30,JHARSUGUDA,Total,Graduate and above other than technical degree,22009.0,13446.0,8563.0,12286.0,10624.0,1662.0,1200.0,786.0,414.0,749.0,517.0,232.0,8523.0,2036.0,6487.0,2949.0,1145.0,1804.0
31,JHARSUGUDA,Total,Technical degree or diploma equal to degree or post-graduate degree,4000.0,2970.0,1030.0,2466.0,2036.0,430.0,202.0,139.0,63.0,95.0,71.0,24.0,1332.0,795.0,537.0,567.0,387.0,180.0
32,JHARSUGUDA,Rural,Total,348340.0,176162.0,172178.0,103420.0,78468.0,24952.0,65684.0,28232.0,37452.0,33003.0,17994.0,15009.0,179236.0,69462.0,109774.0,23488.0,9513.0,13975.0
33,JHARSUGUDA,Rural,Illiterate,113378.0,43714.0,69664.0,23986.0,13640.0,10346.0,21166.0,5218.0,15948.0,8730.0,2893.0,5837.0,68226.0,24856.0,43370.0,3202.0,446.0,2756.0
34,JHARSUGUDA,Rural,Literate,234962.0,132448.0,102514.0,79434.0,64828.0,14606.0,44518.0,23014.0,21504.0,24273.0,15101.0,9172.0,111010.0,44606.0,66404.0,20286.0,9067.0,11219.0
35,JHARSUGUDA,Rural,Literate but below matric/secondary,174439.0,96060.0,78379.0,54452.0,43958.0,10494.0,33751.0,16971.0,16780.0,17688.0,10825.0,6863.0,86236.0,35131.0,51105.0,10943.0,4524.0,6419.0
36,JHARSUGUDA,Rural,Matric/secondary but below graduate,41217.0,24516.0,16701.0,16111.0,13578.0,2533.0,7200.0,4185.0,3015.0,4552.0,3012.0,1540.0,17906.0,6753.0,11153.0,6880.0,3255.0,3625.0
37,JHARSUGUDA,Rural,Technical diploma or certificate not equal to degree,1602.0,1313.0,289.0,653.0,543.0,110.0,178.0,154.0,24.0,136.0,121.0,15.0,771.0,616.0,155.0,537.0,434.0,103.0
38,JHARSUGUDA,Rural,Graduate and above other than technical degree,6779.0,4530.0,2249.0,3896.0,3365.0,531.0,809.0,542.0,267.0,539.0,394.0,145.0,2074.0,623.0,1451.0,1011.0,416.0,595.0
39,JHARSUGUDA,Rural,Technical degree or diploma equal to degree or post-graduate degree,1296.0,999.0,297.0,773.0,636.0,137.0,124.0,89.0,35.0,48.0,42.0,6.0,399.0,274.0,125.0,171.0,132.0,39.0
40,JHARSUGUDA,Urban,Total,231165.0,120528.0,110637.0,68649.0,59215.0,9434.0,9954.0,6103.0,3851.0,4583.0,3202.0,1381.0,152562.0,55210.0,97352.0,18903.0,9017.0,9886.0
41,JHARSUGUDA,Urban,Illiterate,60248.0,24884.0,35364.0,9393.0,6237.0,3156.0,2786.0,1128.0,1658.0,875.0,455.0,420.0,48069.0,17519.0,30550.0,1689.0,401.0,1288.0
42,JHARSUGUDA,Urban,Literate,170917.0,95644.0,75273.0,59256.0,52978.0,6278.0,7168.0,4975.0,2193.0,3708.0,2747.0,961.0,104493.0,37691.0,66802.0,17214.0,8616.0,8598.0
43,JHARSUGUDA,Urban,Literate but below matric/secondary,92145.0,48843.0,43302.0,24523.0,21920.0,2603.0,4307.0,3002.0,1305.0,2143.0,1646.0,497.0,63315.0,23921.0,39394.0,6280.0,2959.0,3321.0
44,JHARSUGUDA,Urban,Matric/secondary but below graduate,48591.0,28225.0,20366.0,19211.0,17600.0,1611.0,1883.0,1355.0,528.0,1062.0,775.0,287.0,27497.0,9270.0,18227.0,6902.0,3553.0,3349.0
45,JHARSUGUDA,Urban,Technical diploma or certificate not equal to degree,3893.0,3433.0,460.0,2308.0,2128.0,180.0,105.0,95.0,10.0,70.0,62.0,8.0,1480.0,1210.0,270.0,852.0,732.0,120.0
46,JHARSUGUDA,Urban,Graduate and above other than technical degree,15230.0,8916.0,6314.0,8390.0,7259.0,1131.0,391.0,244.0,147.0,210.0,123.0,87.0,6449.0,1413.0,5036.0,1938.0,729.0,1209.0
47,JHARSUGUDA,Urban,Technical degree or diploma equal to degree or post-graduate degree,2704.0,1971.0,733.0,1693.0,1400.0,293.0,78.0,50.0,28.0,47.0,29.0,18.0,933.0,521.0,412.0,396.0,255.0,141.0
48,SAMBALPUR,Total,Total,1041099.0,526877.0,514222.0,336854.0,242724.0,94130.0,168986.0,70437.0,98549.0,80051.0,42601.0,37450.0,535259.0,213716.0,321543.0,56970.0,25059.0,31911.0
49,SAMBALPUR,Total,Illiterate,337408.0,133685.0,203723.0,81592.0,41837.0,39755.0,59201.0,14743.0,44458.0,24071.0,7914.0,16157.0,196615.0,77105.0,119510.0,6565.0,1416.0,5149.0
50,SAMBALPUR,Total,Literate,703691.0,393192.0,310499.0,255262.0,200887.0,54375.0,109785.0,55694.0,54091.0,55980.0,34687.0,21293.0,338644.0,136611.0,202033.0,50405.0,23643.0,26762.0
51,SAMBALPUR,Total,Literate but below matric/secondary,484031.0,262803.0,221228.0,157502.0,119800.0,37702.0,85798.0,42364.0,43434.0,42306.0,25927.0,16379.0,240731.0,100639.0,140092.0,22330.0,9984.0,12346.0
52,SAMBALPUR,Total,Matric/secondary but below graduate,139588.0,81169.0,58419.0,56228.0,47191.0,9037.0,16627.0,9467.0,7160.0,9866.0,6437.0,3429.0,66733.0,24511.0,42222.0,18447.0,9033.0,9414.0
53,SAMBALPUR,Total,Technical diploma or certificate not equal to degree,5501.0,4416.0,1085.0,2760.0,2294.0,466.0,302.0,255.0,47.0,210.0,181.0,29.0,2439.0,1867.0,572.0,1321.0,1045.0,276.0
