,Area name,Total/Rural/Urban,Education level,total person,total males,total females,person main worker,males main worker,females main worker,person marginal worker,males marginal worker,females marginal worker,person MAW,males MAW,females MAW,person non worker,males non worker,females non worker,person unemployed,males unemployed,females unemployed
0,YANAM,Total,Total,55626.0,27301.0,28325.0,15373.0,13233.0,2140.0,1387.0,814.0,573.0,510.0,335.0,175.0,38866.0,13254.0,25612.0,2184.0,973.0,1211.0
1,YANAM,Total,Illiterate,16352.0,7382.0,8970.0,3648.0,2934.0,714.0,524.0,266.0,258.0,148.0,79.0,69.0,12180.0,4182.0,7998.0,138.0,33.0,105.0
2,YANAM,Total,Literate,39274.0,19919.0,19355.0,11725.0,10299.0,1426.0,863.0,548.0,315.0,362.0,256.0,106.0,26686.0,9072.0,17614.0,2046.0,940.0,1106.0
3,YANAM,Total,Literate but below matric/secondary,22545.0,10333.0,12212.0,5127.0,4476.0,651.0,466.0,251.0,215.0,174.0,107.0,67.0,16952.0,5606.0,11346.0,604.0,184.0,420.0
4,YANAM,Total,Matric/secondary but below graduate,10317.0,5414.0,4903.0,3239.0,3001.0,238.0,217.0,156.0,61.0,102.0,77.0,25.0,6861.0,2257.0,4604.0,673.0,311.0,362.0
5,YANAM,Total,Technical diploma or certificate not equal to degree,1482.0,1213.0,269.0,801.0,738.0,63.0,56.0,53.0,3.0,34.0,33.0,1.0,625.0,422.0,203.0,235.0,172.0,63.0
6,YANAM,Total,Graduate and above other than technical degree,2695.0,1613.0,1082.0,1493.0,1224.0,269.0,57.0,42.0,15.0,24.0,19.0,5.0,1145.0,347.0,798.0,265.0,116.0,149.0
7,YANAM,Total,Technical degree or diploma equal to degree or post-graduate degree,1195.0,781.0,414.0,648.0,490.0,158.0,16.0,13.0,3.0,10.0,8.0,2.0,531.0,278.0,253.0,223.0,133.0,90.0
8,YANAM,Rural,Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,YANAM,Rural,Illiterate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,YANAM,Rural,Literate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,YANAM,Rural,Literate but below matric/secondary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,YANAM,Rural,Matric/secondary but below graduate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,YANAM,Rural,Technical diploma or certificate not equal to degree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,YANAM,Rural,Graduate and above other than technical degree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,YANAM,Rural,Technical degree or diploma equal to degree or post-graduate degree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,YANAM,Urban,Total,55626.0,27301.0,28325.0,15373.0,13233.0,2140.0,1387.0,814.0,573.0,510.0,335.0,175.0,38866.0,13254.0,25612.0,2184.0,973.0,1211.0
17,YANAM,Urban,Illiterate,16352.0,7382.0,8970.0,3648.0,2934.0,714.0,524.0,266.0,258.0,148.0,79.0,69.0,12180.0,4182.0,7998.0,138.0,33.0,105.0
18,YANAM,Urban,Literate,39274.0,19919.0,19355.0,11725.0,10299.0,1426.0,863.0,548.0,315.0,362.0,256.0,106.0,26686.0,9072.0,17614.0,2046.0,940.0,1106.0
19,YANAM,Urban,Literate but below matric/secondary,22545.0,10333.0,12212.0,5127.0,4476.0,651.0,466.0,251.0,215.0,174.0,107.0,67.0,16952.0,5606.0,11346.0,604.0,184.0,420.0
20,YANAM,Urban,Matric/secondary but below graduate,10317.0,5414.0,4903.0,3239.0,3001.0,238.0,217.0,156.0,61.0,102.0,77.0,25.0,6861.0,2257.0,4604.0,673.0,311.0,362.0
21,YANAM,Urban,Technical diploma or certificate not equal to degree,1482.0,1213.0,269.0,801.0,738.0,63.0,56.0,53.0,3.0,34.0,33.0,1.0,625.0,422.0,203.0,235.0,172.0,63.0
22,YANAM,Urban,Graduate and above other than technical degree,2695.0,1613.0,1082.0,1493.0,1224.0,269.0,57.0,42.0,15.0,24.0,19.0,5.0,1145.0,347.0,798.0,265.0,116.0,149.0
23,YANAM,Urban,Technical degree or diploma equal to degree or post-graduate degree,1195.0,781.0,414.0,648.0,490.0,158.0,16.0,13.0,3.0,10.0,8.0,2.0,531.0,278.0,253.0,223.0,133.0,90.0
24,PUDUCHERRY,Total,Total,950289.0,468258.0,482031.0,315570.0,237953.0,77617.0,32535.0,18699.0,13836.0,11401.0,6902.0,4499.0,602184.0,211606.0,390578.0,48876.0,18141.0,30735.0
25,PUDUCHERRY,Total,Illiterate,223640.0,87312.0,136328.0,40505.0,20364.0,20141.0,8969.0,3306.0,5663.0,2282.0,903.0,1379.0,174166.0,63642.0,110524.0,2864.0,599.0,2265.0
26,PUDUCHERRY,Total,Literate,726649.0,380946.0,345703.0,275065.0,217589.0,57476.0,23566.0,15393.0,8173.0,9119.0,5999.0,3120.0,428018.0,147964.0,280054.0,46012.0,17542.0,28470.0
27,PUDUCHERRY,Total,Literate but below matric/secondary,334365.0,164788.0,169577.0,96256.0,75414.0,20842.0,11932.0,7474.0,4458.0,4017.0,2601.0,1416.0,226177.0,81900.0,144277.0,11046.0,3423.0,7623.0
28,PUDUCHERRY,Total,Matric/secondary but below graduate,227120.0,120902.0,106218.0,84617.0,71746.0,12871.0,7292.0,5174.0,2118.0,3119.0,2156.0,963.0,135211.0,43982.0,91229.0,17835.0,6984.0,10851.0
29,PUDUCHERRY,Total,Technical diploma or certificate not equal to degree,29048.0,20227.0,8821.0,17660.0,14377.0,3283.0,871.0,668.0,203.0,477.0,368.0,109.0,10517.0,5182.0,5335.0,3465.0,1925.0,1540.0
30,PUDUCHERRY,Total,Graduate and above other than technical degree,81563.0,45098.0,36465.0,47413.0,35568.0,11845.0,1588.0,975.0,613.0,737.0,416.0,321.0,32562.0,8555.0,24007.0,8009.0,2580.0,5429.0
31,PUDUCHERRY,Total,Technical degree or diploma equal to degree or post-graduate degree,34378.0,20370.0,14008.0,20461.0,14223.0,6238.0,799.0,471.0,328.0,395.0,240.0,155.0,13118.0,5676.0,7442.0,4414.0,2199.0,2215.0
32,PUDUCHERRY,Rural,Total,293080.0,144769.0,148311.0,93536.0,68214.0,25322.0,18944.0,10384.0,8560.0,6829.0,4043.0,2786.0,180600.0,66171.0,114429.0,15289.0,6044.0,9245.0
33,PUDUCHERRY,Rural,Illiterate,89299.0,34495.0,54804.0,20002.0,9643.0,10359.0,6542.0,2326.0,4216.0,1674.0,636.0,1038.0,62755.0,22526.0,40229.0,1208.0,242.0,966.0
34,PUDUCHERRY,Rural,Literate,203781.0,110274.0,93507.0,73534.0,58571.0,14963.0,12402.0,8058.0,4344.0,5155.0,3407.0,1748.0,117845.0,43645.0,74200.0,14081.0,5802.0,8279.0
35,PUDUCHERRY,Rural,Literate but below matric/secondary,107445.0,54880.0,52565.0,32481.0,24647.0,7834.0,6758.0,4062.0,2696.0,2477.0,1528.0,949.0,68206.0,26171.0,42035.0,3862.0,1240.0,2622.0
36,PUDUCHERRY,Rural,Matric/secondary but below graduate,65246.0,36280.0,28966.0,25207.0,21323.0,3884.0,3968.0,2871.0,1097.0,1829.0,1300.0,529.0,36071.0,12086.0,23985.0,6097.0,2516.0,3581.0
37,PUDUCHERRY,Rural,Technical diploma or certificate not equal to degree,8318.0,6085.0,2233.0,4370.0,3727.0,643.0,408.0,329.0,79.0,245.0,199.0,46.0,3540.0,2029.0,1511.0,1301.0,811.0,490.0
38,PUDUCHERRY,Rural,Graduate and above other than technical degree,12104.0,7147.0,4957.0,6470.0,5179.0,1291.0,481.0,342.0,139.0,272.0,183.0,89.0,5153.0,1626.0,3527.0,1683.0,700.0,983.0
39,PUDUCHERRY,Rural,Technical degree or diploma equal to degree or post-graduate degree,4623.0,2792.0,1831.0,2286.0,1669.0,617.0,163.0,112.0,51.0,97.0,68.0,29.0,2174.0,1011.0,1163.0,773.0,401.0,372.0
40,PUDUCHERRY,Urban,Total,657209.0,323489.0,333720.0,222034.0,169739.0,52295.0,13591.0,8315.0,5276.0,4572.0,2859.0,1713.0,421584.0,145435.0,276149.0,33587.0,12097.0,21490.0
41,PUDUCHERRY,Urban,Illiterate,134341.0,52817.0,81524.0,20503.0,10721.0,9782.0,2427.0,980.0,1447.0,608.0,267.0,341.0,111411.0,41116.0,70295.0,1656.0,357.0,1299.0
42,PUDUCHERRY,Urban,Literate,522868.0,270672.0,252196.0,201531.0,159018.0,42513.0,11164.0,7335.0,3829.0,3964.0,2592.0,1372.0,310173.0,104319.0,205854.0,31931.0,11740.0,20191.0
43,PUDUCHERRY,Urban,Literate but below matric/secondary,226920.0,109908.0,117012.0,63775.0,50767.0,13008.0,5174.0,3412.0,1762.0,1540.0,1073.0,467.0,157971.0,55729.0,102242.0,7184.0,2183.0,5001.0
44,PUDUCHERRY,Urban,Matric/secondary but below graduate,161874.0,84622.0,77252.0,59410.0,50423.0,8987.0,3324.0,2303.0,1021.0,1290.0,856.0,434.0,99140.0,31896.0,67244.0,11738.0,4468.0,7270.0
45,PUDUCHERRY,Urban,Technical diploma or certificate not equal to degree,20730.0,14142.0,6588.0,13290.0,10650.0,2640.0,463.0,339.0,124.0,232.0,169.0,63.0,6977.0,3153.0,3824.0,2164.0,1114.0,1050.0
46,PUDUCHERRY,Urban,Graduate and above other than technical degree,69459.0,37951.0,31508.0,40943.0,30389.0,10554.0,1107.0,633.0,474.0,465.0,233.0,232.0,27409.0,6929.0,20480.0,6326.0,1880.0,4446.0
47,PUDUCHERRY,Urban,Technical degree or diploma equal to degree or post-graduate degree,29755.0,17578.0,12177.0,18175.0,12554.0,5621.0,636.0,359.0,277.0,298.0,172.0,126.0,10944.0,4665.0,6279.0,3641.0,1798.0,1843.0
