,Area name,Total/Rural/Urban,Education level,total person,total males,total females,person main worker,males main worker,females main worker,person marginal worker,males marginal worker,females marginal worker,person MAW,males MAW,females MAW,person non worker,males non worker,females non worker,person unemployed,males unemployed,females unemployed
0,GANGANAGAR ,Total,Total,1969168.0,1043340.0,925828.0,680563.0,530627.0,149936.0,232109.0,65693.0,166416.0,78904.0,36376.0,42528.0,1056496.0,447020.0,609476.0,70961.0,30633.0,40328.0
1,GANGANAGAR ,Total,Illiterate,775825.0,332432.0,443393.0,220932.0,137364.0,83568.0,115909.0,19797.0,96112.0,36508.0,11008.0,25500.0,438984.0,175271.0,263713.0,11373.0,2134.0,9239.0
2,GANGANAGAR ,Total,Literate,1193343.0,710908.0,482435.0,459631.0,393263.0,66368.0,116200.0,45896.0,70304.0,42396.0,25368.0,17028.0,617512.0,271749.0,345763.0,59588.0,28499.0,31089.0
3,GANGANAGAR ,Total,Literate but below matric/secondary,785509.0,451453.0,334056.0,268744.0,225439.0,43305.0,86335.0,31180.0,55155.0,28883.0,16456.0,12427.0,430430.0,194834.0,235596.0,20056.0,8006.0,12050.0
4,GANGANAGAR ,Total,Matric/secondary but below graduate,258577.0,167970.0,90607.0,110664.0,101771.0,8893.0,18683.0,9593.0,9090.0,8011.0,5419.0,2592.0,129230.0,56606.0,72624.0,23081.0,12796.0,10285.0
5,GANGANAGAR ,Total,Technical diploma or certificate not equal to degree,4856.0,3687.0,1169.0,2376.0,1899.0,477.0,251.0,194.0,57.0,169.0,137.0,32.0,2229.0,1594.0,635.0,868.0,646.0,222.0
6,GANGANAGAR ,Total,Graduate and above other than technical degree,79931.0,49447.0,30484.0,44265.0,37216.0,7049.0,3653.0,2135.0,1518.0,2281.0,1544.0,737.0,32013.0,10096.0,21917.0,10455.0,4690.0,5765.0
7,GANGANAGAR ,Total,Technical degree or diploma equal to degree or post-graduate degree,17310.0,10511.0,6799.0,8955.0,6648.0,2307.0,976.0,620.0,356.0,729.0,498.0,231.0,7379.0,3243.0,4136.0,3337.0,1622.0,1715.0
8,GANGANAGAR ,Rural,Total,1433736.0,758269.0,675467.0,514731.0,387503.0,127228.0,212361.0,54899.0,157462.0,67906.0,29222.0,38684.0,706644.0,315867.0,390777.0,45274.0,19467.0,25807.0
9,GANGANAGAR ,Rural,Illiterate,612364.0,261334.0,351030.0,189336.0,113847.0,75489.0,107252.0,16309.0,90943.0,31809.0,8622.0,23187.0,315776.0,131178.0,184598.0,7844.0,1342.0,6502.0
10,GANGANAGAR ,Rural,Literate,821372.0,496935.0,324437.0,325395.0,273656.0,51739.0,105109.0,38590.0,66519.0,36097.0,20600.0,15497.0,390868.0,184689.0,206179.0,37430.0,18125.0,19305.0
11,GANGANAGAR ,Rural,Literate but below matric/secondary,596890.0,346525.0,250365.0,217808.0,178753.0,39055.0,79244.0,26508.0,52736.0,24848.0,13329.0,11519.0,299838.0,141264.0,158574.0,14360.0,5554.0,8806.0
12,GANGANAGAR ,Rural,Matric/secondary but below graduate,150646.0,102004.0,48642.0,66915.0,60785.0,6130.0,16398.0,8045.0,8353.0,6784.0,4492.0,2292.0,67333.0,33174.0,34159.0,15159.0,8518.0,6641.0
13,GANGANAGAR ,Rural,Technical diploma or certificate not equal to degree,2659.0,2126.0,533.0,1229.0,1038.0,191.0,211.0,165.0,46.0,147.0,118.0,29.0,1219.0,923.0,296.0,559.0,415.0,144.0
14,GANGANAGAR ,Rural,Graduate and above other than technical degree,29642.0,20454.0,9188.0,16698.0,14603.0,2095.0,2760.0,1581.0,1179.0,1733.0,1192.0,541.0,10184.0,4270.0,5914.0,4643.0,2325.0,2318.0
15,GANGANAGAR ,Rural,Technical degree or diploma equal to degree or post-graduate degree,7222.0,5068.0,2154.0,3762.0,3144.0,618.0,753.0,479.0,274.0,571.0,391.0,180.0,2707.0,1445.0,1262.0,1546.0,849.0,697.0
16,GANGANAGAR ,Urban,Total,535432.0,285071.0,250361.0,165832.0,143124.0,22708.0,19748.0,10794.0,8954.0,10998.0,7154.0,3844.0,349852.0,131153.0,218699.0,25687.0,11166.0,14521.0
17,GANGANAGAR ,Urban,Illiterate,163461.0,71098.0,92363.0,31596.0,23517.0,8079.0,8657.0,3488.0,5169.0,4699.0,2386.0,2313.0,123208.0,44093.0,79115.0,3529.0,792.0,2737.0
18,GANGANAGAR ,Urban,Literate,371971.0,213973.0,157998.0,134236.0,119607.0,14629.0,11091.0,7306.0,3785.0,6299.0,4768.0,1531.0,226644.0,87060.0,139584.0,22158.0,10374.0,11784.0
19,GANGANAGAR ,Urban,Literate but below matric/secondary,188619.0,104928.0,83691.0,50936.0,46686.0,4250.0,7091.0,4672.0,2419.0,4035.0,3127.0,908.0,130592.0,53570.0,77022.0,5696.0,2452.0,3244.0
20,GANGANAGAR ,Urban,Matric/secondary but below graduate,107931.0,65966.0,41965.0,43749.0,40986.0,2763.0,2285.0,1548.0,737.0,1227.0,927.0,300.0,61897.0,23432.0,38465.0,7922.0,4278.0,3644.0
21,GANGANAGAR ,Urban,Technical diploma or certificate not equal to degree,2197.0,1561.0,636.0,1147.0,861.0,286.0,40.0,29.0,11.0,22.0,19.0,3.0,1010.0,671.0,339.0,309.0,231.0,78.0
22,GANGANAGAR ,Urban,Graduate and above other than technical degree,50289.0,28993.0,21296.0,27567.0,22613.0,4954.0,893.0,554.0,339.0,548.0,352.0,196.0,21829.0,5826.0,16003.0,5812.0,2365.0,3447.0
