,Area name,Total/Rural/Urban,Education level,total person,total males,total females,person main worker,males main worker,females main worker,person marginal worker,males marginal worker,females marginal worker,person MAW,males MAW,females MAW,person non worker,males non worker,females non worker,person unemployed,males unemployed,females unemployed
0,NORTH  DISTRICT,Total,Total,43709.0,24730.0,18979.0,17216.0,12677.0,4539.0,6143.0,3258.0,2885.0,1600.0,920.0,680.0,20350.0,8795.0,11555.0,1442.0,581.0,861.0
1,NORTH  DISTRICT,Total,Illiterate,13259.0,6151.0,7108.0,3829.0,2165.0,1664.0,1721.0,743.0,978.0,421.0,201.0,220.0,7709.0,3243.0,4466.0,143.0,32.0,111.0
2,NORTH  DISTRICT,Total,Literate,30450.0,18579.0,11871.0,13387.0,10512.0,2875.0,4422.0,2515.0,1907.0,1179.0,719.0,460.0,12641.0,5552.0,7089.0,1299.0,549.0,750.0
3,NORTH  DISTRICT,Total,Literate but below matric/secondary,20446.0,11699.0,8747.0,7147.0,5468.0,1679.0,3200.0,1758.0,1442.0,759.0,476.0,283.0,10099.0,4473.0,5626.0,684.0,311.0,373.0
4,NORTH  DISTRICT,Total,Matric/secondary but below graduate,6492.0,4471.0,2021.0,4045.0,3371.0,674.0,763.0,467.0,296.0,247.0,134.0,113.0,1684.0,633.0,1051.0,397.0,139.0,258.0
5,NORTH  DISTRICT,Total,Technical diploma or certificate not equal to degree,148.0,91.0,57.0,98.0,78.0,20.0,28.0,5.0,23.0,12.0,1.0,11.0,22.0,8.0,14.0,3.0,1.0,2.0
6,NORTH  DISTRICT,Total,Graduate and above other than technical degree,1287.0,815.0,472.0,859.0,619.0,240.0,153.0,94.0,59.0,91.0,54.0,37.0,275.0,102.0,173.0,158.0,64.0,94.0
7,NORTH  DISTRICT,Total,Technical degree or diploma equal to degree or post-graduate degree,172.0,130.0,42.0,143.0,112.0,31.0,6.0,5.0,1.0,2.0,1.0,1.0,23.0,13.0,10.0,6.0,5.0,1.0
8,NORTH  DISTRICT,Rural,Total,39065.0,22274.0,16791.0,15598.0,11474.0,4124.0,6014.0,3203.0,2811.0,1568.0,896.0,672.0,17453.0,7597.0,9856.0,1178.0,473.0,705.0
9,NORTH  DISTRICT,Rural,Illiterate,12017.0,5580.0,6437.0,3561.0,1984.0,1577.0,1691.0,736.0,955.0,418.0,198.0,220.0,6765.0,2860.0,3905.0,115.0,28.0,87.0
10,NORTH  DISTRICT,Rural,Literate,27048.0,16694.0,10354.0,12037.0,9490.0,2547.0,4323.0,2467.0,1856.0,1150.0,698.0,452.0,10688.0,4737.0,5951.0,1063.0,445.0,618.0
11,NORTH  DISTRICT,Rural,Literate but below matric/secondary,18288.0,10502.0,7786.0,6501.0,4926.0,1575.0,3140.0,1732.0,1408.0,745.0,465.0,280.0,8647.0,3844.0,4803.0,544.0,245.0,299.0
12,NORTH  DISTRICT,Rural,Matric/secondary but below graduate,5660.0,4038.0,1622.0,3624.0,3090.0,534.0,740.0,458.0,282.0,236.0,128.0,108.0,1296.0,490.0,806.0,329.0,115.0,214.0
13,NORTH  DISTRICT,Rural,Technical diploma or certificate not equal to degree,126.0,79.0,47.0,82.0,70.0,12.0,28.0,5.0,23.0,12.0,1.0,11.0,16.0,4.0,12.0,2.0,0.0,2.0
14,NORTH  DISTRICT,Rural,Graduate and above other than technical degree,1064.0,680.0,384.0,692.0,503.0,189.0,149.0,91.0,58.0,90.0,53.0,37.0,223.0,86.0,137.0,139.0,56.0,83.0
15,NORTH  DISTRICT,Rural,Technical degree or diploma equal to degree or post-graduate degree,126.0,93.0,33.0,105.0,82.0,23.0,6.0,5.0,1.0,2.0,1.0,1.0,15.0,6.0,9.0,3.0,2.0,1.0
16,NORTH  DISTRICT,Urban,Total,4644.0,2456.0,2188.0,1618.0,1203.0,415.0,129.0,55.0,74.0,32.0,24.0,8.0,2897.0,1198.0,1699.0,264.0,108.0,156.0
17,NORTH  DISTRICT,Urban,Illiterate,1242.0,571.0,671.0,268.0,181.0,87.0,30.0,7.0,23.0,3.0,3.0,0.0,944.0,383.0,561.0,28.0,4.0,24.0
18,NORTH  DISTRICT,Urban,Literate,3402.0,1885.0,1517.0,1350.0,1022.0,328.0,99.0,48.0,51.0,29.0,21.0,8.0,1953.0,815.0,1138.0,236.0,104.0,132.0
19,NORTH  DISTRICT,Urban,Literate but below matric/secondary,2158.0,1197.0,961.0,646.0,542.0,104.0,60.0,26.0,34.0,14.0,11.0,3.0,1452.0,629.0,823.0,140.0,66.0,74.0
20,NORTH  DISTRICT,Urban,Matric/secondary but below graduate,832.0,433.0,399.0,421.0,281.0,140.0,23.0,9.0,14.0,11.0,6.0,5.0,388.0,143.0,245.0,68.0,24.0,44.0
21,NORTH  DISTRICT,Urban,Technical diploma or certificate not equal to degree,22.0,12.0,10.0,16.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,1.0,1.0,0.0
22,NORTH  DISTRICT,Urban,Graduate and above other than technical degree,223.0,135.0,88.0,167.0,116.0,51.0,4.0,3.0,1.0,1.0,1.0,0.0,52.0,16.0,36.0,19.0,8.0,11.0
23,NORTH  DISTRICT,Urban,Technical degree or diploma equal to degree or post-graduate degree,46.0,37.0,9.0,38.0,30.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,1.0,3.0,3.0,0.0
24,WEST DISTRICT,Total,Total,136435.0,70238.0,66197.0,51225.0,33254.0,17971.0,19123.0,7518.0,11605.0,4537.0,2148.0,2389.0,66087.0,29466.0,36621.0,5568.0,2235.0,3333.0
25,WEST DISTRICT,Total,Illiterate,43003.0,18250.0,24753.0,13332.0,6503.0,6829.0,5302.0,1341.0,3961.0,736.0,238.0,498.0,24369.0,10406.0,13963.0,503.0,112.0,391.0
26,WEST DISTRICT,Total,Literate,93432.0,51988.0,41444.0,37893.0,26751.0,11142.0,13821.0,6177.0,7644.0,3801.0,1910.0,1891.0,41718.0,19060.0,22658.0,5065.0,2123.0,2942.0
27,WEST DISTRICT,Total,Literate but below matric/secondary,71661.0,39563.0,32098.0,26717.0,19156.0,7561.0,11018.0,4869.0,6149.0,2567.0,1265.0,1302.0,33926.0,15538.0,18388.0,2728.0,1059.0,1669.0
