,Area name,Total/Rural/Urban,Education level,total person,total males,total females,person main worker,males main worker,females main worker,person marginal worker,males marginal worker,females marginal worker,person MAW,males MAW,females MAW,person non worker,males non worker,females non worker,person unemployed,males unemployed,females unemployed
0,THIRUVALLUR,Total,Total,3728104.0,1876062.0,1852042.0,1247918.0,945278.0,302640.0,290136.0,158285.0,131851.0,101159.0,60549.0,40610.0,2190050.0,772499.0,1417551.0,215183.0,80222.0,134961.0
1,THIRUVALLUR,Total,Illiterate,936383.0,380351.0,556032.0,199943.0,105024.0,94919.0,83356.0,30875.0,52481.0,20669.0,9038.0,11631.0,653084.0,244452.0,408632.0,17047.0,3142.0,13905.0
2,THIRUVALLUR,Total,Literate,2791721.0,1495711.0,1296010.0,1047975.0,840254.0,207721.0,206780.0,127410.0,79370.0,80490.0,51511.0,28979.0,1536966.0,528047.0,1008919.0,198136.0,77080.0,121056.0
3,THIRUVALLUR,Total,Literate but below matric/secondary,1242031.0,623297.0,618734.0,356391.0,280272.0,76119.0,91422.0,53779.0,37643.0,30044.0,18979.0,11065.0,794218.0,289246.0,504972.0,49376.0,15626.0,33750.0
4,THIRUVALLUR,Total,Matric/secondary but below graduate,901343.0,495546.0,405797.0,347777.0,292825.0,54952.0,65804.0,43327.0,22477.0,28704.0,19097.0,9607.0,487762.0,159394.0,328368.0,87747.0,37102.0,50645.0
5,THIRUVALLUR,Total,Technical diploma or certificate not equal to degree,95438.0,74934.0,20504.0,59442.0,53277.0,6165.0,6375.0,5100.0,1275.0,3375.0,2603.0,772.0,29621.0,16557.0,13064.0,9223.0,5532.0,3691.0
6,THIRUVALLUR,Total,Graduate and above other than technical degree,283271.0,151138.0,132133.0,154841.0,116101.0,38740.0,16627.0,9673.0,6954.0,7903.0,4346.0,3557.0,111803.0,25364.0,86439.0,27267.0,8087.0,19180.0
7,THIRUVALLUR,Total,Technical degree or diploma equal to degree or post-graduate degree,112851.0,70961.0,41890.0,66022.0,49587.0,16435.0,6962.0,4419.0,2543.0,3682.0,2314.0,1368.0,39867.0,16955.0,22912.0,13456.0,6901.0,6555.0
8,THIRUVALLUR,Rural,Total,1299709.0,650462.0,649247.0,439810.0,304671.0,135139.0,167423.0,84346.0,83077.0,55264.0,32450.0,22814.0,692476.0,261445.0,431031.0,67934.0,27126.0,40808.0
9,THIRUVALLUR,Rural,Illiterate,440009.0,174263.0,265746.0,126847.0,61964.0,64883.0,65551.0,23169.0,42382.0,15952.0,6792.0,9160.0,247611.0,89130.0,158481.0,7585.0,1294.0,6291.0
