,Area name,Total/Rural/Urban,Education level,total person,total males,total females,person main worker,males main worker,females main worker,person marginal worker,males marginal worker,females marginal worker,person MAW,males MAW,females MAW,person non worker,males non worker,females non worker,person unemployed,males unemployed,females unemployed
0,WEST TRIPURA ,Total,Total,1725739.0,879428.0,846311.0,524198.0,431743.0,92455.0,173980.0,68663.0,105317.0,122295.0,52758.0,69537.0,1027561.0,379022.0,648539.0,260535.0,72086.0,188449.0
1,WEST TRIPURA ,Total,Illiterate,364385.0,156430.0,207955.0,57002.0,37175.0,19827.0,33490.0,7053.0,26437.0,20781.0,4878.0,15903.0,273893.0,112202.0,161691.0,16931.0,2170.0,14761.0
2,WEST TRIPURA ,Total,Literate,1361354.0,722998.0,638356.0,467196.0,394568.0,72628.0,140490.0,61610.0,78880.0,101514.0,47880.0,53634.0,753668.0,266820.0,486848.0,243604.0,69916.0,173688.0
3,WEST TRIPURA ,Total,Literate but below matric/secondary,939628.0,480862.0,458766.0,292653.0,249197.0,43456.0,102844.0,42467.0,60377.0,72784.0,32509.0,40275.0,544131.0,189198.0,354933.0,138447.0,31593.0,106854.0
4,WEST TRIPURA ,Total,Matric/secondary but below graduate,261421.0,152697.0,108724.0,96312.0,83618.0,12694.0,21941.0,12412.0,9529.0,17202.0,10104.0,7098.0,143168.0,56667.0,86501.0,73279.0,28560.0,44719.0
5,WEST TRIPURA ,Total,Technical diploma or certificate not equal to degree,4061.0,3229.0,832.0,2176.0,1933.0,243.0,126.0,103.0,23.0,101.0,83.0,18.0,1759.0,1193.0,566.0,960.0,671.0,289.0
6,WEST TRIPURA ,Total,Graduate and above other than technical degree,77409.0,47118.0,30291.0,42008.0,33322.0,8686.0,3956.0,2560.0,1396.0,3215.0,2073.0,1142.0,31445.0,11236.0,20209.0,17941.0,5850.0,12091.0
7,WEST TRIPURA ,Total,Technical degree or diploma equal to degree or post-graduate degree,9415.0,6611.0,2804.0,5704.0,4388.0,1316.0,271.0,174.0,97.0,221.0,143.0,78.0,3440.0,2049.0,1391.0,1878.0,1026.0,852.0
8,WEST TRIPURA ,Rural,Total,1048101.0,536720.0,511381.0,309162.0,253749.0,55413.0,136412.0,50598.0,85814.0,95086.0,39378.0,55708.0,602527.0,232373.0,370154.0,132750.0,38363.0,94387.0
9,WEST TRIPURA ,Rural,Illiterate,259099.0,109139.0,149960.0,43585.0,28157.0,15428.0,29433.0,5867.0,23566.0,18390.0,4179.0,14211.0,186081.0,75115.0,110966.0,11409.0,1386.0,10023.0
10,WEST TRIPURA ,Rural,Literate,789002.0,427581.0,361421.0,265577.0,225592.0,39985.0,106979.0,44731.0,62248.0,76696.0,35199.0,41497.0,416446.0,157258.0,259188.0,121341.0,36977.0,84364.0
11,WEST TRIPURA ,Rural,Literate but below matric/secondary,594333.0,311158.0,283175.0,186948.0,158315.0,28633.0,79913.0,31502.0,48411.0,56232.0,24494.0,31738.0,327472.0,121341.0,206131.0,77044.0,18996.0,58048.0
12,WEST TRIPURA ,Rural,Matric/secondary but below graduate,131363.0,81481.0,49882.0,49246.0,43475.0,5771.0,16238.0,8894.0,7344.0,12582.0,7276.0,5306.0,65879.0,29112.0,36767.0,33845.0,14652.0,19193.0
13,WEST TRIPURA ,Rural,Technical diploma or certificate not equal to degree,707.0,577.0,130.0,340.0,310.0,30.0,39.0,34.0,5.0,27.0,24.0,3.0,328.0,233.0,95.0,206.0,146.0,60.0
14,WEST TRIPURA ,Rural,Graduate and above other than technical degree,19131.0,13587.0,5544.0,10878.0,9440.0,1438.0,1728.0,1272.0,456.0,1392.0,1043.0,349.0,6525.0,2875.0,3650.0,4444.0,1960.0,2484.0
15,WEST TRIPURA ,Rural,Technical degree or diploma equal to degree or post-graduate degree,981.0,765.0,216.0,557.0,479.0,78.0,52.0,42.0,10.0,39.0,32.0,7.0,372.0,244.0,128.0,224.0,140.0,84.0
16,WEST TRIPURA ,Urban,Total,677638.0,342708.0,334930.0,215036.0,177994.0,37042.0,37568.0,18065.0,19503.0,27209.0,13380.0,13829.0,425034.0,146649.0,278385.0,127785.0,33723.0,94062.0
17,WEST TRIPURA ,Urban,Illiterate,105286.0,47291.0,57995.0,13417.0,9018.0,4399.0,4057.0,1186.0,2871.0,2391.0,699.0,1692.0,87812.0,37087.0,50725.0,5522.0,784.0,4738.0
18,WEST TRIPURA ,Urban,Literate,572352.0,295417.0,276935.0,201619.0,168976.0,32643.0,33511.0,16879.0,16632.0,24818.0,12681.0,12137.0,337222.0,109562.0,227660.0,122263.0,32939.0,89324.0
19,WEST TRIPURA ,Urban,Literate but below matric/secondary,345295.0,169704.0,175591.0,105705.0,90882.0,14823.0,22931.0,10965.0,11966.0,16552.0,8015.0,8537.0,216659.0,67857.0,148802.0,61403.0,12597.0,48806.0
20,WEST TRIPURA ,Urban,Matric/secondary but below graduate,130058.0,71216.0,58842.0,47066.0,40143.0,6923.0,5703.0,3518.0,2185.0,4620.0,2828.0,1792.0,77289.0,27555.0,49734.0,39434.0,13908.0,25526.0
21,WEST TRIPURA ,Urban,Technical diploma or certificate not equal to degree,3354.0,2652.0,702.0,1836.0,1623.0,213.0,87.0,69.0,18.0,74.0,59.0,15.0,1431.0,960.0,471.0,754.0,525.0,229.0
22,WEST TRIPURA ,Urban,Graduate and above other than technical degree,58278.0,33531.0,24747.0,31130.0,23882.0,7248.0,2228.0,1288.0,940.0,1823.0,1030.0,793.0,24920.0,8361.0,16559.0,13497.0,3890.0,9607.0
23,WEST TRIPURA ,Urban,Technical degree or diploma equal to degree or post-graduate degree,8434.0,5846.0,2588.0,5147.0,3909.0,1238.0,219.0,132.0,87.0,182.0,111.0,71.0,3068.0,1805.0,1263.0,1654.0,886.0,768.0
24,SOUTH TRIPURA ,Total,Total,876001.0,447544.0,428457.0,258457.0,212050.0,46407.0,108388.0,41179.0,67209.0,73220.0,31903.0,41317.0,509156.0,194315.0,314841.0,99791.0,25745.0,74046.0
25,SOUTH TRIPURA ,Total,Illiterate,229191.0,96462.0,132729.0,39574.0,24729.0,14845.0,27733.0,5131.0,22602.0,16555.0,3400.0,13155.0,161884.0,66602.0,95282.0,8419.0,895.0,7524.0
26,SOUTH TRIPURA ,Total,Literate,646810.0,351082.0,295728.0,218883.0,187321.0,31562.0,80655.0,36048.0,44607.0,56665.0,28503.0,28162.0,347272.0,127713.0,219559.0,91372.0,24850.0,66522.0
27,SOUTH TRIPURA ,Total,Literate but below matric/secondary,489711.0,255601.0,234110.0,150674.0,128713.0,21961.0,62897.0,26335.0,36562.0,43314.0,20305.0,23009.0,276140.0,100553.0,175587.0,55615.0,11364.0,44251.0
28,SOUTH TRIPURA ,Total,Matric/secondary but below graduate,98782.0,61842.0,36940.0,38938.0,34680.0,4258.0,9120.0,6196.0,2924.0,7462.0,5384.0,2078.0,50724.0,20966.0,29758.0,26588.0,10688.0,15900.0
