,Area name,Total/Rural/Urban,Education level,total person,total males,total females,person main worker,males main worker,females main worker,person marginal worker,males marginal worker,females marginal worker,person MAW,males MAW,females MAW,person non worker,males non worker,females non worker,person unemployed,males unemployed,females unemployed
0,SAHARANPUR,Total,Total,3466382.0,1834106.0,1632276.0,882701.0,801589.0,81112.0,154643.0,109547.0,45096.0,67830.0,55513.0,12317.0,2429038.0,922970.0,1506068.0,103839.0,54094.0,49745.0
1,SAHARANPUR,Total,Illiterate,1389274.0,613992.0,775282.0,253826.0,214112.0,39714.0,60808.0,35117.0,25691.0,24469.0,17803.0,6666.0,1074640.0,364763.0,709877.0,21629.0,6603.0,15026.0
2,SAHARANPUR,Total,Literate,2077108.0,1220114.0,856994.0,628875.0,587477.0,41398.0,93835.0,74430.0,19405.0,43361.0,37710.0,5651.0,1354398.0,558207.0,796191.0,82210.0,47491.0,34719.0
3,SAHARANPUR,Total,Literate but below matric/secondary,1378335.0,793244.0,585091.0,347692.0,328075.0,19617.0,62343.0,49664.0,12679.0,28950.0,25687.0,3263.0,968300.0,415505.0,552795.0,35031.0,20486.0,14545.0
4,SAHARANPUR,Total,Matric/secondary but below graduate,424945.0,263801.0,161144.0,160074.0,152159.0,7915.0,18076.0,14686.0,3390.0,8350.0,7223.0,1127.0,246795.0,96956.0,149839.0,27559.0,16557.0,11002.0
5,SAHARANPUR,Total,Technical diploma or certificate not equal to degree,4157.0,3722.0,435.0,1658.0,1590.0,68.0,148.0,136.0,12.0,85.0,79.0,6.0,2351.0,1996.0,355.0,698.0,637.0,61.0
6,SAHARANPUR,Total,Graduate and above other than technical degree,149685.0,86340.0,63345.0,72486.0,63683.0,8803.0,5930.0,4273.0,1657.0,2785.0,2079.0,706.0,71269.0,18384.0,52885.0,12454.0,5984.0,6470.0
7,SAHARANPUR,Total,Technical degree or diploma equal to degree or post-graduate degree,20044.0,14507.0,5537.0,10386.0,8857.0,1529.0,836.0,627.0,209.0,416.0,310.0,106.0,8822.0,5023.0,3799.0,2514.0,1687.0,827.0
8,SAHARANPUR,Rural,Total,2399856.0,1269803.0,1130053.0,605269.0,550895.0,54374.0,113110.0,79019.0,34091.0,49572.0,40918.0,8654.0,1681477.0,639889.0,1041588.0,61902.0,31602.0,30300.0
9,SAHARANPUR,Rural,Illiterate,1009810.0,436743.0,573067.0,186296.0,154909.0,31387.0,47254.0,25948.0,21306.0,18659.0,13307.0,5352.0,776260.0,255886.0,520374.0,13868.0,3157.0,10711.0
10,SAHARANPUR,Rural,Literate,1390046.0,833060.0,556986.0,418973.0,395986.0,22987.0,65856.0,53071.0,12785.0,30913.0,27611.0,3302.0,905217.0,384003.0,521214.0,48034.0,28445.0,19589.0
11,SAHARANPUR,Rural,Literate but below matric/secondary,1002262.0,579691.0,422571.0,257194.0,243150.0,14044.0,47140.0,37705.0,9435.0,22023.0,19806.0,2217.0,697928.0,298836.0,399092.0,22543.0,12738.0,9805.0
