,Area name,Total/Rural/Urban,Education level,total person,total males,total females,person main worker,males main worker,females main worker,person marginal worker,males marginal worker,females marginal worker,person MAW,males MAW,females MAW,person non worker,males non worker,females non worker,person unemployed,males unemployed,females unemployed
0,UTTARKASHI,Total,Total,330086.0,168597.0,161489.0,128367.0,71598.0,56769.0,28909.0,12667.0,16242.0,12018.0,7139.0,4879.0,172810.0,84332.0,88478.0,12064.0,6539.0,5525.0
1,UTTARKASHI,Total,Illiterate,114960.0,40360.0,74600.0,42402.0,10631.0,31771.0,9584.0,1714.0,7870.0,2601.0,688.0,1913.0,62974.0,28015.0,34959.0,771.0,177.0,594.0
2,UTTARKASHI,Total,Literate,215126.0,128237.0,86889.0,85965.0,60967.0,24998.0,19325.0,10953.0,8372.0,9417.0,6451.0,2966.0,109836.0,56317.0,53519.0,11293.0,6362.0,4931.0
3,UTTARKASHI,Total,Literate but below matric/secondary,134219.0,76595.0,57624.0,47073.0,31876.0,15197.0,11355.0,6108.0,5247.0,4555.0,3126.0,1429.0,75791.0,38611.0,37180.0,2657.0,1438.0,1219.0
4,UTTARKASHI,Total,Matric/secondary but below graduate,50731.0,32982.0,17749.0,21699.0,16944.0,4755.0,5131.0,3172.0,1959.0,3049.0,2135.0,914.0,23901.0,12866.0,11035.0,4698.0,2809.0,1889.0
5,UTTARKASHI,Total,Technical diploma or certificate not equal to degree,890.0,725.0,165.0,333.0,290.0,43.0,49.0,44.0,5.0,40.0,36.0,4.0,508.0,391.0,117.0,237.0,187.0,50.0
6,UTTARKASHI,Total,Graduate and above other than technical degree,20891.0,13395.0,7496.0,11782.0,8925.0,2857.0,1895.0,1214.0,681.0,1363.0,918.0,445.0,7214.0,3256.0,3958.0,3075.0,1548.0,1527.0
7,UTTARKASHI,Total,Technical degree or diploma equal to degree or post-graduate degree,1984.0,1502.0,482.0,1068.0,890.0,178.0,144.0,108.0,36.0,112.0,90.0,22.0,772.0,504.0,268.0,456.0,297.0,159.0
8,UTTARKASHI,Rural,Total,305781.0,155375.0,150406.0,121215.0,66015.0,55200.0,27852.0,11976.0,15876.0,11364.0,6682.0,4682.0,156714.0,77384.0,79330.0,9682.0,5544.0,4138.0
9,UTTARKASHI,Rural,Illiterate,109872.0,38280.0,71592.0,41672.0,10298.0,31374.0,9415.0,1642.0,7773.0,2507.0,638.0,1869.0,58785.0,26340.0,32445.0,623.0,154.0,469.0
10,UTTARKASHI,Rural,Literate,195909.0,117095.0,78814.0,79543.0,55717.0,23826.0,18437.0,10334.0,8103.0,8857.0,6044.0,2813.0,97929.0,51044.0,46885.0,9059.0,5390.0,3669.0
11,UTTARKASHI,Rural,Literate but below matric/secondary,126098.0,72086.0,54012.0,45412.0,30505.0,14907.0,11013.0,5858.0,5155.0,4369.0,2975.0,1394.0,69673.0,35723.0,33950.0,2290.0,1281.0,1009.0
12,UTTARKASHI,Rural,Matric/secondary but below graduate,45091.0,29544.0,15547.0,19782.0,15224.0,4558.0,4853.0,2982.0,1871.0,2869.0,2008.0,861.0,20456.0,11338.0,9118.0,3925.0,2433.0,1492.0
13,UTTARKASHI,Rural,Technical diploma or certificate not equal to degree,639.0,521.0,118.0,210.0,185.0,25.0,43.0,39.0,4.0,34.0,31.0,3.0,386.0,297.0,89.0,174.0,137.0,37.0
14,UTTARKASHI,Rural,Graduate and above other than technical degree,16635.0,10969.0,5666.0,9478.0,7192.0,2286.0,1695.0,1081.0,614.0,1219.0,825.0,394.0,5462.0,2696.0,2766.0,2238.0,1254.0,984.0
15,UTTARKASHI,Rural,Technical degree or diploma equal to degree or post-graduate degree,1455.0,1143.0,312.0,787.0,675.0,112.0,121.0,91.0,30.0,91.0,75.0,16.0,547.0,377.0,170.0,315.0,225.0,90.0
16,UTTARKASHI,Urban,Total,24305.0,13222.0,11083.0,7152.0,5583.0,1569.0,1057.0,691.0,366.0,654.0,457.0,197.0,16096.0,6948.0,9148.0,2382.0,995.0,1387.0
17,UTTARKASHI,Urban,Illiterate,5088.0,2080.0,3008.0,730.0,333.0,397.0,169.0,72.0,97.0,94.0,50.0,44.0,4189.0,1675.0,2514.0,148.0,23.0,125.0
18,UTTARKASHI,Urban,Literate,19217.0,11142.0,8075.0,6422.0,5250.0,1172.0,888.0,619.0,269.0,560.0,407.0,153.0,11907.0,5273.0,6634.0,2234.0,972.0,1262.0
19,UTTARKASHI,Urban,Literate but below matric/secondary,8121.0,4509.0,3612.0,1661.0,1371.0,290.0,342.0,250.0,92.0,186.0,151.0,35.0,6118.0,2888.0,3230.0,367.0,157.0,210.0
20,UTTARKASHI,Urban,Matric/secondary but below graduate,5640.0,3438.0,2202.0,1917.0,1720.0,197.0,278.0,190.0,88.0,180.0,127.0,53.0,3445.0,1528.0,1917.0,773.0,376.0,397.0
21,UTTARKASHI,Urban,Technical diploma or certificate not equal to degree,251.0,204.0,47.0,123.0,105.0,18.0,6.0,5.0,1.0,6.0,5.0,1.0,122.0,94.0,28.0,63.0,50.0,13.0
22,UTTARKASHI,Urban,Graduate and above other than technical degree,4256.0,2426.0,1830.0,2304.0,1733.0,571.0,200.0,133.0,67.0,144.0,93.0,51.0,1752.0,560.0,1192.0,837.0,294.0,543.0
23,UTTARKASHI,Urban,Technical degree or diploma equal to degree or post-graduate degree,529.0,359.0,170.0,281.0,215.0,66.0,23.0,17.0,6.0,21.0,15.0,6.0,225.0,127.0,98.0,141.0,72.0,69.0
24,CHAMOLI,Total,Total,391605.0,193991.0,197614.0,115115.0,65566.0,49549.0,65825.0,28266.0,37559.0,27828.0,16233.0,11595.0,210665.0,100159.0,110506.0,16452.0,8666.0,7786.0
25,CHAMOLI,Total,Illiterate,111049.0,38596.0,72453.0,23312.0,5141.0,18171.0,16816.0,2724.0,14092.0,4239.0,1249.0,2990.0,70921.0,30731.0,40190.0,715.0,130.0,585.0
26,CHAMOLI,Total,Literate,280556.0,155395.0,125161.0,91803.0,60425.0,31378.0,49009.0,25542.0,23467.0,23589.0,14984.0,8605.0,139744.0,69428.0,70316.0,15737.0,8536.0,7201.0
27,CHAMOLI,Total,Literate but below matric/secondary,169223.0,88077.0,81146.0,46499.0,26794.0,19705.0,29981.0,14971.0,15010.0,12666.0,7976.0,4690.0,92743.0,46312.0,46431.0,3812.0,2009.0,1803.0
28,CHAMOLI,Total,Matric/secondary but below graduate,71808.0,43594.0,28214.0,25713.0,19290.0,6423.0,12719.0,7237.0,5482.0,7060.0,4645.0,2415.0,33376.0,17067.0,16309.0,6771.0,3978.0,2793.0
29,CHAMOLI,Total,Technical diploma or certificate not equal to degree,931.0,774.0,157.0,409.0,377.0,32.0,83.0,74.0,9.0,59.0,53.0,6.0,439.0,323.0,116.0,185.0,141.0,44.0
30,CHAMOLI,Total,Graduate and above other than technical degree,28868.0,17286.0,11582.0,14507.0,10739.0,3768.0,4280.0,2342.0,1938.0,2920.0,1771.0,1149.0,10081.0,4205.0,5876.0,4219.0,2001.0,2218.0
31,CHAMOLI,Total,Technical degree or diploma equal to degree or post-graduate degree,2538.0,1854.0,684.0,1461.0,1220.0,241.0,214.0,148.0,66.0,165.0,117.0,48.0,863.0,486.0,377.0,471.0,270.0,201.0
32,CHAMOLI,Rural,Total,332209.0,160369.0,171840.0,94517.0,48981.0,45536.0,63392.0,26860.0,36532.0,26621.0,15291.0,11330.0,174300.0,84528.0,89772.0,12472.0,7062.0,5410.0
33,CHAMOLI,Rural,Illiterate,99906.0,33498.0,66408.0,21758.0,4338.0,17420.0,16402.0,2542.0,13860.0,4075.0,1122.0,2953.0,61746.0,26618.0,35128.0,613.0,109.0,504.0
34,CHAMOLI,Rural,Literate,232303.0,126871.0,105432.0,72759.0,44643.0,28116.0,46990.0,24318.0,22672.0,22546.0,14169.0,8377.0,112554.0,57910.0,54644.0,11859.0,6953.0,4906.0
