,Area name,Total/Rural/Urban,Education level,total person,total males,total females,person main worker,males main worker,females main worker,person marginal worker,males marginal worker,females marginal worker,person MAW,males MAW,females MAW,person non worker,males non worker,females non worker,person unemployed,males unemployed,females unemployed
0,DARJILING ,Total,Total,1846823.0,937259.0,909564.0,532855.0,396341.0,136514.0,150871.0,83245.0,67626.0,85723.0,49595.0,36128.0,1163097.0,457673.0,705424.0,251688.0,90815.0,160873.0
1,DARJILING ,Total,Illiterate,531238.0,219586.0,311652.0,122284.0,69653.0,52631.0,44801.0,16844.0,27957.0,22096.0,8666.0,13430.0,364153.0,133089.0,231064.0,35651.0,6024.0,29627.0
2,DARJILING ,Total,Literate,1315585.0,717673.0,597912.0,410571.0,326688.0,83883.0,106070.0,66401.0,39669.0,63627.0,40929.0,22698.0,798944.0,324584.0,474360.0,216037.0,84791.0,131246.0
3,DARJILING ,Total,Literate but below matric/secondary,873432.0,468744.0,404688.0,234714.0,187942.0,46772.0,78322.0,49456.0,28866.0,45098.0,29695.0,15403.0,560396.0,231346.0,329050.0,113804.0,42172.0,71632.0
4,DARJILING ,Total,Matric/secondary but below graduate,285873.0,159499.0,126374.0,97408.0,79716.0,17692.0,17345.0,10950.0,6395.0,11990.0,7549.0,4441.0,171120.0,68833.0,102287.0,71557.0,30961.0,40596.0
5,DARJILING ,Total,Technical diploma or certificate not equal to degree,2278.0,1778.0,500.0,1318.0,1104.0,214.0,89.0,63.0,26.0,57.0,37.0,20.0,871.0,611.0,260.0,400.0,271.0,129.0
6,DARJILING ,Total,Graduate and above other than technical degree,109313.0,62992.0,46321.0,57846.0,43550.0,14296.0,5762.0,3318.0,2444.0,3870.0,2134.0,1736.0,45705.0,16124.0,29581.0,23514.0,8828.0,14686.0
7,DARJILING ,Total,Technical degree or diploma equal to degree or post-graduate degree,8868.0,5592.0,3276.0,5520.0,3860.0,1660.0,396.0,219.0,177.0,244.0,133.0,111.0,2952.0,1513.0,1439.0,1442.0,736.0,706.0
8,DARJILING ,Rural,Total,1118860.0,566965.0,551895.0,309035.0,219497.0,89538.0,119543.0,65510.0,54033.0,67349.0,39401.0,27948.0,690282.0,281958.0,408324.0,146689.0,54976.0,91713.0
9,DARJILING ,Rural,Illiterate,382036.0,156183.0,225853.0,93737.0,51751.0,41986.0,39125.0,14402.0,24723.0,19195.0,7415.0,11780.0,249174.0,90030.0,159144.0,26313.0,4320.0,21993.0
10,DARJILING ,Rural,Literate,736824.0,410782.0,326042.0,215298.0,167746.0,47552.0,80418.0,51108.0,29310.0,48154.0,31986.0,16168.0,441108.0,191928.0,249180.0,120376.0,50656.0,69720.0
11,DARJILING ,Rural,Literate but below matric/secondary,565821.0,311485.0,254336.0,154462.0,121111.0,33351.0,64882.0,41018.0,23864.0,37332.0,24842.0,12490.0,346477.0,149356.0,197121.0,74266.0,29312.0,44954.0
12,DARJILING ,Rural,Matric/secondary but below graduate,122146.0,70730.0,51416.0,38185.0,30032.0,8153.0,10391.0,6947.0,3444.0,7405.0,5012.0,2393.0,73570.0,33751.0,39819.0,35095.0,16519.0,18576.0
13,DARJILING ,Rural,Technical diploma or certificate not equal to degree,442.0,321.0,121.0,234.0,181.0,53.0,16.0,10.0,6.0,11.0,5.0,6.0,192.0,130.0,62.0,110.0,76.0,34.0
14,DARJILING ,Rural,Graduate and above other than technical degree,27820.0,16799.0,11021.0,13961.0,10162.0,3799.0,2016.0,1307.0,709.0,1573.0,1013.0,560.0,11843.0,5330.0,6513.0,7851.0,3606.0,4245.0
15,DARJILING ,Rural,Technical degree or diploma equal to degree or post-graduate degree,2000.0,1266.0,734.0,1190.0,820.0,370.0,104.0,62.0,42.0,72.0,42.0,30.0,706.0,384.0,322.0,380.0,198.0,182.0
